start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	11420	É isso! É isso!
11900	13220	Eu sabia! Eu sabia!
13840	15000	O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32100	33720	Eu acredito no Guaxaverso!
33820	36560	Mas, supondo que ele exista...
37880	41540	Guaxaverso, onde o que não existe é debatido.
45120	46960	Guaxa, eu tô ficando craque a amarrar as pessoas.
47360	52800	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast, realidade para a galera do Guaxinim e...
52800	54120	...de condomínio, gente. Fujam.
54120	56980	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
57380	58120	Aqui vamos ler os comentários discutidos...
58560	63380	...as teorias do último episódio, que, no caso, foi a urna de Augustus Maier.
63720	68060	R.P. Guaxa, 167.
68520	71120	Eu estou aqui com ela, que foi estreante do episódio.
71700	74040	Nossa querida Tati Kafka.
74280	74860	Olá, Tati.
75300	76120	Oi, gente.
77160	79500	Bom dia, boa tarde, boa noite.
80240	80960	Tamo aqui, né?
81420	81760	É, né?
82540	84200	Como é que as pessoas te acham na internet?
84760	86880	Elas não me acham na internet.
86880	87880	Elas só me acham...
88560	89860	...na taberna.
90280	90880	Na taberna.
91220	95060	O Kafka é teu sobrenome mesmo ou é uma homenagem lá ao Franks?
95160	96960	É um dos meus autores...
96960	98560	É porque é assim, eu sou coisada.
99540	107080	E aos 13 anos de idade, os meus autores prediletos eram Clarice Lispector, Franz Kafka e Friedrich Nietzsche.
107440	108720	É isso, gente. Acontece.
109240	109760	Desculpa.
110160	111200	Deus está morto.
111560	111820	Sim.
112160	113900	E nós o matamos. É fato.
114220	116220	Qual é o da escritora?
116220	118340	A Clarice Lispector, muita coisa.
118340	120620	Mas eu comecei com o de estreia dela.
120620	120880	É do Hora da Estrela, né?
