start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaixaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaixa sabe o que faz!
20020	20960	Espera, o que é o Guaixaverso?
21000	22980	Era só uma questão de tempo.
23080	23460	Todos vão conhecer o Guaixaverso!
23460	24520	O Guaixaverso sempre existiu!
24520	27140	Eu quero entender o Guaixaverso!
27220	28560	Alguém me explica o que é o Guaixaverso?
28560	32020	É, pessoal, não existe o Guaixaverso.
32080	33720	Eu acredito no Guaixaverso!
33820	36560	Mas, supondo que ele exista...
37880	41540	Guaixaverso, onde o que não existe é debatido.
44920	47820	Vejo vocês no próximo A Leitura. Beijo!
48160	49540	A gente continua sem parar, pode ser?
50120	52220	Tá, encerra a gravação, começa outra ou não?
52220	54180	Não, não, continua e depois eu só corto.
54440	57560	Esses são só 15 episódios, são só 15 comentários, mas tá bom.
57560	58560	Já tá em...
58560	59480	18, parece.
60700	60980	Quê?
62920	63920	Deixa eu atualizar.
64100	64880	Quer desistir, não?
65220	65580	Não.
73940	77980	Olá, eu sou o Marcelo Guaxinim, narrador, produtor, idealizador, podcast de realidade para a vida do Guaxinim.
78140	79460	E quem tem amigo tem tudo.
79800	82580	Pra quem não sabe, nosso Guaixaverso é o nosso antigo escudo-mestre.
82920	85500	Aqui eu vou ler os comentários discutindo as teorias do último episódio.
85500	88500	Que, no caso, foi o último episódio da nossa...
88560	90020	Trilogia da Vela.
90480	91580	Foi o episódio...
91580	92020	Pavio.
92480	95520	Eu já expliquei nos outros dois Guaxaverso.
95860	97180	Eu cancelei o Guaxaverso.
97660	100140	Eu nunca mais quero fazer...
100140	101820	Mês de aniversário, pelo menos não esse ano.
102220	106200	Então, vamos ouvir a minha conversa com o André Trapani.
106540	108280	Com a leitura desse episódio.
108700	110220	O André não jogou essa trilogia.
110800	112600	Mas, ele jogou a próxima.
113060	114760	E a gente fez essa gravação dupla.
114760	116300	Lá na Twitch do RP Guaxa.
116580	118540	Twitch.tv barra RP Guaxa.
118560	120320	A gente leu deste episódio.
120680	121640	E do episódio Glória.
122080	125380	Que, se tudo é certo, eu lanço no domingo.
125780	126620	Que é dia dos namorados.
126740	128080	Então, tem tudo pra dar errado.
128580	129680	Não esqueça de seguir nas redes sociais.
129800	131480	É o Marcelo Guaxininha, arroba RP Guaxa.
131800	136540	E considere, do fundo do seu coração, se tornar padrinho para apoiar este projeto.
137000	137460	Mas, vamos lá.
137760	139340	Vamos ouvir a leitura de comentários.
140020	141420	Minha e do Trapani.
141840	144280	Então, a gente vai ler os comentários do episódio Pavio.
144380	145620	O nosso episódio 109.
145620	147620	Como eu expliquei antes, nos outros Guaxaversos.
148560	152600	A cera é aquele combustível pra vela, né?
152880	154300	É aquele combustível pra vida.
154780	156920	A chama é aquilo que consome esse combustível.
157080	159020	Ou seja, seria o passar do tempo.
159480	161420	A chama é aquela energia, né?
161760	163540	E o pavio é aquela essência.
163920	166000	Sem aquilo, a vela seria só cera e fogo.
166220	166920	E não funcionaria.
167340	168700	O pavio é aquilo que tá dentro.
169020	172340	No início do episódio, os jogadores deixam o cabelo.
172720	173360	E vão embora.
173820	177300	No final do episódio, os jogadores que entraram naquela porta saem.
177300	178140	CTV.
178560	179820	Sem ter vivido aquela aventura.
180160	183160	Porque o pavio da vela deles foi feito com o cabelo deles.
183400	186200	Então, aqueles bonequinhos lá dentro.
186560	188960	Eles eram feitos com o cabelo.
189160	190260	Eles não eram exatamente...
190260	191400	Eles eram os jogadores.
191760	192260	Mas...
192560	193460	Não eram os jogadores.
193460	195660	Eles eram os bonequinhos dos jogadores que estavam lá dentro.
196160	197760	Você já respondeu a minha pergunta, inclusive.
197960	198460	Olha só.
198460	199060	Mas, vamos lá.
199060	200560	Vamos ler os comentários, então.
200560	202260	Eu tô aqui com o André Trapani.
202260	204260	Como eu expliquei no começo, ele não gravou esse episódio.
204260	204960	Obviamente.
205160	207880	Assim como o Malu não gravou o primeiro dessa trilogia e tava aqui também.
207880	208540	Ninguém reclamou.
208560	210560	Mas ele tá no próximo, no Glória.
210560	213560	Eu não consegui ler os três episódios na leitura passada.
213560	215560	Eu deixei um pra essa leitura.
215560	216560	Acumulou.
216560	218560	Assim como a Mega Sena acumula, né?
218560	221560	E daí a gente vai tentar ler os comentários desse episódio e do outro.
221560	223560	Se tudo der certo.
223560	225560	Vai ficar bem estranho se a gente falhar.
225560	227560	E daí eu vou ter o André num episódio que não tem nada a ver com ele.
227560	229560	Mas é isso, né?
229560	231560	Eu vou ler o primeiro comentário.
231560	233560	É da Fabiola Belo.
233560	234060	Ela coloca.
234060	235060	Carai guaxa.
235060	238060	O final foi tão de explodir cabeças que nem dava pra começar.
238560	239920	Com um boa noite.
239920	241560	KKKKKKKKKK
241560	242560	Voltando aos meus modos.
