start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24000	Todos vão conhecer o Guaxaverso!
24000	24520	O Guaxaverso sempre existiu!
24520	27140	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32100	33720	Eu acredito no Guaxaverso!
33760	36560	Mas supondo que ele exista...
37900	41520	Guaxaverso, onde o que não existe é debatido.
49420	54560	Tudo pode ser, se puder gritar.
54560	58560	O povo sempre vem de acometimento.
58560	63400	Tudo pode ver.
64760	66600	O olho do luar.
68600	71760	Deixe os dados vão te levar.
80600	83980	Olá, eu sou Marcelo Agostinim, narrador, produtor, idealizador, podcast de realidade para a gente do Agostinim.
84200	86260	E vai mudar a abertura do RPG Guaxo.
86340	87880	Semana que vem, provavelmente. Só assim.
88560	89940	Se você não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
90020	93480	Aqui vamos ler os seus comentários e discutir as teorias do último episódio.
93940	97440	Que, no caso, foi Eco das Estrelas, RPG Guaxa 144.
98920	103120	E eu estou aqui hoje com a nossa madrinha, Thaís Uzu.
103340	103960	Tudo bem, Thaís?
104180	104960	Tudo ótimo.
105200	106560	Tranquila pro Guaxaverso?
106860	107780	Tranquila, tranquila.
108040	109540	Estou pronta para ler muitas teorias.
111360	112700	Espero que não muitas, né?
112820	114160	Segunda-feira a gente quer descansar.
114500	116700	Quero lembrar vocês que estão ouvindo isso ao vivo hoje,
116700	118160	que isso vai ser editado no feed.
118560	119180	Hoje, fim de semana.
119940	122300	E quero convidar você que está ouvindo isso editado,
122700	124340	saindo do seu feed,
124820	126720	a participar normalmente às segundas-feiras.
127120	128120	Segunda sim, segunda não.
128140	129580	Na segunda que não tem episódio.
130060	131420	A gente grava aqui na Twitch.
132020	133440	Normalmente também às 8 horas.
133560	135520	twitch.tv.rpguaxa
135520	140340	Então convido vocês a virem aqui e ver o que vai ser cortado na edição.
140880	142640	E, novamente, o pessoal que está aqui ao vivo,
143140	144420	na versão editada,
144880	146920	sai também os erros de gravação,
146920	148420	as loucuras que não entraram,
148560	152420	para o episódio que o Zorzal se repara para a gente colocar, tá?
152840	154240	Se você quiser ajudar esse projeto,
154240	156240	seja nosso padrinho a partir de R$1,00.
156620	157980	Se você está ajudando esse projeto, a partir de R$10,00,
157980	159320	você faz parte do nosso grupo do Telegra.
159720	161400	Você grava voz de NPC,
161740	163940	você recebe episódio antes,
163940	165560	bate papo com o pessoal que grava o episódio.
165980	168100	Você pode bater um papo com a Zuzu.
168520	169900	Você pode bater um papo com a Sara.
170280	172200	Não sei porque alguém gostaria de bater um papo com o Andrei,
172520	174440	mas você pode bater um papo com o Andrei também.
174860	176860	Com o Zorzal, comigo,
177220	178480	com a Jumozinha,
178480	179820	com o Filipe Xavier,
179820	181240	tanta gente maravilhosa.
181240	184140	Shelly, hoje, botou lá no grupo de...
184140	186140	Spoiler, porque é onde o grupo que ela está, no momento,
186140	188140	que ela queria jogar uma aventura
188140	190140	estilo chacinado.
190140	192600	Já apareceu o mestre, já apareceu gente para jogar com ela.
192600	195600	Então, olha essa oportunidade que vocês estão tendo
195600	197600	só de ser apoiadores.
197600	200520	É óbvio, a Zuzu é a madrinha e está aqui jogando,
200520	203720	mas não significa que por ser padrinho você vai jogar também.
203720	205720	Embora eu tenha aqui um
205720	208200	um prêmio do bolão do futebol feminino,
208200	211440	para ver quem foi quem ganhou um Vale Aventura também.
211900	215160	Tem o pessoal que me entrou no Guaxadei,
215580	218860	que eu vou sortear também um Vale Aventura depois.
218860	221120	As pessoas vão jogar em algum episódio futuro.
221120	223900	Mas, Zuzu, há quanto tempo você é a madrinha?
224620	226660	Vai fazer, que dia é hoje?
226660	228900	Hoje é dia 21 e faz um ano.
228900	229540	Hoje?
229540	231620	Não, dia 16 já fez um ano.
231620	234200	Ah, tá. Um ano, um ano de madrinha.
234620	236960	O que você está achando de fazer parte desta comunidade?
236960	238000	Ah, eu adoro.
238200	243400	É um lugar onde as pessoas realmente gostam muito de RPG, sabe?
243400	246040	Tipo, não é todo lugar que você encontra assim.
246040	249780	É tipo, as pessoas só falam disso e tem muitas mesas.
249780	252780	E fora que as pessoas são muito fofas e maravilhosas, né?
252780	256780	Tipo, é um lugar muito, muito lindo da internet e bem raro isso.
256780	257580	Ok.
257580	260400	Com essa propaganda toda, eu não tenho mais nada a falar.
260400	262160	Seja nosso padrinho.
262160	264700	Não pode apoiar, não quer ou quer ajudar mais ainda,
264700	265660	segue-nos nas redes sociais.
265660	267320	Arroba o Marcelo Laxminha e o Roberto Pegosa.
267320	270820	Tanto no Twitter quanto no Instagram, em especial o Instagram do RPGuaixa.
270820	273160	Se procurar lá no BlueSky, acha também.
273160	276280	Não sei se aquilo vai realmente firmar, mas tá lá.
276280	278120	Volta e meia sempre sobe o convite.
278120	281080	Eu mando pros padrinhos lá, deixo no post.
281080	283200	Mas não é sobre isso que a gente tá aqui hoje.
283200	285620	A gente tá aqui pra ler os comentários do último episódio.
285620	290240	E eu vou ler o primeiro, que pra você que tá vendo ao vivo, pode marcar no bingo.
290240	292980	É do Jorge Marcos Ante Silva e ele escreve.
292980	296440	Olha, jogar Alan Wake já é algo que causa ataque cardíaco.
296440	297160	Agora, um RPGuaixa?
297160	298160	Vixe.
298160	299160	Um bom dia, Sr.
299160	300160	Guaxinim.
300160	301920	Convidade, que é a Thaís.
301920	303780	Ouvintinins e chat, tudo bom comigo?
303780	304780	Tudo bom com você, Thaís?
304780	305780	Tudo ótimo.
305780	307780	O Zuzu é de zumbi, não?
307780	308780	Não.
308780	310780	É de sobrenome de zumbi.
310780	312780	Eu sabia, só pra manter.
312780	313780	Spoilers.
313780	316780	Era uma infecção como de zumbi?
316780	317780	Era.
317780	319780	Porque pareceu que eles só viraram devido à ganância da fama.
319780	321780	Mas pode ter sido só uma coincidência.
321780	322780	Pode ter sido só uma coincidência.
322780	325280	Claro que pode não haver conexão com outros episódios.
325280	326280	Mas olha, dá um bom início.
326280	329280	Olha, dá um bom início pra qualquer episódio com zumbis ou algo assim.
329280	330280	É verdade.
330280	334280	Talvez o garoto que tava de aniversário e a família dele seja uma família importante.
334280	340280	Talvez uma família concorrente a um certo empresário famoso.
340280	341280	Não sei.
341280	342280	Fica a ideia.
342280	345280	E os jogadores só deram azar de estar no lugar errado na hora errada.
345280	349280	Existe algo pensado sobre esse cara muito rico, o dono da ilha, que chamou eles?
349280	350280	Não.
350280	351280	Ficou em aberto, realmente.
351280	355280	Um, porque eu, como começou essa infecção...
355280	357280	Pimenta de los Mortos, talvez?
357280	358280	KKKKJ.
358280	359280	Talvez.
359280	360280	Acho que por hoje é isso.
360280	364280	E gente que não gosta da taberna é tão suspeito quanto quem não gosta de queijo.
364280	366280	Ou, pera, quer dizer, batata.
366280	367280	Quem não gosta de batata.
367280	368280	KKKKJ.
368280	369280	É verdade.
369280	370280	Eu não gosto de queijo.
370280	372280	Tanto que por isso que o André não vai mais jogar.
372280	374280	Ele queria botar catupiry na coxinha.
374280	376280	Isso é um afronte.
376280	377280	Agora eu entendi.
377280	378280	Agora faz tudo.
378280	379280	Porra.
379280	381280	Isso faz parte do lore há muito tempo.
381280	382280	É verdade.
382280	384280	Mas não tinha ligado catupiry à queijo não.
384280	385280	É catupiry a um tipo de queijo.
385280	388280	Já aconteceu de eu pedir uma coxinha e ele perguntar, tem queijo?
388280	389280	A menina, não.
389280	391280	Aí eu mordi assim, porra, catupiry dela.
391280	392280	É catupiry.
392280	393280	É, não é queijo, é catupiry.
393280	394280	Não é catupiry.
394280	395280	É a marca, né, querida?
395280	396280	Mas ok.
396280	400280	Pode até ser que não consiga interagir lá por tempo como eu.
400280	402280	Eu também não sou de interagir muito lá.
402280	404280	É, eu quase não falo muito lá também.
404280	405280	É muita mensagem que eu recebo.
405280	406280	É impossível acompanhar.
406280	407280	Eles falam bastante.
407280	409280	Mas é um pessoal maravilhoso.
409280	410280	E vou narrar o Maga Ascensão lá.
410280	411280	Olha só.
411280	412280	Ó.
412280	413280	Vou mesmo.
413280	415280	Eu tenho uma mensagem para que a campanha já está feita.
415280	417280	Então, quem quer jogar Maga Ascensão, tem uma chance.
417280	419280	Seja padrinho, fala com Jorge Matos do Silvio.
419280	420280	Me chama.
420280	421280	Eu jogo.
421280	423280	Ó, já tinha a Zuzu para jogar.
423280	426280	Então, assinem e venham fazer parte dessa família maravilhosa.
426280	427280	Vou indo nessa.
427280	428280	Força e luz para todos nós.
428280	429280	E até mais.
429280	430280	Até mais, querida.
430280	431280	Obrigado pelo comentário.
431280	433280	Bom dia, Guaxomus.
433280	434280	Nossa, essa é diferente.
434280	435280	Nunca tinha ouvido isso.
435280	436280	É diferente.
436280	442280	É, comecei a ouvir agora e achei curioso o nome do personagem ser Alice Nakamura.
442280	443280	Pois o nome é Alice Nakamura.
443280	446280	O nome da filha é uma coincidência.
446280	450280	Quando termina o episódio, quando terminar o episódio, volta.
450280	451280	Olha aí.
451280	454280	Ele conhece a menina chamada Alice Nakamura.
454280	457280	Deve estar nos extras.
457280	463280	Eu pergunto porque o Nakamura, porque eu acho que a dançarina, a ex-dançarina do Faustão,
463280	465280	era alguma coisa Nakamura.
465280	466280	É, tem.
466280	468280	E tem a Nanaka, né?
468280	469280	É verdade.
469280	470280	Porque a Natália é Nakamura.
470280	471280	É verdade.
471280	472280	Mas não, a pessoa só escolheu o nome e a letra.
472280	473280	Né?
473280	474280	É, foi.
474280	475280	É a Sarah.
475280	476280	A Sarah é meio maluca, né?
476280	477280	É verdade.
477280	478280	Namora o Andrei.
478280	479280	O próximo comentário é do Pedro Peron.
479280	480280	Olá, Guaxa e Guaxa Amigos.
480280	481280	Jesus amado.
481280	482280	Que tensão do caralho.
482280	483280	Que foi esse episódio.
483280	484280	O Bob estava no camarim batendo ritmicamente.
484280	485280	Os zumbis surgiram para o ritual ou algo assim?
485280	486280	Não.
486280	487280	Ele só estava se transformando e batendo lá.
487280	488280	Se o Bob não tem culpa e o milionário fez algo, é, é, tipo, o milionário não iria
488280	489280	fazer isso na própria casa.
489280	490280	Não.
490280	491280	Não.
491280	492280	Não.
492280	493280	Não.
493280	494280	Não.
494280	495280	Não.
495280	496280	Não.
496280	497280	Não.
497280	498280	Não.
498280	499280	Não.
499280	500280	Não.
500280	501280	Não.
501280	502280	Não.
502280	503280	Não.
503280	504280	Não.
504280	505280	Não.
505280	506280	Bom, eu provavelmente ia fazer isso na própria festa, né?
506280	507280	É.
507280	508280	Provavelmente vingança de um outro milionário.
508280	509280	Bilionário, talvez.
509280	510280	Eu pensei que o Ger 아니면 morrer antes.
510280	511280	Kkkkk Jobatter.
511280	512280	Mas fiquei confundindo de esperança de ter ocorrido um milagre.
512280	514920	De eles terem se salvado.
514920	518820	Na hora que dois caírem e ficarem para trás, o destino deles estava selado.
518820	520820	É isso, um beijo para você.
520820	523300	Eu adion esperar no final.
523300	524300	Não.
524300	525300	Ele fiquei meio chateado.
525300	526300	Desculpa.
526300	527300	Mas a culpa é de vocês.
527300	528300	Os dados talvez.
528300	529300	A culpa foi do Andrei.
529300	530300	Ele ficou para trás.
530300	531280	Ah!
531280	532880	Tinha que ter deixado pra trás, cara.
533180	535380	Vamos pôr a companhia. É isso. Um beijo
535380	537060	e um abraço pra vocês. Ah, hoje,
537240	539280	17, o dia que ele comentou, é
539280	541560	aniversário da minha noiva, Lara Gomes.
541720	543560	Ela também, o verbo eu acho, manda um beijo
543560	545460	pra ela. Um beijo, Lara Gomes.
545720	547340	Feliz aniversário, muitos anos de vida,
547460	548840	muitos críticos e
548840	551280	que você tire muitas vezes o seu atributo nessa
551280	553600	vida. É isso. Beijo.
553980	555640	Parabéns. Amanda Costa.
557060	557460	Boa
557460	559760	hora do dia, Guaxa, e convidado.
559760	561360	Obrigada. Obrigado.
561620	563880	Guaxa, você me enganou com esse título
563880	565940	que tinha tudo pra ser uma aventura
565940	568200	especial, mas estava...
568200	569480	Espacial. Ah, espacial.
569960	571360	Mas estava...
571360	573280	Mas está perdoado
573280	575740	com esse episódio de Zoom, que é um
575740	577860	dos meus temas favoritos. Inclusive,
578020	578640	acabei
578640	581240	Kim Dong ontem.
581480	584000	Que isso? É um seriado, acho que chinês,
584460	585700	que é chineses com zumbis.
585940	587720	Hum. Então
587720	589740	estou super dentro da vibe, é verdade?
589760	591240	Esse é o
591240	593840	mesmo universo de Pôr do Sol
593840	595600	e de Billie Jean, certo?
595840	597680	Certo. Ou no universo dos
597680	599640	zumbis brasileiros. Eu esqueci...
599640	600560	Acho que é tudo junto, né?
601100	603640	É, é sentido. Eu esqueci o nome
603640	605240	dos EP's. Eu também não lembro.
605560	606460	Não, mas é por aí mesmo.
607780	610100	Meus parabéns aos jogadores.
610520	612000	Obrigada. Que conseguiram
612000	613720	desenvolver muito bem os personagens
613720	615800	que passaram muito bem a energia
615800	617760	adolescente. É porque a gente é meio
617760	619720	caótico, né? A gente já tem essa energia.
619760	621720	Em si. Eu achei que tu ia dizer porque a gente
621720	622820	é adolescente mesmo.
624000	625860	Estamos quase lá, né? É que eu sou a mais
625860	627860	nova, então... Eu sou
627860	629540	a única que está ali mais perto do adolescente.
629860	631200	Os outros são velhinhos, são velhinhos.
631440	633760	Me perdi. Meus parabéns. Os adolescentes me fizeram
634600	635740	até sentir
635740	637920	um pouquinho de raiva de alguns momentos.
638660	639820	Como esse episódio me fez
639820	641900	lembrar de Billie Jean, tenho uma sugestão.
642160	643740	Que tal fazer uma aventura
643740	645660	naquela... Naquele mundo
645660	647760	com personagens que sabem como funciona
647760	649640	como funciona a
649640	651340	arrebatamento tentando
651340	654100	se salvar? Talvez uma espécie
654100	655520	de feita
655520	657240	pós-apocalíptica, sem
657240	659940	ter, inclusive, o personagem
659940	661640	que acabou viva, seria
661640	663900	incrível. Ok, ok.
663980	665240	Vou anotar a sua sugestão.
665680	667640	Próximo comentário é... E obrigado por esse comentário, Amanda.
667980	669420	Próximo comentário é do Grande Fogado,
669520	672120	Sr. Urso. Boa noite, guacha... Guacha...
672120	673560	Guacha-lebridade.
674080	675820	Você é uma guacha-lebridade agora.
675820	678080	Você é uma celebridade do RPG Guacha.
679640	681020	E guachual.
681340	683600	Hoje, infelizmente, ou felizmente pra você, guacha,
684040	685040	não tenho perguntas.
685420	687440	Hoje só vou deixar meus biscoitos em forma de
687440	689120	urso para os jogadores,
689700	691280	guacha e o editor, que são
691280	692940	infinito por cento do episódio.
693460	696120	Sugestão de anime de hoje é Black Lagoon.
696600	697720	Vou, vou, vou dar uma olhada.
697980	698760	É sobre o quê, talvez?
699660	701560	PS. Só eu penso que esse episódio
701560	703420	podia ser o filme dos zumbis dos Trapalhões.
704980	705460	Desde
705460	706920	Didi tem Zuzu.
706920	709500	Ok, ok.
709640	710680	Era só isso.
710960	712800	Mesmo um abraço do seu amigo Urso.
712800	714440	Obrigado pelo seu comentário, querido.
714640	716600	E obrigada por os biscoitos, não vou lá, gente.
717120	718640	Ok, não vou discutir.
719700	720420	Tá bom, gente.
721440	722640	Everton Torre.
723200	725980	Boa noite, guacha, convidado de todos os guachuns.
726220	727140	Eu fui pego
727140	729060	de surpresa pelo desenrolar
729060	731020	da aventura. Imaginei que seria algo
731020	732360	mais fresh.
732840	734820	Até terminar, eu estava
734820	737320	querendo acreditar que era uma pegadinha
737320	739620	de alguma rede de TV ou algo do tipo.
739640	741700	E não, não era.
742060	742900	Realmente não era.
743520	743960	Não era.
744440	747620	Acho que por ter mortos-vivos e pela energia boa
