start	end	text
540	7120	Pesquisar para esse episódio me trouxe muitas surpresas, por exemplo, descobri que a música que me inspirou no dia de hoje se chama
7120	10580	O Grande Amor da Minha Vida, e não Convite de Casamento.
10840	16160	Descobri que esse clássico de 1998 é desconhecido pela geração mais jovem dos meus ouvintes.
16560	21200	Por favor, se você não conhece Sino do Sertanejo Nacional, pause esse episódio e vá ouvir.
21460	26080	Essa música não foi o primeiro sucesso de James Giovanni, mas com certeza foi o que os lançou para o estrelato.
26080	31660	Saber que estou ficando velho pela reação dos padrinhos mais jovens ao desconhecer essa obra de arte não foi o mais dolorido.
32000	37080	Eu até entendo que pessoas com nomes difíceis escolham nomes mais fáceis para formarem suas duplas.
37380	44120	Foi assim com Emival, que virou Leonardo, com Welson, que virou Luciano, com Durval, que virou Chororó,
44400	48260	essa é uma escolha inusitada, e com Marcelo, que virou Giovanni.
48840	52580	Por que, eu me pergunto, por que? Por que negou nosso nome, Giovanni?
53420	55840	Episódio de hoje, Convite de Casamento.
56080	60340	Com os padrinhos, Agatha Sofia, lá do Caso das Agathas, e do Projeto Drama.
60640	64780	Com Guilherme Ballardino, e com a Fábio, todos aqui do RB Guaxa.
64780	70580	Por realidades paralelas do guaxinim, usa o sistema guaxinins e gambiarras.
71160	76000	Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
76880	81000	Quanto maior o atributo, mais atlético é o personagem.
81500	84280	E quanto menor, mais inteligente e carismático.
84740	85340	Tipo eu, né?
86080	91560	Sempre que um jogador faz algo com uma chance de errar, rola-se dois dados.
92120	97080	E deve tirar o seu atributo ou menos, para ataques e ações físicas.
97580	102060	Ou o seu atributo ou mais, para ações intelectuais e sociais.
103060	107880	Se a jogada for muito fácil, ou tiver algum auxílio, rola-se um dado a mais.
108380	112460	E se for difícil, ou estiver machucado, joga-se um dado a menos.
112720	114660	Eu sou a Luana Sebron.
114660	120440	E eu sou madrinha do RB Guaxa, porque aqui eu conheci um mundo novo.
120760	122920	Foi onde me trouxe para o RPG.
123900	128800	E cada vez eu conheço pessoas mais incríveis.
129860	133920	E que estão aqui para o que deve é.
134180	139960	Sempre ajudando, apoiando, dando risada, jogando, assistindo filmes.
140160	142080	Por ser uma comunidade incrível.
142080	143680	E lógico, né?
144660	147320	Guaxa, Guaxa, me tira da geladeira.
147740	151420	Não deixe de seguir nas redes sociais, arroba Marcelo Guaxinim e arroba rpguaxa,
151740	153060	tanto no Twitter quanto no Instagram.
153460	158140	Considere também se tornar apoiador deste projeto, lá no PicPay ou no Padrim.
158600	159660	E boa aventura.
159660	160660	Música
160660	161660	Música
161660	162660	Música
162660	163660	Música
163660	164660	Música
164660	165660	Música
165660	166660	Música
166660	167660	Música
167660	168660	Música
168660	169660	Música
169660	170660	Música
170660	171660	Música
171660	172660	Música
172660	173660	Música
173660	173940	Música
173940	174640	Música
174640	177640	Música
177640	180640	Música
181980	190380	Sete realidades paralelas, uma infinidade de possibilidades, três jogadores e um guaxinim.
190840	193160	É um prazer ter vocês por aqui.
194000	197360	Queremos todos batendo as mãos para a próxima música.
197740	199040	Digo, aventura.
200060	200980	Cinco.
202900	203900	Quatro.
203900	203920	Cinco.
203920	204000	Cinco.
204000	204040	Quatro.
204040	204400	Cinco.
204400	204620	Cinco.
204640	206860	Três
206860	209620	Dois
209620	214660	RPG
214660	217040	Realidades Paralelas do Guaxinim
217040	219800	Sua aventura de bolso na forma de podcast
219800	221480	Uma jornada completa
221480	222720	A cada episódio
234640	244800	Os três inseparáveis amigos nunca esqueceram o dia em que se tornaram quatro inseparáveis amigos
244800	247120	Era uma tarde quente de 1968
247120	251660	E os três estavam se alternando em descer a rua em um carrinho de rolimã
251660	253300	Que os mesmos haviam construído
253300	254980	Quando chegou um caminhão da mudança
254980	255800	Com ela
255800	257140	Lília
257140	260200	A menina muito branca de cabelo e olhos negros
260200	262880	Que roubaria todos os corações
262880	264620	Daquele dia em diante nunca mais se tornou uma mulher
264620	265560	E nunca mais se separaram
265560	267680	Juntos eles cresceram
267680	268880	Frequentaram a escola
268880	271940	E por todos saberem que estavam apaixonados
271940	273600	Pela mesma incrível pessoa
273600	276620	Ninguém nunca teve coragem de se declarar diretamente
277360	279100	Os estaria furando o olho
279100	280380	De seus outros dois amigos
280380	282060	Lília teve seus romances
282060	283540	Mas nada muito sério
283540	285120	Ela nunca ficou longe dos amigos
285120	287540	Durante a faculdade, como era de se esperar
287540	290120	Foram para a mesma instituição de ensino
290120	291980	E dividiram um apartamento
291980	294560	Embora cada um tenha feito uma graduação diferente
294560	294600	Lília
294600	296120	No início foi um sonho
296120	297760	Até que certa manhã
297760	299360	Lília foi embora
299360	300660	Ao chegarem da aula
300660	303580	Encontraram uma carta onde ela se despedia
303580	304460	De maneira breve
304460	306600	Alegando problemas familiares
306600	308560	E dizia que um dia voltaria
308560	309620	Mas não voltou
309620	311880	O tempo de vazio e solidão se seguiu
311880	314140	E mesmo em três pessoas
314140	316900	O sentimento que existia era de solidão
316900	318120	Mas antes de continuar
318120	319720	Vamos conhecer essas pessoas
319720	321080	Vamos conhecer nossos jogadores
321080	324040	Agatha, fala sobre seu personagem, aparência e atributos
324040	324340	Olá
324340	326340	O nome da minha personagem é Isis
326340	327680	Ela é uma mulher alta
327680	329860	Com cabelos negros e pontas vermelhas
329860	332320	Que ela geralmente deixa no rabo de cavalo
332320	335300	Ela é branca e tem várias tatuagens coloridas
335300	337120	No corpo que ela foi fazendo ao longo dos anos
337120	339520	E ela tem um piercing no septo
339520	340660	E na sobrancelha
340660	341880	Ela é bem forte
341880	344080	Porque um dos hobbies favoritos dela é ficar na academia
344080	346500	E apesar dessa aparência intimidadora
346500	348040	Ela geralmente
348040	349660	Ela é meio tímida
349660	351400	E ela é o ombro do grupo
351400	353420	Ela oferece o ombro para as pessoas chorarem
353420	353500	E ela tem um ombro que é o ombro do grupo
353500	353560	E ela tem um ombro que é o ombro do grupo
353560	353620	E ela tem um ombro que é o ombro do grupo
353620	356700	Só que ela é muito reclusa com os próprios sentimentos
356700	359080	Talvez seja por isso que ela nunca se declarou para a Lilian
359080	360160	Mesmo amando ela
360160	361720	Ela é uma mulher trans
361720	363300	Que já fez a transição
363300	365340	E esse último ano
365340	366880	Ela finalmente começou
366880	368320	Como a Lilian estava fora
368320	371220	Ela começou a tratar dos próprios sentimentos
371220	373000	Começou a ver uma terapia
373000	375700	E finalmente agora está se dando
375700	378780	A oportunidade de abrir novos horizontes
378780	381180	Até começar um relacionamento
381180	382840	Meio fica não fica
382840	383420	Com o Andy
383420	383600	E ela está se dando
383620	385480	E estava tudo perfeito
385480	386680	Até aparecer esse convite
386680	388640	Eu tenho atributo 13
388640	391060	Fábio, fala sobre o seu personagem e a aparência e atributo
391060	392200	Olá pessoas
392200	394880	Hoje eu vou jogar com a Cecília
394880	396960	E o pessoal também chama ela de Ceci
396960	398540	O atributo dela é 4
398540	400400	Ela tem 23 anos
400400	402600	Ela é uma morena play size
402600	404040	1,65m
404040	407120	Cabelos negros e ondulados abaixo dos ombros
407120	408760	Ela faz o estilo
408760	410140	Mãezona, né?
410140	411580	Sempre cuidando dos outros
411580	413180	E fez faculdade de farmácia
413620	415160	Nunca se declarou para a Lilian
415160	418040	Porque ela nunca se sentiu boa o suficiente
418040	420500	Afinal, a Lilian é incrível
420500	422220	Sem falar que poderia perder a amiga
422220	423700	Caso se declarasse aí
423700	425420	O que ia acontecer com o grupo
425420	428340	O que iria acontecer se tudo desse errado
428340	430280	E ela nunca mais pudesse ir no cinema
430280	431920	Fazer festa do pijama
431920	434780	Ver séries na TV e comer besteira no sofá
434780	435780	Não ia dar certo
435780	438080	Sendo assim, sempre apoiou
438080	439680	Quando a Lilian arranjou alguém legal
439680	442660	Tirando o boy lixo daquela vez
442660	443480	A gente deu um jogo de futebol
443480	444120	Deu um jeito nele
444120	445440	Depois do que ele aprontou
445440	447540	E a gente nunca mais viu ele chegar perto dela
447540	449440	Foi muito melhor assim
449440	451180	Ela não ia dar certo com aquilo não
451180	452820	Bem, eu fiquei muito triste
452820	454180	Depois que a Lilian sumiu
454180	456800	E agora do nada chegou esse convite
456800	457980	O importante é
457980	459140	Eu vou fazer de tudo
459140	461560	Para que ela não suba nas nossas vidas de novo
461560	463640	E por último, Gabriel Balardino
463640	465440	Fala sobre esse personagem e a aparência dele
465440	467380	Olá, eu vou jogar com Andy
467380	469120	Andy é uma pessoa extrovertida
469120	471940	Simpática e que nunca esconde o que sente
471940	473440	É...
473480	474480	Tem 24 anos
474480	476380	Gosta de usar roupas coloridas
476380	478060	E tem várias tatuagens
478060	479640	Inclusive algumas em homenagem
479640	481440	Às suas amigas
481440	482980	Um coração que ela tem
482980	486020	Com algumas correntes que amarra
486020	486680	Entre outras
486680	488720	Já disse para a Lilian
488720	490380	Algumas vezes que a amava
490380	491720	E que queria ficar com ela
491720	494440	Mas sempre teve um tom de brincadeira
494440	497220	E como o Andy é uma pessoa
497220	499700	Muito do mundo
499700	501680	Ela é poligâmica
501680	503380	Ela pratica
503480	504480	Na monogamia
504480	506080	E as amigas dela costumam falar
506080	506980	Que ela é meio piranha
506980	509240	Isso sempre foi visto como uma piada
509240	511120	E elas nunca ficaram
511120	512460	Se bem que aquele beijo triplo
512460	514140	No ano novo não conta
514140	516160	Ama muito seus amigos
516160	519440	Prefere ser tratada com pronomes neutros
519440	521780	Mas não liga de ser tratada com nenhum pronome
521780	523600	E o atributo é 4
533480	543480	Mas não liga de ser tratada com nenhum pronome
543480	548480	Mas não liga de ser tratada com nenhum pronome
548480	549620	Foi falado de uma carta
549620	552800	Mas vamos ao momento em que ela chega
552800	553440	Antes disso
553440	555720	Vocês moraram e cresceram
555720	556920	Na mesma rua
556920	559120	Como se fossem o sol e a lua
559120	561080	Dividindo o mesmo céu
561080	562720	Vocês a viram desabrochar
563480	564660	Ser desejada
564660	566380	Uma joia cobiçada
566380	568260	O mais lindo dos troféus
568260	570100	Vocês foram seus guardiões
570100	571980	Seus anjos da guarda
571980	573220	E no fundo todos sabiam
573220	575640	Que consigo carregavam uma paixão
575640	578260	Vocês a viram se aconchegar em outros braços
578260	580480	E talvez até tenham buscado carinho
580480	581540	Em seus amigos
581540	582700	Mas nada sério
582700	585380	Juntos e mesmo assim tão sozinhos
585380	587980	Sentindo o gosto amargo do ciúme
587980	590280	E choraram sem carinho
590280	591940	Ao menos sem o carinho
591940	592820	Tílio
592820	593460	Tílio
593460	595140	Passou e ninguém se declarou
595140	596640	Sofreram calados
596640	599360	Mas nunca a tiraram do pensamento
599360	601660	No dia que por coincidência
601660	603040	Todos os três
603040	605800	Decidiram que bastava de sofrer
605800	607720	Precisavam colocar pra fora
607720	608780	Seus sentimentos
608780	610680	E ela não estava mais em casa
610680	612120	Ela havia partido
612120	614540	Vocês estão chegando no apartamento de vocês
614540	617300	Hoje todos tiveram algo a resolver
617300	618520	Pelo centro da cidade
618520	620480	E a Ceci
620480	622980	Deu uma carona pra todo mundo
623460	624060	Na volta
624060	626600	E agora ela está abrindo a porta
626600	628160	Do apartamento
628160	630620	É engraçado que embora vocês não saibam
630620	633380	Pois nunca comentaram sobre isso entre si
633380	635060	Parece bobo talvez
635060	637280	Sempre que vão abrir a porta
637280	639740	Vocês sentem aquela sensação
639740	641960	De que a Lilian vai estar lá dentro
641960	643400	Deitada no sofá
643400	645420	Usando a camiseta de banda de rock surrada
645420	647660	Vendo alguma série de qualidade duvidosa
647660	648560	Ou
648560	651900	Lendo algum romance barato de banca de jornal
651900	653260	Mas desde que ela partiu
653460	655040	Ela nunca está
655040	657460	E isso acaba decepcionando vocês
657460	658240	Hoje
658240	660560	Após se decepcionarem
660560	663760	A Ceci abrindo a porta
663760	666380	Vocês notam no chão
666380	667700	Um convite
667700	669460	Um papel bonito
669980	671440	Com letras douradas
