start	end	text
0	9760	O conceito de bruxa é muito antigo e já serviu de desculpa para se livrar de mulheres
9760	16080	que não se comportavam como a sociedade achava que elas deveriam a vilãs de histórias infantis.
16260	24100	Embora atualmente o conceito bruxa tenha sido ressignificado e tenhamos desde bruxas boas
24100	29720	em contos infantis a séries, elas ainda servem no fim para julgar quem for diferente.
30000	36220	Por exemplo, uma mulher que mora sozinha obviamente é uma bruxa e o que ela precisa é casar.
36540	37320	Será que é isso mesmo?
38980	42080	Episódio de hoje, o casamento da bruxa.
43320	45660	Com Peralta, padrinho do RPG Guaxa.
45960	48640	Com a Narciso Roxo, madrinha do RPG Guaxa.
48960	51920	E com Rafael Zorzal, editor do RPG Guaxa.
51920	56400	Eles têm alguns mechões que eu vou comentar com vocês lá no Escudo Mestre ao final do episódio.
56680	59920	O Realidades Paraléis do Guaxinim usa o sistema guaxinim Zangambiarra.
60000	66540	Mas, delicado jogador, usa apenas o único atributo que vai de 2 a 5, que vai de 2 a 5.
67880	71060	Quanto maior o atributo, mais atleta que o personagem.
71620	74100	Quanto menor o atributo, mais inteligente e carismático.
74320	79900	Sempre que o jogador faz algo com a chance de errar, joga dois dados e precisa tirar seu atributo.
79900	86220	Menos para ataques e assuntos físicos e seu atributo mais para ações intelectuais ou sociais.
87700	89900	Se a jogada for fácil, continue.
90000	92600	Se tiver algum auxílio, joga-se nada mais.
92720	97560	Se a jogada for difícil, joga-se então um dado a menos.
97560	102200	Eu sou a Fabiola e sou madrinha do RPG Guaxa.
102340	106660	Porque lá no Oropo me deixam cantar e falar muita besteira.
106920	108280	É divertido demais.
110040	114340	Não deixe de seguir nas redes sociais, tanto no Twitter quanto no Instagram.
114600	119940	Considere também se tornar apoiador lá no PicPay ou no Padrim para ajudar esse projeto a continuar existindo.
120260	120880	Boa aventura!
130660	139380	Sete realidades paralelas, uma infinidade de possibilidades, três jogadores e um guaxinim.
140060	142180	É um prazer ter vocês por aqui.
143000	146300	Queremos todos batendo as mãos para a próxima música.
146720	148040	Digo, aventura!
148040	149960	Cinco.
150000	150720	O que é isso, Guaxinim?
150760	152160	Quatro.
153160	154240	Onde é a cheia?
155020	155780	Três.
156260	156980	O que é isso, Guaxinim?
157680	158520	Dois.
163020	166040	RPG. Realidades Paralelas do Guaxinim.
166400	168800	Sua aventura de bolso na forma de podcast.
169220	171720	Uma jornada completa a cada episódio.
180000	187000	O que é isso?
187000	191080	O que é isso?
191080	191120	O que é isso?
191120	191180	O que é isso?
191180	191220	O que é isso?
191220	191260	O que é isso?
191260	191300	O que é isso?
191300	191320	O que é isso?
191320	191340	O que é isso?
191340	191360	O que é isso?
191360	193220	Embora eles saibam que elas existem.
193800	200340	A lenda ensina que os habitantes de Cedro Roxo foram banidos de uma vila chamada Cedro Vermelho
200340	208620	e que seus habitantes caminharam por duas gerações até chegarem ao Cedro, que marcou um novo começo para esse povo.
208620	217760	Foram cem anos de paz e prosperidade e continuaria assim por mais cem anos se as ovelhas não estivessem doentes.
218580	223360	A lã está caindo, o leite está azedo, os filhotes nascem mortos.
224040	228000	O fim se aproxima, mas o velho sábio da vila tem uma solução.
228440	232780	Mas antes de chegar a esta solução, vamos conhecer os nossos jogadores.
233540	236560	E temos aqui três estreias no RPG Guaxinim.
236780	238420	Peralta, fala sobre o teu personagem.
238420	242880	E aí pessoal, eu sou o Ardo, o atributo dele é 3.
