start	end	text
0	29980	O Jogo do Bicho
30000	36320	Que supera a dor e dá forças pra dançar
36320	42420	Guaxi, Fantasy, RPG, vamos jogar
42420	48480	Porque quando o baile começa não tem ninguém que vai nos parar
48480	52740	Sem guaxar, guerreiros do Jogo do Bicho
52740	58880	Sem guaxar, anime do cavaquinho
58880	65280	Sem guaxar, subindo o novo morro
65280	72560	Sem guaxar, rebolar até o chão
88880	92300	Versão brasileira para podcast Contador de Histórias
118880	148860	Legendas por TIAGO ANDERSON
148880	178860	Legendas por TIAGO ANDERSON
178880	208860	Legendas por TIAGO ANDERSON
208880	238860	Legendas por TIAGO ANDERSON
238880	268860	Legendas por TIAGO ANDERSON
268880	298860	Legendas por TIAGO ANDERSON
298880	328860	Legendas por TIAGO ANDERSON
328880	358860	Legendas por TIAGO ANDERSON
358880	388860	Legendas por TIAGO ANDERSON
388880	418200	Legendas por TIAGO ANDERSON
418200	418740	Legendas por TIAGO ANDERSON
418740	448720	Legendas por TIAGO ANDERSON
448740	478080	Legendas por TIAGO ANDERSON
478080	478600	Legendas por TIAGO ANDERSON
478600	481540	1 em 5, teu atributo é 5
481540	483880	Então tu conseguiu um acerto normal
483880	484960	E um acerto crítico
484960	487520	Por tirar teu atributo
487520	488820	Ele acelera a moto
488820	490040	A moto tá indo na tua direção
490040	492300	Cabeça de cachorro, rabo de cachorro
492300	493820	O que que tu faz?
494580	495840	Como é que foi esse teu ataque?
496300	498980	Ele foi tipo mexendo com o eletromagnetismo
498980	500480	Para parar a moto
500480	502280	Tu concentra a tua energia
502280	503860	Tu controla a energia elétrica
503860	505660	Esfregando uma patinha da armadura na outra
505660	507540	A Cris cria uma corrente elétrica
507540	509340	Que é disparada quando ela estende as mãos
509340	510360	Na direção do oponente
510360	511760	E acaba acertando o motor
511760	515300	A moto para, o piloto continua
515300	519220	Ele é atirado pra fora da moto
519220	521560	Ele bate contra os carros
521560	522220	Contra o chão
522220	524240	E tu vê a armadura dele
524240	526940	Voltando a virar só um pingente
526940	533220	A tua armadura se desfaz
533220	535240	Tu te sente cansada
535240	536480	E desmaia
536480	536920	Eita
536920	544000	Vocês três acordam no hospital
544000	546780	Estão lá, quarto branco
546780	548100	Caminhos um do lado do outro
548100	550520	Tem quatro camas na verdade
550520	552440	Na quarta cama
552440	554040	Está o Galo de Andrade
554040	558480	Eu tô com quantos ossos quebrados?
559340	560480	Não, agora tá tudo certo
560480	561860	Beleza
561860	564240	Primeiro eu vou ver se
564240	565760	Minhas amigas estão bem
565760	566900	Cris, eu tô com quantos ossos quebrados?
566920	567920	Cris, Anísia
567920	570260	Pedro
570260	572600	Onde que a gente tá?
573360	575260	Eu nem consegui anotar a placa
575260	576900	Mano
576900	577960	Eu acho que a gente tá no hospital
577960	579280	O que tá acontecendo?
580240	581300	Eu não tô entendendo nada
581300	582700	O que a gente tá fazendo aqui?
583920	584980	Galo de Andrade?
585300	587880	Eu vou até o Galo
587880	589500	O Galo, ao contrário de vocês
589500	591400	Ele tá com os dois braços engessados
591400	592460	Uma perna engessada
592460	593420	Ele tá bem machucado
593420	595020	Tá com a cabeça enfaixada
595020	596220	E ele fala
596220	599060	Eu fui atacado por um cavaleiro de armadura
599060	601600	Ele levou a Saori
601600	604900	Ele disse que ia casar com ela
604900	606220	E unir os dois reinos
606220	608960	Ele quer comandar São Paolo
608960	609820	E o nosso morro
609820	611940	Você viu quem era?
612680	615140	Ele usava armadura de porco
615140	617160	Armadura de porco
617160	618660	É o que me faltava
618660	620160	Quando a gente
620160	621980	Foi desmaiado
621980	623520	A gente viu algumas armaduras?
624640	625880	Não, vocês não viram?
626220	627140	Não, não viram
