start	end	text
0	800	Estamos prontos?
1160	1980	Estamos sim!
2840	5180	Ah, você prefere mestre ou narrador?
5360	7060	Na verdade, eu prefiro guache.
9800	13940	Olá, eu sou Marcelo Guaxinim, sou o guache da aventura de hoje e estou aqui com...
13940	19840	Oi, eu sou o Alan Piononi, vocês podem me encontrar na internet com o arroba Monstros Alados
19840	24140	e também pelo Alanizando Podcast, um podcast sobre livros.
24140	30280	Oi, eu sou a Dani, podem me achar na internet, acho que o lugar mais fácil de vocês me acharem
30280	32860	é na taberna do Guaxinim, então vira padrinho.
33020	36900	Oi, eu sou a Rafa e vocês também me encontram na taberna do Guaxinim.
37960	41920	O Realidades Paralelas do Guaxinim usa o sistema guaxinis e gambiarras.
42320	45520	Nele, cada jogador possui apenas um único atributo, que vai de dois a cinco.
46000	51000	Quanto maior o atributo, mais atlético é o personagem, quanto menor, mais inteligente e carismático.
51180	53540	Sempre que o jogador faz algo com mais chance de errar,
53540	58120	joga dois dados e precisa tirar seu atributo ou menos para ataques e ações físicas
58120	61600	e seu atributo ou mais para ações intelectuais ou sociais.
62040	64800	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
65060	67120	Se a jogada for difícil, rola-se um dado a menos.
67440	70240	Eu sou o Luiz Felipe Erdi e sou padrinho do RPG Guaxinim
70240	74980	porque é uma oportunidade incrível de conhecer pessoas que falam dos assuntos mais aleatórios possíveis
74980	78360	desde One Piece, Game of Thrones, futebol e coisas de gênero
78360	82980	e também porque é um canal muito bacana para marcar mesa de RPG, mestrar, jogar, enfim.
82980	86700	É uma comunidade muito interessante e que eu tenho muito prazer em fazer parte.
87520	92240	Convido você a ajudar esse projeto lá no apoia.se
92240	95740	para receber o episódio antes, gravar a voz do NPC, discutir os episódios,
96380	99620	principalmente ajudar o RPG Guaxinim a existir.
100380	101200	Conto com sua ajuda.
103440	105640	Episódio de hoje, Monster Chef.
112980	129740	Diz a lenda que o mundo dos pesadelos foi criado pelos medos dos humanos de uma realidade distante.
130040	131680	Isso é parcialmente verdade.
131980	135480	A base desse mundo veio de uma divindade chamada Ananda
135480	138340	que adorava assistir TV, animes e principalmente doramas.
138340	141480	Ela moldou esse mundo com seus próprios sonhos e,
141520	142960	graças aos gostos que ela tinha,
142960	144420	os sonhos peculiares de sua esposa,
144940	146900	movou o mundo com medos humanos.
147240	149200	Mas com suas versões...
149200	150220	doramizadas.
150800	153040	Hoje, alguns milênios depois,
153700	158200	muitos monstros e pesadelos de verdade acabaram por escolher esse mundo como lar.
158820	161340	E a própria Ananda há séculos não é mais vista.
161940	164640	O sistema de governo atual é a democracia monárquica,
164900	167520	pois a Ananda queria participação popular em um mundo de reis,
167960	169180	duques e princesas.
169180	172680	A eleição de quem realmente manda acontece a cada cinco anos,
172960	176020	com seus ministros, senadores, deputados, etc.
176020	179020	A eleição da família real ocorre uma vez por século,
179020	181020	ou quando o ministro determinar.
181020	184860	Mas isso envolve um dragão, soldados e é extremamente burocrática.
184860	187120	A família real até manda em alguma coisa.
187120	189740	Mas o sistema, como falei, é complexo.
189740	191740	E nada tem a ver com a aventura de hoje.
191740	193740	A princípio, pelo menos.
193740	196940	Mas chega de falar de sistemas políticos, pra isso existe o sidecast.
196940	202040	Basta saber que a família real é composta, atualmente, pelo rei Pyrrhus Ignis,
202040	204040	um gênio do fogo, um digim,
204040	208040	a rainha serpentina Naga, uma naga, obviamente,
208040	210040	a princesa Igna Ignis,
210040	214040	e seu irmão caçula, Seraph Ignis.
214040	218040	Mais famoso que a família real é Gordon Ramses,
218040	220040	a múmia mestre Kuka.
220040	224040	Conhecido por seu perfeccionismo e pela rigidez com que comanda sua cozinha,
224040	227040	ele é exigente, meticuloso e não tolera erros.
227040	230040	Mas também é extremamente talentoso e dedicado ao seu ofício.
230040	232040	Ele é famoso por seu temperamento.
232040	235040	Não só por ser explosivo, mas também por sua habilidade incomparável
235040	238040	de transformar ingredientes simples em obras de artes culinárias.
238040	240040	Ele apresenta o Monster Chef,
240040	242040	o programa de culinária mais famoso deste mundo.
242040	245040	E outros dois, mas isso definitivamente não vem ao caso agora.
245040	248040	Esse programa tem sua versão regular com adultos,
248040	250040	sua versão júnior com crianças,
250040	254040	e agora, pela primeira vez, a versão real.
254040	257040	Uma disputa entre adolescentes, com várias fases regionais,
257040	261040	e uma fase final, que ocorrerá no castelo da família real.
261040	263040	Com o próprio Rei avaliando os pratos.
263040	265040	E é aqui que os jogadores entram.
265040	269040	Eles são da mesma turma do terceiro ano do Coragem de Monstros.
269040	272040	E, supondo que ninguém tenha reprovado em algum ano,
272040	274040	eles se conhecem há muito tempo,
274040	278040	tendo crescido juntos e desenvolvido em comum gosto pela culinária.
278040	281040	Então vamos conhecer nossos alo-monstros de hoje.
281040	284040	Peço que o Alan fale sobre seu personagem, aparência e atributos.
284040	290040	O meu personagem é Xavi, que é um ser metamorfo adolescente de 17 anos.
290040	297040	A aparência mais comum de Xavi é um corpo humanoide com a cor verde,
297040	302040	se bem que recentemente ele tem aparecido com duas asas distintas.
302040	305040	Uma asa de morcego cadavérica de um lado,
305040	309040	e de outro lado uma asa de borboleta nas cores rosa, azul e branco.
309040	313040	Isso é uma referência a uns monstros alados poetas que ele gosta.
313040	317040	Xavi é um ser a gênero que utiliza qualquer pronome,
317040	320040	porque as categorias de gênero não fazem sentido.
320040	322040	Para um povo metamorfo.
322040	326040	A família de Xavi é bastante belicosa.
326040	330040	Eles utilizam esse poder de metamorfose para se infiltrar em povos inimigos
330040	332040	e causar uma discórdia interna.
332040	336040	Só que Xavi já é uma pessoa bastante pacifista,
336040	340040	que prefere usar os poderes para pregar alguma peça divertida,
340040	344040	ou então para ter alguma vantagem diplomática.
344040	349040	Afinal de contas, não há nada mais diplomático do que se disfarçar como general de um exército,
349040	352040	e mandar parar um ataque nuclear.
352040	357040	Não que Xavi tenha feito isso, mas definitivamente é uma coisa que está no bucket list dele.
357040	360040	Xavi está interessada no Monster Chef,
360040	365040	porque acredita que comida boa é uma das melhores formas de promover a diplomacia entre os povos.
365040	370040	E também é uma ótima oportunidade de exibir a sua vasta gama de imitações perfeitas.
370040	373040	Xavi consegue assumir qualquer forma que quiser,
373040	377040	mas ainda não é capaz de criar nenhum tipo de músculo e resistência física.
377040	379040	É por isso que seu atributo é o 2.
379040	382040	Dani, fala sobre o seu personagem, aparência e atributo.
382040	384040	Hoje eu vou jogar com a Lupita.
384040	387040	Ela é uma Omelobi.
387040	389040	É uma lobisomem que vira humana na lua cheia.
389040	393040	Ela é uma loba muito bonita, de mais ou menos 17 anos.
393040	398040	Normalmente utiliza um vestido azul, com um avental branco e um laço azul na cabeça.
398040	403040	Seu pelo é marrom, muito sedoso, e que ela ama deixar bem alinhadinho e penteado.
403040	406040	Muito amigável com todos na escola de monstro.
406040	410040	Faz parte do clube de culinária.
410040	414040	E adora fazer biscoitos, principalmente na forma de ossinhos.
414040	418040	Seu sonho é se tornar uma grande confeiteira e ter sua própria padaria.
418040	421040	E o atributo dela vai ser 3.
421040	423040	Rafa, fala sobre o seu personagem, aparência e atributo.
423040	425040	Hoje eu vou jogar com a Mixória.
425040	428040	Que os amigos dela chamam ela de Mix.
428040	430040	Ela é uma meio dragão de 16 anos.
430040	433040	Ela é alta, tem um cabelo curto rosa,
433040	435040	a pele rosada com escamas,
435040	437040	e dois pequenos chifres roxos.
437040	441040	Por ser meio dragão, ela consegue transformar algumas partes do seu corpo,
441040	443040	mas apenas uma parte de cada vez.
443040	446040	Então, ou ela usa suas asas, ou as garras,
446040	449040	ou consegue soltar fogo, mas só de vez em quando.
449040	454040	Apesar da sua descendência pressupor que ela teria um gosto pelo combate,
454040	457040	Mix é muito adepta das atividades artísticas e da culinária.
457040	460040	Pois adora usar a criatividade e passar tempo com os amigos.
460040	464040	Mesmo que a sua força as vezes a torne meio desastrada.
464040	466040	O atributo dela é o 4.
475040	479040	A quadra da escola, normalmente reservada para atividades esportivas,
479040	482040	foi transformada em um vibrante palco de competição culinária.
482040	486040	Refletindo a natureza peculiar de seus alunos monstros adolescentes.
486040	490040	O piso polido brilha sobre as luzes coloridas que piscam em tom verde e roxo.
490040	492040	Criando uma atmosfera mágica.
492040	496040	Bancadas de cozinha bem equipadas se alinham em filas organizadas.
496040	500040	Cada uma decorada com utensílios encantados e ingredientes exóticos.
500040	502040	Alguns ainda se mexendo.
502040	504040	Típicos do mundo monstruoso.
504040	507040	O telhado alto está adornado com bandeirolas e balões
507040	510040	em forma de caldeirões e olhos esbugalhados.
510040	513040	Nas arquibancadas, criaturas de todas as formas e tamanhos se aglomeram.
513040	517040	Ansiosos para verem seus colegas mostrarem suas habilidades.
517040	520040	Enquanto professores e o famoso guarda Ramses,
