start	end	text
0	17220	Você já notou que a maioria das pessoas nunca viu um diamante de perto?
17900	19760	Mas e você, você já viu um diamante de perto?
20460	23760	Algumas nunca vão receber um anel de casamento como dos filmes
23760	26640	A boba diria que casar é um erro, inclusive
26640	29300	Gente que não se orgulha do seu endereço
30000	31780	Ninguém escolhe onde nasce
31780	33760	Um subúrbio destruído
33760	36580	Ou no caso específico de hoje, um circo
36580	37960	O circo da boba
37960	41920	Já notou como todas as músicas parecem que só falam de dentes de ouro
41920	47080	Vodka, drogas no banheiro, manchas de sangue, vestidos de festa
47080	48780	Gente que não se importa
48780	52400	Gente que dirige cadilaques nos sonhos
52400	57260	No fundo todo mundo quer saber de champanhe, carrões, diamantes em relógios
57260	60360	Jatinhos, ilhas, tigres em coleiros de ouro
60360	61540	Mas não se importa
61540	64400	Pessoas que não são pegas em casos de amor
64400	67680	E nós nunca, nunca seremos da realeza
67680	70940	Isso não corre no nosso sangue
70940	72680	O maldito sangue azul
72680	74360	Esse tipo de luxo não é pra nós
74360	77400	Nós buscamos um tipo diferente de diversão
77400	80060	Deixe a boba ser sua soberana
80060	83180	A sua abelha rainha
83180	87220	A personagem principal da aventura de hoje
87260	88600	Três crianças
88600	90320	Vivendo no circo
90320	92720	E aprendendo muito mais
92720	94780	Do que fazer rir
94780	96000	Episódio de hoje
96000	98660	A boba, o circo e as crianças
98660	100040	Com o Alano Sabeão
100040	102360	Lá do Gerência Sem Experiência
102360	103700	Com o João Paulo Bunch
103700	105040	Do Paralelo B
105040	106940	E com o Wilson Negreiros
106940	109780	Lá do Vozes na Cabeça Podcast
109780	112300	Realidades Paralelas do Guaxinim
112300	114060	O sistema Guaxinim e Gambiarras
114060	117100	Nele, cada jogador possui apenas um único atributo
117260	118200	Vai de 2 a 5
118200	121100	Quanto maior o atributo, mais atlético é o personagem
121100	123440	Quanto menor, mais inteligente e carismático
123440	126220	Sempre que o jogador faz algo com uma chance de errar
126220	128840	Joga dois dados e precisa tirar seu atributo ou menos
128840	130800	Para ataques e ações físicas
130800	132460	E seu atributo ou mais
132460	134100	Para ações intelectuais ou sociais
134100	135920	Se a jogada for fácil
135920	137920	Ou tiver algum auxílio, joga um dado a mais
137920	140360	Se a jogada for difícil, rola-se um dado a menos
140360	142560	Eu sou o Alexandre Yudi
142560	144340	E eu sou o padrinho do RPG Guaxinim
144340	146080	Porque eu amo demais esse projeto
146080	146540	E as pessoas maravilhosas que fazem isso
146540	146600	E as pessoas maravilhosas que fazem isso
146600	146640	E as pessoas maravilhosas que fazem isso
146640	146660	E as pessoas maravilhosas que fazem isso
146660	148720	E as pessoas maravilhosas da nossa comunidade
148720	151340	Não deixe de nos seguir nas redes sociais
151340	153520	Arroba o Marcelo Guaxinim, arroba a RPG Guaxa
153520	155500	Tanto no Twitter quanto no Instagram
155500	156900	Isso é muito importante
156900	158700	Considere também se tornar um apoiador
158700	160560	No PicPay ou no Padrim
160560	163740	Para que esse projeto continue saindo cada vez mais
163740	166040	A gente fala mais sobre isso no Escudo Mestre
166040	166900	Ao final do episódio
166900	168080	Boa aventura
168080	176000	Let me live that fantasy
176000	178040	Oh oh
178040	180040	Oh oh
180040	182040	Oh oh
182040	183040	Oh oh
183040	187040	I'm bigger than I ever dreamed
187040	189040	And will never be free
189040	191040	Oh oh
191040	193040	Oh oh
193040	195040	Aí vocês estão no café, né?
195040	197040	Aí vocês estão no café, né?
197040	199040	Rola os dados
199040	201040	BOLA DE FOGO
201040	203040	Chama o...
203040	205040	Chama o clérigo
205040	205360	Chama o clérigo
205360	205860	Chama o clérigo
205860	208180	Comecei a morrer
208180	209500	Hora iniciativa
209500	210460	Então
210460	212520	Não tem armadilha
212520	213500	Podemos ir
213500	215360	O que vocês fazem?
216640	217460	Tá, tá
217460	219500	É, eu amarro uma corda nelas
219500	220720	E uso como arma
220720	221980	Eu ataco
221980	224480	O magro lança seu thunderbolt
224480	226280	Mais 15 no beholder
226280	231020	Tem algum lugar pra se esconder?
231020	233940	Ah, falha a crítica
233940	235440	Ataque de europeiridade
235440	235840	Ei!
235860	237880	arrumando, chamo o clínico
237880	240960	RPG
240960	244240	Realidades Paralelas do Guaxinim
244240	245780	sua aventura de bolso
245780	247180	na forma de podcast
247180	250120	uma jornada completa a cada episódio
265860	276280	o circo é um lugar de alegria
276280	278700	o local onde adultos e crianças vão para rir
278700	280440	se impressionar, esquecer um pouco
280440	282240	de seus problemas e sonhar
282240	284060	com algo mágico, com algo único
284060	286160	ainda mais em um mundo regido pela espada
286160	288800	onde a tecnologia mais avançada é a roda d'água
288800	290280	os habitantes do circo são
290280	291720	sempre os mais variados
291720	294680	com várias alturas, cores e sotaques
294680	295840	vindo de todos os cantos
295840	297380	que o circo tenha passado
297380	299800	alguns escolhem o circo para viver aquele sonho
299800	302680	outros querem apenas fugir de um pesadelo
302680	304620	um circo em tempos de paz
304620	305340	é uma alegria
305340	307480	um circo num tempo de guerra
307480	309720	é uma distração desnecessária
309720	311440	ao menos é isso que alguns pensam
325840	329800	os três jogadores de hoje não sabem
329800	331520	de que pesadelo fugiram
331520	333500	ou em que sonho chegaram
333500	336040	tudo que sabem é que há 10 anos atrás
336040	337120	eram criança
337120	339500	eles estavam tristes, abraçados
339500	341660	serem irmãos? não parecem ser
341660	343460	mas estavam abraçados, chorando
343460	344660	encatarrados
344660	347060	enquanto de um pequeno vaso saiu uma mulher
347060	348320	uma mulher muito magra
348320	350880	mas que mesmo assim não deveria caber ali
350880	352140	naquele vaso
352140	354720	com sua maquiagem branca, com sua lágrima negra
354720	355820	com seu sorriso largo
355820	357880	com sua roupa preta e vermelha
357880	359400	com seu chapéu de três pontas
359400	361500	ou um guiso em cada uma delas
361500	363820	guisos que tocaram alegres quando seu corpo tremeu
364460	365800	ao recolocar os ossos
365800	367860	que ela havia movido para caber ali
367860	368800	naquele vaso
368800	370540	um tremor de dor que a fez sorrir
370540	373080	mostrando ainda mais seus dentes brancos demais
373080	374220	afiados demais
374220	375620	eu cuido de vocês
375620	377480	disse ela saltando sobre as crianças
377480	379700	naquele mesmo dia eles estavam no circo
379700	381400	aprendendo suas novas funções
385820	397120	o circo viaja pelos reinos
397120	398800	às vezes faz shows de graça
398800	400760	às vezes cobra muito caro
400760	402100	depende da cidade que param
402100	403600	às vezes a boba
403600	405840	como é chamada a mulher que os...
405840	406720	salvou?
407020	407620	sequestrou?
408020	409900	seduz o homem mais rico da plateia
409900	412800	e no dia seguinte o circo precisa se mudar às pressas
412800	415520	os jogadores possuem zero memória de sua vida
415520	416580	antes da boba
416580	419980	mas possuem muitas memórias dos 10 anos que passaram no circo
419980	421600	a maioria delas são boas
421600	423680	Luana, conta pra gente como é o teu personagem
423680	425040	aparência, atributo
425040	427180	eu serei a Nyx
427180	429320	eu tenho 16 anos
429320	431300	uma pele clara como a neve
431300	433360	cabelos negros como a noite
433360	435720	e olhos azuis que lembram o céu
435720	437780	nos seus dias mais lindos
437780	439020	e sem nenhuma nuvem
439020	440560	bom, eu sou a bailarina
440560	443000	mas também a domadora de feras
443000	444860	e como bailarina uso
444860	446900	o que eu aprendi na dança
446900	448880	pra lutar quando necessário
448880	451000	assim como pra domar
451000	452980	bom, e...
452980	454360	meus lindos animaizinhos
454360	456360	quando tentam me comer também ajuda
456360	458760	pra dar saltos e tudo mais
458760	460600	mas...
460600	464040	além de me divertir com meus bebês de dentes afiados
464040	467840	eu também gosto muito de aprimorar os meus golpes
467840	470220	digo, os meus passos de dança
470220	472540	e quando todos estão dormindo
472540	474040	ou distraídos
474040	474840	eu dou uma escapada
474860	477800	em cada cidade que a gente para
477800	480100	pra eu ver como é a vida lá fora
480100	482900	isso às vezes me colocou umas enrascadas
482900	484900	mas como meu irmão fala
484900	486900	o que é uma vida sem aventura?
486900	488900	bom, o meu atributo é 4
488900	489900	perfeito
489900	491900	o JP, fala sobre o seu personagem
