start	end	text
0	18280	Cachins Dourados e os Três Ursos é um daqueles contos clássicos, passados de maneira oral,
18420	23940	de geração em geração, até alguém colocar num livro, amenizar sua história, dar aquela
23940	27560	encaixada numa lição de moral e vender pra ganhar dinheiro.
27560	33600	Dessa vez nem foram os Irmãos Grimm, uma história que já teve uma raposa, uma idosa
33600	36300	e a mais famosa de todas, uma garotinha.
36780	39560	Bem, é hora de contar a minha versão.
41940	46440	Episódio de hoje, Os Três Ursos e a Soneca da Fava de Mel.
48240	52120	Olá, eu sou Marcelo Guaxinim, eu sou o Guaxa da aventura de hoje.
52120	53120	E eu estou aqui com...
53900	54940	Eu sou Felipe Xavier.
55540	57320	Você me acha no Instagram.
57560	61580	Ou no X, no arroba FXCLSMG.
61760	67140	Oi, eu sou a Dani e vocês me acham no RPGuaxa, na tabela.
67520	68820	Eu sou a Grafadrim.
69100	76660	Olá, eu sou a Fabiola, você me conta também lá no grupo de apanhadores do RPGuaxa, tá bom?
78500	83980	O Realidades Paralelas do Guaxinim usa o sistema guaxinins e gambiarras.
84560	87540	Nele, cada jogador possui apenas um único ator.
87560	89920	Um único atributo, que vai de 2 a 5.
90640	93800	Quanto maior o atributo, mais atlético é o personagem.
94420	96560	Quanto menor, mais inteligente e carismático.
97920	102140	Sempre que o jogador faz algo com uma chance de errar, joga dois dados.
102620	106960	E precisa tirar o seu atributo ou menos para ataques e ações físicas.
107400	111000	E seu atributo ou mais para ações intelectuais ou sociais.
112180	116020	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
116260	117520	Se a jogada for difícil...
117560	119220	Se for difícil, rola-se um dado a menos.
120200	123160	Eu sou a Bia, também conhecida como Bia Rebelde.
123700	129160	E sou madrinha do RPGuaxa, porque além do Guaxa merecer todo o apoio por esse projeto incrível,
129720	133400	a taberna é o melhor lugar para se estar a qualquer momento do dia.
135180	137660	Um aviso rápido e muito importante.
138360	141360	Que a hora que vocês tenham isso em mente, prestem muita atenção.
141360	147360	O urso, mesmo que criança, ser confundido com alguém de fantasia,
147560	150240	é da altura de uma pessoa adulta.
151600	152160	Obrigado.
153000	154300	Não deixe de seguir a gente nas redes sociais.
154400	157360	Vamos amassar o guaxinim arroba RPGuaxa, tanto no Twitter quanto no Instagram.
157920	162880	E considere, de coração, apoiar esse projeto no PicPay ou no Padrim.
163400	165420	Um beijo no coração de vocês e boa aventura.
168760	170860	Sete realidades paralelas.
171320	173600	Uma infinidade de possibilidades.
174480	176560	Três jogadores e um guaxinim.
177560	183460	Já estão todos em campo e aguardando o apito para o início a mais uma aventura.
187020	187900	Cinco.
189940	190860	Quatro.
192900	193780	Três.
195860	196420	Dois.
200880	203920	RPG. Realidades paralelas do guaxinim.
203920	206720	Sua aventura de bolso na forma de podcast.
207560	209820	Jornada completa a cada episódio.
209820	230120	A casa fica no meio de uma encantadora clareira na densa floresta.
230120	234520	É uma casinha de madeira construída com troncos de árvores robustas e rústicas, dando-lhe
234520	236860	uma aparência acolhedora e tradicional.
236860	241440	A fachada da casa é adornada com detalhes encantadores, como corações entalhados nas
241440	243100	janelas e no batente da porta.
243280	248380	O telhado íngreme é coberto por telhas de madeira e folhas secas, o que ajuda a misturar
248380	250380	a casa com o ambiente natural ao redor.
250580	255340	Há uma chaminé de pedra que sai do topo do telhado, de onde sobe uma suave fumaça
255340	256640	quando a lareira é acesa.
256920	260880	A entrada da casa é marcada por uma porta de madeira maciça, decorada com pequenos
260880	262520	desenhos de ursos e flores.
262520	266720	Ao lado da porta há uma pequena janela, com cortinas de tecido xadrez vermelho.
266860	274980	A casa é cercada por uma cerca de estacas de madeira, delimitando uma área onde crescem
274980	278100	flores silvestres coloridas e grama verdejante.
278100	282420	Na frente da casa há uma pequena varanda, com um balanço de madeira e uma mesinha com
282420	283420	cadeiras.
283420	287100	Um ótimo lugar para passar o tempo ao ar livre nos dias ensolarados.
287100	291800	A casa em si é de tamanho modesto, com apenas um andar, mas é grande o suficiente para
291800	294740	acomodar três ursos, confortavelmente.
294740	296740	Sim, literalmente.
296860	302500	A casinha se funde perfeitamente com a natureza ao seu redor, proporcionando aos ursos um
302500	308720	refúgio aconchegante e seguro para viverem suas vidas em harmonia com a floresta mágica
308720	309720	que os rodeia.
309720	315100	Antes de continuar, vamos conhecer os três moradores desta casa, a família de ursos
315100	316980	que habita este local.
316980	318420	Primeiramente, o pai da família.
318420	322420	Olá, eu sou o Balu, de atributo 5.
322420	326380	Eu sou um urso pardo grande, tenho pelo áspero.
326380	330980	Eu tenho na minha cabeça um chapéu de palha, e na minha barriga uma mancha que se assemelha
330980	334060	a gravetos cruzados, talvez?
334060	337300	Eu gosto muito de mel, peixe e, sobretudo, mingau.
337300	341440	Eu sou muito carinhoso, mas se mexerem com meu mingau, quer dizer, minha família, eu
341440	342440	fico bravo.
342440	343440	A mãe da família.
343440	351020	Eu vou ser a Dora, meu atributo é 3, é uma ursa parda, que ama sua família, adora
351020	353380	doces e cuidar do jardim.
353380	356380	Normalmente ela está com o avião amarrado na cintura.
356380	364140	Ela tem bolsos na frente, onde ela coloca quase tudo de dona de casa, linha de costura,
364140	366820	colher de pau, agulha.
366820	374060	Além do avental, ela usa uma fita em forma de laço na orelha direita e um colarzinho
374060	375060	de peru.
375060	380500	E nessa manhã maravilhosa de aventura, ela preparou uma linda cesta de piquenique, onde
380500	384980	a família toda foi fazer um piquenique lá perto da casa das Londres.
384980	385980	Perfeito.
385980	387740	E por último, a filha desta família.
387740	388740	Oi!
388740	390800	Hoje eu vou jogar com a Cacá.
390800	396180	O atributo dela é 4, ela é uma ursa parda filhote cheia de energia.
396180	399800	Ela gosta de brincar, comer mel e ajudar os animais menores.
399800	403940	Por isso anda pela floresta com uma capa de super-herói na cor lilás.
403940	407740	Ama sua mamãe e papai ursos e adora escalar neles e ganhar cafunés.
415980	427380	Vocês três então foram num piquenique esta manhã.
427380	432220	Mas por mais que vocês tenham ido num piquenique, na volta vocês vão caminhar já um pedaço
432220	438760	e tal, acharam por bem, o que vocês sempre fazem, deixaram pronto já o almoço, três
438760	444740	tigelas de mingau, ficaram esperando vocês na mesa enquanto vocês faziam o piquenique,
444740	451940	brincavam com as lontras, caminhavam pela floresta até que vocês chegam em casa e
451940	454540	lá de fora vocês já notam a porta está aberta.
454540	458500	Hum hum hum hum hum hum hum hum.
458500	461680	Balu, você esqueceu de trancar a porta de novo.
461680	464300	Eu nunca esqueço de trancar essa porta.
464300	467260	Ah sim, na outra vez os coelhos estavam lá.
467260	468860	Eu corri pra porta já.
468860	470740	Êêê, será que tem algum inimigo?
470740	472260	Será que tem alguém precisando de ajuda?
472260	473260	Nós temos que ver.
473260	474260	Cacá, presta atenção.
474260	474740	Não!
474740	479740	Poxa, eu tô fungando, tentando sentir cheiro.
479740	480740	Ok.
480740	486980	Tu rola dois dados e a Cacá rola dois dados e eu vou chamando.
486980	487980	Cacá tirou quanto?
487980	489980	Eu tirei dois e dois.
489980	490980	São duas falhas.
490980	492980	O Balu tirou quanto?
492980	493980	Um e um.
493980	501180	Balu, tu não sente cheiro de nada estranho, tu sente o teu cheiro de urso, o cheiro das
501180	504260	coisas que tu comeu no piquenique, mas fora isso, nada que te chame a atenção.
504260	511260	A Cacá não nota nada de muito diferente, embora o óbvio esteja na cara dela, independente
511260	512260	do que ela tirou.
512260	521260	As portas dos armários da cozinha estão abertas, tem um pote de mel virado, comeram os biscoitos,
521260	525260	assim, alguém mexeu nos armários de vocês.
525260	529260	Então eu falo assim, não tem ninguém aqui, mas mexeram em tudo.
529260	531260	Eita bagunça, mamãe não vai gostar não.
531260	538260	Eu vou entrando atrás dos dois e olhando, acho que como a Cacá gritou que mexeram em
538260	539260	tudo, né?
539260	543260	Eu vou olhando assim, como é que tá o tamanho da bagunça ali.
543260	549260	Tem farol de biscoito, tem pote de mel, assim, meio virado, assim, na mesa tem as tigelas
549260	555260	de mingau, né, mas a bagunça mesmo foi nos armários, assim, de mantimento.
555260	556260	Será que foram os esquilos?
556260	560260	Ou o guaxinim, ele gosta de mexer, às vezes, nas coisas dos outros.
560260	564260	Mas os guaxinim ficam mais na borda da floresta, não vi.
564260	566260	Fazia tempo que eles não vinham aqui em casa.
566260	568260	Deixa eu ver se mexeram na coisa mais importante.
