start	end	text
0	24100	Então é Natal, e o que você fez?
24100	28420	Eu fiz um podcast este ano, que chegou finalmente ao décimo episódio.
28420	32160	E esse episódio é um episódio especial para comemorar tudo o que a gente passou até aqui.
32700	38220	Ainda assim, como qualquer um dos episódios anteriores, ele pode ser ouvido e aproveitado
38220	41740	como um elemento único, com início, meio e fim.
42200	47240	Mas ao contrário dos episódios anteriores, este episódio tem uma grande homenagem
47240	53060	aos nove episódios que a gente passou durante o ano de 2018, a personagens, a situações.
53060	57480	Então tem vários easter eggs que só quem acompanha os nove episódios
57480	59420	está pronto para aproveitar.
59880	66680	E para essa nossa incrível aventura natalina, trazemos de volta, na forma de gnomos,
67300	72860	ajudantes de Papai Noel, Danilo Battistini, reprisando seu papel de Adam,
73380	75660	do episódio A Sombra de Tulu e Azul.
76220	82840	Jujuba, trazendo sua Loriane de volta, lá do episódio A Herança, episódio número 3.
82840	87080	E é claro, aquele que salvou o mundo uma vez.
87540	89760	Precisava estar aqui para salvar de novo.
90280	93420	O Fencas reprisa seu papel de The Paper.
94460	99840	O RPG Guaxa usa um sistema muito simples, baseado em um sistema chamado Lasers e Sentimentos.
100860	106280	Resumidamente, cada jogador tem um único atributo, e sempre que ele precisa testar esse atributo,
106360	111240	ele rola um ou mais dados, e, caso seja um ataque ou uma ação física,
111240	114000	tem que tirar o seu atributo ou menos.
114460	116800	Caso seja qualquer coisa que não seja um ataque,
116800	120320	nenhuma ação física, seu atributo ou mais.
120320	125660	Para maiores informações, escute O Escudo do Mestre, lá depois que o episódio acaba,
125660	129660	depois dos créditos e das cenas pós-créditos.
129660	131660	A Sombra de Tulu
131660	133660	A Sombra de Tulu
133660	135660	A Sombra de Tulu
135660	137660	A Sombra de Tulu
137660	139660	A Sombra de Tulu
139660	141660	A Sombra de Tulu
141660	143660	A Sombra de Tulu
143660	145660	A Sombra de Tulu
145660	146740	A Sombra de Tulu
146740	148740	A Sombra de Tulu
148740	150740	A Sombra de Tulu
150740	152740	A Sombra de Tulu
152740	153160	A Sombra de Tulu
154240	155940	.
155940	158900	.
158900	159400	.
159400	160740	.
160740	161100	.
161100	161420	.
161420	161520	.
161520	164820	.
164820	165460	.
165460	168640	.
168640	169680	.
169680	173800	.
173800	175580	.
175580	175880	.
175880	176140	.
176140	176200	.
176200	176260	.
176260	176280	.
176280	176320	.
176320	176340	.
176340	176400	.
176400	176420	.
176420	176440	.
176440	176460	.
176540	176720	.
176720	181940	Tá, tá, eu amarro uma corda nelas e uso como arma
181940	183180	Eu ataco
183180	187560	O Magro lança seu Thunderbolt mais 15 no Upholder
