start	end	text
0	13360	Prepare-se para uma novela que vai sacudir suas emoções como uma pinata em uma festa
13360	21240	louca. Esta novela vai ser mais emocionante que um mariachi em uma montanha russa. Risadas,
21240	32340	lágrimas, emoções intensas e amores proibidos. Mas cuidado, também há de haver traições mais
32340	39840	grandes que um sombrero de charro. Esta novela te vai mostrar o verdadeiro significado do amor,
39840	44760	mas também o que é uma traição bem posta.
44760	51180	Episódio de hoje, Canções de Família
51240	56220	Olá, eu sou Marcelo Guaxinim, sou o Guaxa da Aventura de hoje e estou aqui com...
56220	61920	Oi, eu sou a Sara, madrinha do RP Guaxa, e se você quiser me achar, pode me achar lá no Instagram,
61920	69900	arroba sarapereirab, ou então lá na Taverna do Mangá, que é arroba tavernadomangá. Tudo junto.
69900	77340	Olá pra todo mundo, eu sou Adriano Trota, sou ator, sou dublador, também sou madrinho do RP Guaxa,
77340	81220	você pode me encontrar no grupo de apoiadores. E nas redes sociais,
81220	85840	você me encontra como arroba trota, com três t's, t-r-o-t-t-t-a.
85840	90760	E aqui é a Shelly, arroba shellypoison em todas as redes sociais que importam,
90760	94780	menos no cheater, ele não existe mais. E eu sou também madrinha do RP Guaxa,
94780	97720	e aposentada do RPG Next Show, estamos em hiato.
97720	105460	Las heredades paralelas del guajinim utilizan el sistema guajinins e gambiaras. Nele,
105460	110060	cada rogador possui apenas um único atributo, que vai de 2 a 5.
110060	118640	Quanto maior o atributo, mais forte é o personagem. Quanto menor, mais inteligente e carismático é.
118640	126260	Sempre que o jogador faz algo com a chance de errar, joga dois dados, e precisa do seu atributo ou
126260	133880	menos para ataques ou ações físicas, como bater na cara da vilã, ou seu atributo mais para ações
133880	139880	intelectuais ou sociais, como dizer para a donzela fazer algo. Se a jogada for fácil,
140060	148640	tenhas um dado a mais, mas se for difícil, um dado a menos. Feliz regas comecem.
148640	155660	O RP Guaxa só existe porque temos padrinhos, pessoas que apoiam financeiramente,
155660	159140	então considere se tornar um deles também, pelo PicPay ou pelo Padrim.
159140	164840	Segue a gente nas redes sociais, ou amassalo guaxinim arroba rp guaxa, e buena aventura, amigo!
170060	189620	Sete realidades paralelas, uma infinidade de possibilidades. Três jogadores e um guaxinim.
189620	195680	Já estão todos no campo e aguardando o apito para o início a mais uma aventura.
195680	200040	5,
200040	202040	6,
202040	204040	4,
204040	206040	3,
206040	208040	2,
208040	210040	1,
210040	219040	RPG. Realidades Paralelas do Guaxinim. Sua aventura de bolso na forma de podcast.
219040	222040	Uma jornada completa a cada episódio.
230040	238040	Maria Lúcia Mendonça era uma mulher de beleza hipnotizante, conhecida por sua figura curvilínea e seus trajes que realçavam suas curvas.
238040	244040	Ela possuía uma voz que podia fazer com que as multidões se apaixonassem instantaneamente.
244040	254040	Seus cabelos negros, como à noite, caíam em ondas sedosas, enquadrando seu rosto redondo com traços suaves e olhos profundos como poços de mistério.
254040	259040	Ela era conhecida por sua presença carismática no palco, onde vestia trajes deslumbrantes,
259040	262040	que a faziam parecer uma deusa da música.
262040	269040	Maria Lúcia tinha um sorriso que poderia derreter corações e uma aura de mistério que apenas aumentava sua fama.
269040	276040	Ela era amada por fãs de todas as idades e considerada uma das maiores estrelas da música mexicana, se não a maior.
276040	283040	No entanto, por trás da fachada brilhante e da fama, Maria guardava segredos profundos.
283040	287040	Sua decisão de se retirar do mundo público da noite para o dia,
