start	end	text
0	9460	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora?
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18240	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23080	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32020	É, pessoal, não existe o Guaxaverso.
32080	33720	Eu acredito no Guaxaverso!
33760	36560	Mas, supondo que ele exista...
37880	41520	Guaxaverso, onde o que não existe é debatido.
45180	50720	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast, tradutor de palavras do Guaxinim e...
50720	53620	Andrei, Andrei, Andrei, Andrei...
53620	55900	Pra quem não sabe, o Guaxaverso é o nosso antigo escudo-mestre.
56380	58540	Aqui vamos ler os comentários e discutir as teorias do último episódio.
58560	63120	Que, no caso, foi Metallica e Raccoon, o grande show.
63540	64460	Fique registrado.
64820	65820	Escolha dos jogadores.
66160	67820	Se o bardo aparecer, me xingando de novo.
68240	70020	Não tem nada a ver com isso.
70520	72040	Estou aqui com um dos jogadores.
72180	74900	A prioridade, porque ela está há mais tempo sem gravar, era Rebel.
75580	76580	Mas a Rebel está com tosse.
76700	78260	Manda em xarope, né?
78320	81460	Mas, torçam pela recuperação dela logo.
83420	85540	Infelizmente, vou ter que chamar ela para jogar um outro episódio.
85960	87640	Para ela poder gravar um Guaxaverso.
87640	88160	Olha que triste.
88560	92360	Mas, o nosso convidado aqui, que é a segunda opção, porque a Ranjal gravou há pouco tempo.
92740	93700	E eu não preciso convidar mais.
93960	95120	É o nosso querido amigo Andrei.
95500	95960	Boa noite.
96440	97680	Aoba, boa noite, Guaxa.
97860	98580	Tudo certo?
99040	99640	Tudo certo.
100240	104500	Queria dizer que quem não é padrinho, a gente está gravando agora no Discord só para quem é padrinho.
104940	105920	Para eu não ter que ligar a câmera.
106080	108780	Para desespero do pessoal do Instagram que gostava de fazer os shorts.
109320	110240	E agora está frio, inclusive.
110320	111860	Eu estou vestido contra a minha vontade.
112580	114300	Mas, porra, é tão bom gravar aqui.
114380	115240	Então, a gente fez aqui...
115240	116900	A gente fez um podcast de música.
116900	118400	Tipo, eu e o Andrei ficamos falando sobre música.
118560	119260	A música velha aqui.
119760	123500	E daí o Andrei contou sobre o trauma dele na época da primeira versão de Pantanal.
124040	127820	Que a gente usava o Andei, Andei, Andei até encontrar o Rei do Gado.
128200	129700	E daí virou Andrei, Andrei, Andrei.
130100	131600	Espero que ele tenha superado isso.
131920	134000	Mas, que não fique chateado comigo.
134880	137140	Não, só tem pavor do Vale a Pena Ver De Novo.
137820	138560	Fora isso.
139040	139940	Mas já teve, né?
139980	140380	Recente.
140520	142000	Então, está tranquilo por enquanto.
142160	143940	Pelo menos de dois em dois anos tem, cara.
144660	145200	Rei do Gado...
145200	148540	Mas, assim, tu já está grande o suficiente para as pessoas não ficarem cantando Andei.
148560	149880	Andrei, Andrei, Andrei para você, né?
149900	150420	Ah, não.
150520	151000	Com certeza.
151180	154060	Ninguém mais cita Marcelo Martelo Marmelo para mim.
154320	154920	Não mais.
156020	156420	Realmente.
156560	159540	Tem gente com nome que tem música pior para falar assim, né?
159760	160760	Se pensar desse jeito.
161680	162260	É, porra.
162920	164560	Juliana tem um funk maravilhoso.
164760	165080	É.
165460	166400	Imagina a época da...
166400	167420	Exceto se você chamar Juliana.
167620	169080	Imagina a época da Jennifer, né?
169560	170640	Porra, na Júlia.
170880	171420	Na Júlia.
171820	172160	Paula.
172520	173840	Paula é um funk meio besta.
173980	174680	Não dá para cantar aqui.
174760	177200	Mas, você, Paula, sabe que você sofreu.
177200	178360	Ah, e fora meme.
178360	179940	Porque, tipo, já acabou, Jéssica.
180100	182280	Porra, Jéssica, eles sofreram para caramba.
182800	183200	Exatamente.
183680	185840	Porra, pensando bem, meu nome está de boa.
186120	186580	É, porra.
186600	188260	Eu, graças a Deus, só sofri a gordofobia.
188400	188740	É isso.
188980	191240	Nesse clima bacana, Andrei, como é que as pessoas te acham na internet?
191760	196280	Cara, pode me achar no Instagram como Andrei Brás.
196780	200400	Eu também, há algum tempo, já estou ajudando...
200400	205740	Estou gravando uns áudios para o Luco, que ele está com o podcast dele, o Naus, né?
206500	207020	Procurem lá.
207020	207940	Naus do arquivo.
207940	210220	Procurem, já tem dois episódios, né?
210700	211180	Exatamente.
211360	212520	Eu apareço no segundo.
213000	213220	Isso.
213300	214540	Mas, escuta, tem o primeiro também, gente.
214780	215020	Isso.
215520	216240	É três.
216600	217620	O Luco mandou aqui.
218000	219440	O primeiro não conta, né?
219480	221280	O primeiro era um teaser.
221840	222300	Ele conta.
222560	224040	Vamos ver a resposta de Luco.
225840	227800	Dois arquivos de audiodrama e de RPG.
227880	228380	Estou atrasado.
228440	229880	Eu troquei de celular recentemente.
230220	231200	Vou usar isso como desculpa.
231420	232060	Eu estou atrasado.
232440	234160	Eu não ouvi ainda o do Buraco Atrás do Posto.
234260	236280	E a nossa amiga Agatha Sofia também.
236280	237320	O de Kotor.
237320	239020	Porque sempre que eu chego nele, eu olho.
239140	240700	Puta, quatro horas e meia, né?
241100	242700	De um jogo que eu não joguei.
242820	243320	Aí eu jogo.
243680	246600	Eu clico nele e jogo para o final da fila.
247100	248420	E fora que, né?
248740	249220	Porra.
249660	253820	Os institutos federais, as universidades federais, no momento desta gravação, estão em greve.
254300	255780	Então eu tenho...
255780	257240	Eu tinha ouvido menos podcast.
257600	257880	É isso.
257940	259180	Fiquei em greve do podcast também.
259440	263740	Eu estou escutando o Buraco Atrás do Pôster do Resident Evil 6.
264320	264720	Nossa.
265260	265680	Realmente.
265680	266340	Esse eu ouvi.
266440	266820	Esse eu ouvi.
267320	268760	Para mim, falta o do Kotor só.
268840	269620	Falta o do Kotor.
270120	270400	Acho.
270540	271380	Falta só o do Kotor.
272180	274900	Tanto que eu pulei e eu ouvi o depois dele.
275400	277180	Que eles fazem recomendações e tal.
277400	277960	Ah, muito bom.
278060	279640	Fala de Pluto, etc e tal.
280060	281820	Mas deu de propaganda os outros.
281880	283100	Não estamos recebendo para isso.
284180	286620	E eu queria, falando em propaganda, eu queria fazer um programa de mim.
287080	291880	O aniversário da RPG Guaxa foi na sexta-feira, dia 26...
291880	293160	5, 4, sei lá.
293580	294640	5, acho.
295060	295760	Fez 6 anos.
296000	297160	E porra, eu pensei.
297160	299460	Eu vou preparar um post no Twitter.
299980	306500	Vou lá no Telegram pedir para o pessoal fazer aquela corrida para mais apoio, né?
306520	308560	Porque o Padrim já não vem no mês que vem.
308640	310120	Então a gente vai ter uma queda aí na produção.
310820	312640	E o Zorzal recebeu um pequeno aumento.
312740	313840	Ele merecia mais, inclusive.
314700	319160	Mas, assim, chegamos a um ótimo acordo, né?
319560	320520	Ele falou que está o tanto.
320580	321000	Eu falei, ok.
321180	322120	Esse foi o acordo que a gente fez.
322180	323200	Eu sou um péssimo negociador.
325000	325360	Mas...
325360	326520	Então, assim, peço.
326700	327140	Peço para todos.
327160	327800	Para todos vocês.
328340	332120	O pessoal que não migrou ainda, pelo amor de Deus, vai lá.
332500	332860	Migra.
333520	336180	Eu pensei, assim, deixar para quem já é padrinho.
336300	337300	Continuar os 10 pila.
337780	339080	E, sei lá, para novos padrinhos.
339280	341740	Eu estou vendo os outros podcasts cobrar 15, 12 no mínimo.
342320	344260	Tem podcast, porra, 20, sei lá.
344700	349800	Para ser um curuja ouro no Felipe Neto é 15, 14, 90.
350160	352220	Nem sei o que ganha sendo um curuja ouro.
352640	353380	Então, assim...
353380	354780	Então, porra, está defasado.
355140	356160	Mas, porra, eu fico com preguiça.
356160	356700	Eu fico com preguiça.
357160	358940	Porra, será que você não vai afastar as pessoas novas?
359300	362260	É tão legal a vibe que a gente tem lá no grupo de padrinhos, né?
362260	365900	Sempre entrando uma pessoa, trazendo uma dinâmica diferente e tal.
366480	367600	Então, porra, peço.
368060	370400	Assim, grupo de padrinhos que está com muita gente.
370920	373160	E eu olho o número de apoiadores do Apoia-se.
373660	375640	E do Somo com Orelho e etc e tal.
376120	381500	Porra, tem muita gente lá que não estava nem no padrinho para migrar.
381640	383220	Que ele só esqueceu faz um tempo.
383600	384600	Não estou cobrando.
384600	386680	Não estou dizendo que tem controle.
387160	390460	Que vou fazer um controle para expulsar todo mundo por enquanto.
391560	393700	Embora não tenha, sei lá, não tenha pretensão disso.
393940	395580	Por enquanto, vamos manter a ameaça.
395940	397280	Mas, porra, mantém lá.
397520	399860	Se não consegue dar os 10 pilas, quer continuar no grupo?
400260	401480	Põe 5, põe 1 real.
402160	404440	Você, você que não pode apoiar 10 reais, põe 1 real.
404520	405300	Todo mundo põe 1 real.
405380	406620	Vai lá no Apoia-se.
407100	408240	Tu pode pôr 1 real, gente.
408300	408860	Põe 1 real.
408940	409460	1 real só.
409760	410440	1 real já ajuda.
410800	413800	Porque se eu ganhasse 1 real de cada ouvinte que eu tenho, eu vejo aqui os números.
414260	416560	Porra, estava mais tranquilo aqui o negócio.
416920	417000	Então...
417000	417120	Então...
417120	417140	Então...
417160	417760	Então, porra, 1 real.
418120	420220	Você que apoia com 10, se você quiser.
420380	421100	Não estou cobrando.
421260	421880	Já é maravilhoso.
422260	424480	Então, no Apoia-se, trocar de 10 para 11.
424840	425420	Porra, show.
425880	426020	Show.
426460	430720	Quem assina pelo Apoia-se, no próprio Apoia-se tem um post com o link para o Telegram.
430780	434500	Você não precisa esperar eu mandar e-mail, porque eu demoro anos para mandar e-mail.
436140	438760	Eu acho que está um mês já de demora atual.
439240	441720	Então, assim, porra, quer entrar no grupo direto?
442040	442880	Vai pelo Apoia-se.
443120	446040	Se por algum motivo você já tem conta na Aurelo, você pode assinar pela Aurelo.
446280	447080	Eu vou te mandar.
447080	448840	Vou te mandar por e-mail o link do grupo, né?
449440	452080	Onde eu sei não dá para mandar diretamente pela Aurelo.
452140	453080	Vou dar uma olhada nisso.
453540	456000	Mas, vou te mandar no e-mail.
456160	458020	E se eu demorar muito, me xinga lá no...
458020	458500	Me xinga não.
458920	460940	Me marca no Twitter, que eu olho.
461460	462640	No arroba Marcel Gostininho.
462720	463280	Estou sempre olhando.
463760	465340	Duas, três no máximo.
466020	468680	Eu estou te colocando lá, mandando e-mail para te entrar no grupo.
469000	469480	É isso aí.
469480	470240	Outra maneira...
470240	472400	O Andrei, por exemplo, é nosso padrinho, não é verdade, Andrei?
473080	473940	Cinco anos já.
474340	474780	Cinco anos.
474840	476000	Nem tem tudo isso em podcast.
476300	476840	Fez seis.
476840	477420	Fez seis recentemente.
477780	478540	Então, porra.
478620	481340	Eu chuto cinco, mas eu nunca lembro a data certa.
481500	485140	Eu sei que eu entrei um pouquinho antes ou quase junto com a Ju.
485580	486120	Olha só.
486600	488060	A Ju onde chegou e tu está aí.
488520	488760	É.
489700	490420	É isso aí.
490440	490780	Muita porra.
490800	491640	Tu gravou o episódio.
492100	494440	Tanta gente que entrou e nem, porra...
494440	495260	Eu nem lembro o nome.
495420	497240	O teu, porra, eu não lembro o nome, mas te chamo para gravar.
497320	497900	Olha que bonito.
498260	498500	É.
498660	499980	O meu até que foi...
499980	502660	Agora eu sempre vou lembrar do...
502660	504520	Eu vi um berrante e eu vou lembrar do teu nome.
506840	510120	Porra, eu não sei se isso é bom ou é ruim, mas eu vou interpretar como bom.
511180	514540	Assim, outra maneira de você ajudar o RP Guaxa é seguir a gente nas redes sociais.
515020	516680	Arroba Marcelo Guaxinim, arroba RP Guaxa.
517160	521440	No Blue Sky, no X e no Instagram.
522440	526100	Preferencialmente, assim, se tu tiver que escolher um, Instagram, arroba RP Guaxa.
526460	527520	Porque as meninas são incríveis.
527660	529260	É o nosso principal carro-chefe ali.
529780	531400	E também...
