start	end	text
0	10100	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10100	11420	É isso! É isso!
11920	13220	Eu sabia! Eu sabia!
13840	15000	O Guaxaverso existe!
15120	15960	Como assim?
16180	18120	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20040	O Guaxa sabe o que faz!
20040	20960	Espera! O que é o Guaxaverso?
21000	22980	Era só uma questão de tempo!
23100	24220	Todos nos conhecemos!
24220	24520	O Guaxaverso sempre existiu!
24520	25440	É o nosso final!
25440	27140	Eu quero entender o Guaxaverso!
27220	28540	Alguém me explica o que é o Guaxaverso?
28540	30540	É, pessoal...
30540	32020	Não existe o Guaxaverso!
32080	33740	Eu acredito no Guaxaverso!
33820	36540	Mas supondo que ele exista...
37900	41540	Guaxaverso, onde o que não existe é debatido!
44880	46660	Ah, eu tô falando sozinho, que legal!
46900	48640	Não! Tô louco, estou aqui!
48660	49520	Voltou, mas sem imagem!
49900	51540	Meu Deus! Guaxa?
51920	52780	Tá me ouvindo, Guaxa?
53140	53960	Guaxa, você tá me ouvindo?
54380	55100	Basta, tá me ouvindo?
55580	56820	Eu estou te ouvindo, você tá me ouvindo?
56820	58520	O pessoal da live também tá me ouvindo?
58540	59180	Tá me ouvindo, tá me vendo?
59540	60140	Tu tá me ouvindo?
60200	61120	Eu não tô te ouvindo, Basta.
61420	63300	Ô, meu pai, o que será que aconteceu aqui?
63660	64320	Que loucura!
64760	65980	O Duro... Bem...
65980	67620	Guaxa, eu tô ouvindo e ouvindo só você!
68020	69020	Que é o que importa, né?
69120	69860	É o meu podcast!
72500	73720	Olá, eu sou Marcelo Guaxinim,
73800	76240	narrador, produtor e idealizador do podcast Realidades Paralelos do Guaxinim
76240	79640	e 5 anos de RP Guaxa...
79640	80240	Quem diria?
80680	81400	Pra quem não sabe,
81700	83180	o Guaxa vai ser nosso antigo escudo do mestre.
83500	85760	Aqui vamos ler os comentários discutidos nas teorias do último episódio,
86220	87900	que no caso foi o solo de Lídia.
87900	87980	RP Guaxa?
87980	88080	RP Guaxa?
88080	88120	RP Guaxa?
88120	90320	RP Guaxa 137.
90780	93340	Eu tô aqui hoje com ele novamente.
93940	95360	Eu sei que todo mundo esperava a Jujuba,
95860	97720	mas temos aqui o Sr. Basso,
98040	100340	que é o nosso querido padrinho que jogou o episódio.
100520	101220	Boa noite, Basso.
101560	102740	Boa noite, Guaxa.
102820	103700	Olá, pessoal.
104020	104860	Olá, ouvintes.
104960	105680	Olá, chat.
105920	107300	Olá, todo mundo.
108040	109960	Desculpa, eu também estava esperando a Jujuba, tá?
110040	110820	Em minha defesa.
111400	112960	Eu também estava esperando ela,
112960	116960	mas não foi dessa vez que a gente conseguiu trazer ela pro Guaxaverso.
116960	117720	Pro Guaxaverso.
118040	120660	Eu mandei mensagem pra ela ontem perguntando,
