start	end	text
0	21500	No arquipélago distante, mágico, o povo guerreiro e trabalhador vive isolado, das rápidas mudanças
21500	23440	que os outros povos estavam vivendo.
23920	26220	Na verdade, vivia isolado.
26220	30180	Um novo povo chegou pelo mar e pretende dominar essas terras.
30480	32000	Custe o que custar.
32460	37320	Mas quatro guerreiros místicos têm a missão de proteger seu líder e seu povo.
37840	42540	Será que eles vão conseguir vencer o avanço tecnológico que está para chegar?
43080	46680	Episódio de hoje, os Shinobis das quatro estações.
47040	54140	Com Shelly, do Pode Isso, do RPG Next e do Continuum, interpretando Kameko, a portadora
54140	55740	da Espada da Primavera.
55740	62140	Com Fenkas, do Portal Deviante, do Psycast, como Maru, o portador da Espada de Outono.
62540	67260	E Felipe Xavier, o Suzano, portando a Espada do Verão.
67680	73380	O RPG Guaxa usa como sistema principal uma adaptação de lasers e sentimentos, que é
73380	76260	um sistema que usa apenas dados de seis lados.
76600	81740	Cada jogador possui um único atributo, que vai de dois a cinco, e quando faz um ataque
81740	85280	ou uma ação física, ele precisa tirar seu atributo.
85740	86440	Ou menos.
87160	91620	Já quando faz qualquer ação que não seja um ataque ou uma ação física, seu atributo
91620	92540	ou mais.
93060	97640	Maru tem atributo dois, o que significa que se ele for atacar alguém ou correr, ele
97640	100620	só vai conseguir se enrolar no dado um ou dois.
101100	105740	Já Kameko possui o atributo quatro, então ela acertaria com o dobro de oportunidades.
106260	107780	Um, dois, três, quatro.
108260	111780	Já o nosso querido Suzano possui o atributo cinco.
111780	115660	A mesmo ataque ou ação física, ele só falharia se tirasse cinco.
115660	115720	Ou menos.
115740	118040	Mas o oposto também é verdade.
118200	121980	Quando for observar, quando for fazer algo que não seja um ataque ou uma ação física,
122500	126420	o Maru consegue a menos que ele tire um no dado.
126760	129120	A Kameko consegue com quatro, cinco ou seis.
129700	132220	E o Suzano só o cinco ou o seis.
132480	134820	Então é uma escolha que cada jogador faz.
135100	136940	Maiores informações me procurem nas redes sociais.
137280	141080	Por isso, não esqueça de nos seguir, arroba Marcelo Guaxinim, tanto no Twitter quanto
141080	144600	no Instagram, e arroba ERP Guaxa, lá no Twitter.
145160	145720	Você pode me seguir no Instagram, e eu vou te encontrar lá no Twitter.
145720	148760	Você pode apoiar esse projeto a partir de um real, tanto pelo PicPay quanto pelo Padrim.
149000	151340	Maiores informações ao fim do episódio do Escudo do Mestre.
151660	152280	Boa aventura!
152280	174280	Boa aventura!
174280	175340	Boa aventura!
175340	175580	Boa aventura!
175580	193700	E aí, vocês estão na caverna?
194140	194800	Rola os dados!
195860	197520	Bola de fogo!
198200	201240	Chama o clérigo!
202380	203640	Como assim eu morri?
203640	206060	Ha ha ha, hora iniciativa.
206680	209980	Então, não tem armadilha. Podemos ir.
210720	211880	O que vocês fazem?
213280	217300	Tá, tá, eu amarro uma corda nelas e uso como arma.
217660	218560	Eu ataco.
218940	222880	O Magro lança seu Thunderbolt mais 15 no Upholder.
222880	225220	Eu quero rolar a perseguição, posso?
226200	227620	Tem algum lugar pra se esconder?
228260	230540	Ah, falha crítica.
231080	232020	Ataque de habilidade!
232220	233120	É erro, mano!
233220	233620	Chama o clérigo!
233640	234460	Chama o clérigo!
237080	240800	RPG, Realidades Paralelas do Guaxinim.
241180	243780	Sua aventura de bolso na forma de podcast.
244200	246700	Uma jornada completa a cada episódio.
263640	272260	Então se você ainda está louco de assistir essevas eu essa série sobre Hero,
272680	280580	confira que isso é muito legal , esse sobrenome aqui no blog.
283080	284440	Anunda o da China mesmo.
284840	286300	Acho que essa vítima ficou de ontem.
286560	287680	Tipo o prédio do caçador.
288280	290120	Eu antiga confiava, mesmo.
290580	291380	Se você pensa sério,
291780	293000	o queires 1933
293640	308120	Um garoto de 13 anos, o último de sua dinastia.
308120	317060	Além de um exército gigantesco de samurais, ele possui quatro shinobis, ninjas, guerreiros especiais que o protegem e estão sempre com ele.
317060	324180	Cada um desses shinobis possui uma espada, uma katana especial que representa uma das quatro estações.
324820	327420	A espada do inverno está com Yuki Ono.
327420	340420	É uma menina alta, mas jovem, a pele bem branca, usa sempre um kimono branco com uma faixa vermelha, tem o cabelo preto, os lábios estão sempre pintados de vermelho, mas ela é muito quieta e reservada.
341140	345480	A espada da primavera está com a jogadora Shelly. Como é o nome do teu personagem e a aparência dele?
345480	368280	Vou jogar com a Kameko, ela também é jovem, só que ela é uma flor que não desabrochou ainda, ela é tímida, então ela tem o cabelo preto, até os ombros mais ou menos, eles sempre estão caindo nos olhos, ela tem olheiras fundas, quase nunca dorme e não é muito de falar, a não ser com os shinobis do grupo dela, mas ela não é muito amigável com outras pessoas.
368660	370360	E o atributo é 4, como sempre.
370580	373520	A espada do verão está com o jogador Felipe. Como é o seu personagem?
373520	384160	Eu sou o Suzano, meu atributo é 5, eu sou um homem na faixa dos seus 30 anos, rabugento e eu estou com a espada do verão.
384300	388540	E a última espada, a espada do outono, está com o jogador Fenka. Como é o teu personagem e o atributo dele?
388540	403280	Eu sou o Maru, atributo 2. Maru é um homem bem idoso já, nem ele sabe exatamente a idade dele, mas ele fala que ele já teve que passar por...
403520	406560	Mais invernos do que muitos dos jovens que sempre o acompanham.
407080	415700	Ele tem uma pele bem enrugada, você vê que é um cara que foi muito castigado pelo tempo e pelos inimigos, ele tem muitas cicatrizes pelo corpo.
415700	425040	Na verdade, um dos olhos, o olho esquerdo dele, ele não consegue abrir direito porque tem uma cicatriz meio que perto das pálpebras.
425760	430160	Ele anda muito lentamente, mas tem uma sabedoria.
430160	445440	Talvez ele seja aquele velho chavão do velho sábio, ou não, mas ele tem uma experiência de combate muito profunda e tem um passado misterioso.
446060	451480	Sempre quando ele vai falar do passado dele, ele se refere a uma terra muito distante de onde ele veio.
451740	453800	E ele tem, claro, a espada do outono.
460160	472540	Nos últimos dias, vários relatos vindos de várias regiões portuárias de que navios estrangeiros chegaram e estão atacando as cidades.
472540	481040	Vocês quatro estão na sala onde descansa o Daimyo, o líder daquela região, aquele que vocês devem proteger.
481340	488680	Vocês estão sempre com ele ali, vocês já estão alguns dias sem dormir, o que faz com que as olheiras da Shelly estejam ainda mais acentuadas nesse dia de hoje.
489020	489980	E todo o relato que está...
489980	490140	E todo o relato que está...
490160	496500	O que chega não é positivo. Os samurais estão perdendo para uma tecnologia superior que está chegando à ilha.
496680	502340	Quando os relatos finalmente chegam de que eles estão na capital, fica inevitável um confronto.
502540	504520	O Daimyo fala pra vocês...
504520	508780	Vocês precisam conhecer o inimigo de perto, proteger o povo. Vão.
509080	510840	Nossa obrigação é proteger você, Daimyo.
510980	513120	E de que serve um Daimyo sem seu povo?
513360	514280	A Yuki fala...
514280	515780	Vão. Eu fico com ele.
515980	516480	Sim, senhor.
516740	519040	Eu tento argumentar com a Yuki.
519040	524480	Ah, o Daimyo precisa ser protegido pelo guerreiro mais experiente.
524920	527980	Vá você, eu ficarei ao lado de nosso mestre.
528060	533860	Se vai ficar apenas um de nós, o ideal é ter alguém que observe os dois lados da sala, sem ter que virar a cabeça.
534200	535940	A insolência dos jovens.
536360	538600	Eu pego minha espada e sigo os outros dois.
538900	540520	Ah, a Kameko vai também?
540860	541280	Claro.
541280	544640	Vocês saem do palácio.
544980	548280	Lá fora tem samurais, estão de um lado para o outro, reforçando...
549040	552360	As portas ou as proteções.
552700	555260	Eles veem vocês e eles abrem espaço, né?
555380	559340	Todos ali tem um misto de respeito e medo de vocês.
559640	567060	Porque as lendas sobre os feitos de todos vocês são gigantescas e contadas à noite por eles em volta de fogueiras.
567540	571100	Lá fora vocês veem que tem vários focos de fumaça pela cidade.
572100	575480	O combate ainda não chegou ali na entrada do palácio.
