start	end	text
0	11680	A Lucha Libre é um show com uma série de lutas simuladas, encenadas por atletas profissionais.
11980	17480	Embora seja vista por muitos como um esporte, trata-se de uma atividade privada, sem uma
17480	18720	confederação nacional.
19040	23940	Os lutadores ensaiam os golpes e os resultados das lutas são combinados, o que não impede
23940	27620	que a Lucha Libre seja o fenômeno que é no México.
27620	35360	No mundo real, Lucha Libre é ensaiado, mas aqui é RPG, e no RPG, como diz La Caquita
35360	38980	de Corazon, la realidad es mi mano en tu cara.
39800	46140	Episódio de hoje, Los Luchadores, El Desafio del Cuervo, com a Mel e o Sr.
46240	52360	Nuvem, ambos lá do projeto Drama e do Nossa Poesia, e com os Negreiros, do podcast Vozes
52360	53320	na Cabeça.
53620	55800	Eu falo mais sobre eles lá no Escudo do Mestre.
55800	60700	Os Realidades Paralelas do Guaxinim usam o sistema Guaxinins e Gabiarras.
61020	64560	Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
64560	67240	Quanto maior o atributo, mais atlético é o personagem.
67580	69860	Quanto menor, mais inteligente e carismático.
70340	74840	Sempre que o jogador faz algo com uma chance de errar, joga dois dados e precisa tirar
74840	79080	seu atributo ou menos para ataques e ações físicas, e seu atributo ou mais para ações
79080	80240	intelectuais ou sociais.
80460	83860	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
83860	86660	Se a jogada for difícil, rola-se um dado a menos.
87240	92760	Eu sou Rodrigo Azevedo e sou padrinho do RP Guaxa, porque cada episódio me faz lembrar
92760	97500	com nostalgia de uma época em que a gente só precisava ter amigos e um pouquinho de
97500	99600	criatividade para tudo se tornar uma aventura.
99960	101140	Galera, nunca deixe de sonhar.
101780	102760	Boa aventura para todos.
103280	107320	Não deixe de nos seguir nas redes sociais, arroba Marcelo Guaxinim e arroba RP Guaxa,
107580	109120	tanto no Twitter quanto no Instagram.
109680	112340	Considere também nos apoiar no PicPay ou no Padrim.
112720	113240	Boa aventura.
113860	114860	Tchau.
143860	144880	Hum, hum.
145300	145960	Tá, tá.
146180	149280	É, eu amarro uma corda nelas e uso como arma.
149660	150540	Eu ataco.
150940	154900	O Magro lança seu Thunderbolt mais 15 no Upholder.
154920	157200	Ih, eu quero rolar a perseguição, posso?
157920	159580	Tem algum lugar para se esconder?
160200	162480	Ah, falha a crítica.
163040	164020	Ataque de superioridade!
164200	166440	É, Romano, chamo o clérigo!
169240	172780	RPG, Realidades Paralelas do Guaxinim.
172780	172820	Sim.
173860	175720	De bolso na forma de podcast.
176160	178700	Uma jornada completa a cada episódio.
190900	195880	Quando as corridas de carro foram proibidas, as lutas passaram a ganhar destaque na televisão.
196460	199080	Eram violentas, coloridas e vendiam bonecos.
199080	201340	E mesmo com a volta das corridas, anos depois,
201340	207160	nenhum outro esporte se destacou tanto no México quanto as luchas.
207360	212840	Com suas máscaras e roupas próprias, a lucha libre se tornou uma paixão nacional.
213560	218020	Até hoje, que domina o horário nobre e toda a grade de comerciais.
218420	221880	Embora existam muitas acusações de serem lutas ensaiadas,
222380	224640	ou mesmo de nem serem lutas de verdade,
225000	226640	poucos parecem se importar com isso.
226640	230940	E a cada ano que passa, novos lutadores, digo, luchadores,
231340	233640	surgem e outros são esquecidos.
233640	236640	No momento, o grande campeão nacional é Eu Cuervo,
236640	239640	um luchador de roupa e máscara negra,
239640	242640	com estrelas prateadas que brilham nas luzes do ringue.
242640	246640	Suas luchas são sempre as mais bonitas de se assistir,
246640	249640	pois ele sempre consegue executar golpes impossíveis.
249640	253640	Alguns dizem que Eu Cuervo é praticante de magia,
253640	256640	com poderes relacionados a hipnose e voo.
256640	259640	Mas isso deve ser tão real quanto suas lutas.
259640	260140	Mas isso deve ser tão real quanto suas lutas.
260140	260440	Mas isso deve ser tão real quanto suas lutas.
260440	264440	O campeão antes da chegada de Eu Cuervo era Eu Mapache,
264440	267940	um lutador lendário com sua roupa cinza e máscara de guaxinim,
267940	270940	mas que estava velho demais para parar Eu Cuervo.
270940	274940	A luta dos dois é considerada a mais violenta da história das luchas,
274940	279440	e é usada como argumento quando alguém fala que são lutas ensaiadas.
279440	281440	Não tinha como ensaiar aquilo.
281440	283440	Ninguém sabe que fim levou Mapache,
283440	288740	apenas sabe que seu recorde de vitórias está prestes a ser batido pelo Eu Cuervo.
288740	289240	Os jogadores cresceram vendo essas lutas,
289240	289740	Os jogadores cresceram vendo essas lutas,
