start	end	text
0	29000	O que é que faz isso?
30000	33660	Saiam da quadra! Saiam da chuva!
35080	38180	Ao tocar na grade, tu sente algo encostar nas tuas costas.
38740	40100	Tu sente teu corpo paralisar.
40380	44360	Tu sente um corpo feminino te pressionar contra aquele gradeado.
44720	46840	Ah, eu adoro a chuva.
47520	50020	Eu acho ela romântica, inspiradora.
51040	53360	Já viu quantas músicas falam de chuva?
60000	66240	E eu sei que o mais alto reclame, o mais alto o vento bate.
67380	73360	Você sente ela escorrendo pelas tuas costas como se fosse líquida e sentando sobre os teus ombros.
73880	75260	Você fala inglês?
76240	81140	A música diz, eu sei que tem que haver chuva se eu quiser ver um arco-íris.
81980	86120	E eu sei que quanto mais eu subo, mais forte o vento sopra.
86120	89700	Tu sente os pés dela passarem por debaixo dos teus braços?
90000	91400	Consegue ver só as mãos?
91740	93460	Brancas, com unhas negras.
93800	94840	As unhas são pintadas.
95260	96180	Será que as mãos também?
96560	99060	Ela se chama resiliente.
100100	101580	E é isso que você é.
103000	103640	Resiliente.
104860	106980	Ao contrário dos seus amigos.
107840	110880	As mãos acariciam teu rosto e giram teu pescoço.
118380	119760	Episódio de hoje.
120000	120840	Resiliente.
120840	124600	Com o Felipe Xavier, aqui do RPGuacho e do Arquivos da Patrulha.
124900	127780	Com a Sinara, aqui do RPGuacho e do Projeto Drama.
128020	132160	E com o Renan Serabioschi, também do Projeto Drama, talvez do RPGuacho.
132660	138160	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim Zigambiarras.
138580	143100	Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
143520	146480	Quanto maior o atributo, mais atlético é o personagem.
146480	149660	Quanto menor, mais inteligente e carismático.
150000	152820	Sempre que o jogador faz algo com uma chance de errar,
153100	158240	joga dois dados e precisa tirar o seu atributo ou menos para ataques e ações físicas.
158560	161820	E seu atributo ou mais para ações intelectuais ou sociais.
162280	166180	Se a jogada for fácil ou tiver algum auxílio, ele joga um dado a mais.
166560	169420	Se a jogada for difícil, rola-se um dado a menos.
169840	172580	Eu sou o Roger William e eu sou padrinho do RPGuacho.
172580	179380	Porque o RPGuacho traz as histórias mais malucas, mais divertidas e emocionantes da potosfera.
180000	187940	Não se esqueça de nos seguir nas redes sociais e pense com carinho na opção de se tornar um apoiador deste projeto.
188360	190740	Falo mais disso no Escudo do Mestre ao final do programa.
195100	209100	A FULL FLOWER MOMENT
210000	239980	A FULL FLOWER MOMENT
239980	240000	A FULL FLOWER MOMENT
240000	269980	A FULL FLOWER MOMENT
269980	299960	A FULL FLOWER MOMENT
299980	319080	Na década de 50, uma série de assassinatos chocou a Itália.
319740	326880	O jovem empresário Rossi Costa havia tirado a vida, de forma cruel, de mais de 100 moradores de rua.
326880	329600	Quando a polícia o encurralou, ele tirou a própria vida.
329980	333540	E a família Costa gastou uma fortuna para o caso ser abafado.
333760	339500	Comprou a imprensa e perseguiu escritores independentes, os proibindo de publicar qualquer coisa.
339800	342960	Além de pagar vários jornalistas para contarem outras versões.
343400	348640	Hoje, quase 100 anos depois, poucas informações do caso existem.
348940	353580	E mesmo essas informações estão afogadas em mentiras e teorias conspiratórias.
354100	358000	Entre os segredos mais bem guardados do caso está o andar da morte.
358140	359940	O andar inteiro do hotel.
360000	361000	Costa Atlântica.
361200	365520	Completamente escondido do público, esse andar é um pouco mais baixo que o padrão
365520	369620	e se encontra entre o 12º e o 14º andar.
370000	374460	Impossível ser acessado via escadas ou mesmo elevador de maneira comum.
374780	379320	A única forma de acesso é uma chave especial que deve ser usada no elevador.
379780	382340	Existem ainda formas de sair do andar.
382680	386420	Por um banheiro do andar superior ou por um banheiro do andar inferior.
386420	389820	Mas essas escotilhas de emergência nunca foram usadas.
389820	395580	E não podem ser acessadas de fora do 13º andar.
395580	398940	O andar foi dado ao governo em troca de sigilo de sua existência.
398940	405340	Na verdade, hoje, todo hotel pertence ao governo que o administra de maneira oculta.
405340	410340	O andar está ricamente decorado, embora não possua paredes dividindo os cômodos.
410340	412920	Mesmo o banheiro é um espaço aberto.
412920	418000	Monitores que mostram todos os andares também destoam do aspecto geral do andar.
418000	419000	Vagamente tenta lembrar um meme da história do hotel.
419000	419800	Vagamente tenta lembrar um meme da história do hotel.
419800	425420	As janelas são blindadas e espelhadas de forma que quem está do lado de fora não
425420	427320	veja nada do lado de dentro.
427720	433800	O andar foi reforçado nas paredes e entradas e é capaz de suportar um ataque de míssel,
434160	436520	o que é um desperdício já que o prédio em si não resistiria.
436860	441100	A superstição responde qualquer pergunta sobre o elevador não possuir um botão 13.
441520	445780	Atualmente, apenas altos postos do governo sabem de sua existência.
445780	449780	E no momento de desespero, foi o local para onde Rico foi levado.
449800	452760	A história de Rico foi contada no episódio A Chuva.
452760	457500	E se você quiser entender como ele chegou aqui, recomendo que escute lá.
457500	462440	Mas se quiser continuar, basta saber que Rico era contador de Pietro Dante e acabou esbarrando
462440	464480	com informações que não deveria ter.
464480	469760	E agora precisa falar isso em um julgamento para que Pietro Dante seja exposto como o
469760	470760	bandido que é.
470760	472640	Ao menos, esse é o motivo oficial.
472640	475120	O julgamento ocorrerá em 12 horas.
475120	478260	Na verdade, 11 horas e 59 minutos.
478260	479680	Me contando.
479680	482760	O prédio está cheio de agentes disfarçados.
482760	484960	Eles nem sabem o que estão protegendo.
484960	488880	Mas dois deles não só sabem como estão no mesmo andado o Rico.
488880	489880	São eles.
489880	492800	Sinara, fala sobre o teu personagem, atributo e aparência.
492800	497400	Minha personagem é a Karen, o atributo dela é 3.
497400	503760	Ela é bem magrinha, baixinha, com cabelo bem escorridinho e franja.
503760	504760	E só.
504760	507720	Renan, fala sobre o teu personagem, aparência e atributo.
507720	509520	Meu personagem é o Caleb.
509680	518240	Ele é negro, alto, careca, bem seguranção, assim, é um fencas por um fencas, e o atributo
518240	519240	dele é 4.
519240	522880	Fencas é a unidade menina do Guaxaverso, gente, e vale por 2 metros.
522880	526120	E por último temos a nossa testemunha.
526120	529600	Felipe Xavier, fala sobre o teu personagem, aparência, atributo.
529600	534840	Eu estou controlando o Rico, ele tem atributo 2.
534840	535880	Rico é um homem magrinho, ele tem uma cicatriz na cara, careca, zóia.
