start	end	text
0	10460	Uma xerife aposentada divide sua casa com uma elfa negra refugiada que disfarça sua aparência com magia
10460	11720	E muitos gatos
11720	13960	As duas já viveram muitas aventuras
13960	16740	Algumas mais tradicionais para o velho oeste americano
16740	18500	Algumas mais fantásticas
18500	22680	Pois existe uma vila de refugiados de um mundo mágico na vizinhança
22680	24660	Gado roubado, ataque ao trem
24660	26940	Máquinas gnomas fora de controle
26940	29280	Um saque goblin ao celeiro do velho Wilson
29280	34360	Uma série de aventuras épicas que não se comparam ao que está por vir
34360	39340	Pois a chegada de uma viajante vai levar um nível de desafio para essas duas
39340	40560	Episódio de hoje
40560	43500	A viajante, a exilada e a xerife
43500	46500	Com a Amanda lá do Projeto Drama e aqui do RPGuás
46500	49600	Como o xerife Hillary, agora mais velha
49600	54420	Com a Shelly lá do RPG Next, do Continuum, do Pod Isso e aqui do RPGuás
54420	56700	Com uma elfa negra Sinien
56700	59060	E a Isa lá do Pod Next
59060	61500	E aqui do RPGuás, como Marta
61500	64060	Esse episódio é um apoio da Promobit
64060	66560	Pra quem não sabe, a Promobit é uma comunidade
66560	71420	De pessoas reais que encontram e compartilham as melhores ofertas da internet
71420	75680	Qualquer um que tem um cadastro lá, encontrou uma boa oferta, posta na Promobit
75680	79740	Eles tem uma equipe gigantesca que vai analisar essa oferta
79740	82240	Não é o mural, a pessoa só não vai lá e posta
82240	85320	Ela posta e isso passa pelo crivo da Promobit
85320	87400	Pra ver se é uma loja de confiança
87400	89040	Pra ver se é uma oferta de verdade
89060	91020	E então ela posta lá
91020	93320	Tá querendo comprar alguma coisa com desconto?
93700	94980	Não é procurar o menor preço
94980	97020	É desconto, é promoção
97020	98700	Aquela queima de estoque
98700	100760	Aquela Black Friday de verdade
100760	102580	Que a gente vai ter agora no final do mês
102580	104440	Vai no aplicativo da Promobit
104440	106340	No seu celular, ou então
106340	108960	No site deles também, cria teu cadastro
108960	110740	Lá tu pode criar uma lista de desejos
110740	112220	Colocar que produtos tu tá de olho
112220	114600	Pra quando surgir uma oferta você ser avisado
114600	116360	Sei lá, o seu Forte Apache
116360	118260	O seu livro de RPG
118260	118540	Seus dados
118540	118620	Seus dados
118620	119040	Seus dados
119060	119860	O que tu quiser
119860	120720	Tu deixa lá
120720	122340	Quando tiver uma promoção
122340	123580	Tu vai ser avisado
123580	124720	Quando tiver uma oferta
124720	126980	Normalmente essas ofertas duram
126980	128380	Horas ou um dia
128380	130220	Sempre é uma coisa rápida
130220	131680	Então ao invés de
131680	132740	Volta e meia tu olhar o site
132740	135140	É bom tu deixar já cadastrado na tua lista
135140	136180	De desejos
136180	136940	E sim
136940	138320	É bom dar uma olhada também
138320	138900	Porque as vezes
138900	140900	Você encontra uma coisa que nem sabia
140900	141720	Que queria
141720	142700	Promobit
142700	143840	Apoia esse projeto
143840	146020	Vai apoiar os próximos episódios do RPG Guaxa
146020	148120	Assim como apoiou o Guaxa Versus passado
148120	148980	Vão nas redes sociais
148980	150140	Marquem a Promobit
150140	151800	Conheçam a Promobit
151800	153000	E muito obrigado
153000	155080	O Realidade Paralelas do Guaxinim
155080	157600	Usa o sistema Guaxinins e Gambiarras
157600	160220	Nele cada jogador possui apenas um único atributo
160220	161740	Que vai de 2 a 5
161740	163240	Quanto maior o atributo
163240	164720	Mais atlético o personagem
164720	165580	Quanto menor
165580	167640	Mais inteligente e carismático
167640	169200	Sempre que o jogador faz algo
169200	170300	Com uma chance de errar
170300	171500	Joga dois dados
171500	172880	E precisa tirar seu atributo
172880	175240	Ou menos para ataques e ações físicas
175240	176460	E seu atributo
176460	178540	Ou mais para ações intelectuais
178540	179240	Ou sociais
179240	180800	Se a jogada for fácil
180800	182260	Ou tiver algum auxílio
182260	183600	Joga um dado a mais
183600	185020	Se a jogada for difícil
185020	186300	Rola-se um dado a menos
186300	188140	Eu sou Ricardo Nespoli
188140	189780	E sou padrinho do RPG Guaxa
189780	192100	Porque quando você ouve o RPG Guaxa
192100	193620	Você não fica satisfeito
193620	195460	Você quer cada vez mais
195460	197860	E participar desse universo maravilhoso
197860	199400	Simplesmente não tem preço
199400	201320	Quer ler as regras do Guaxinim e Gambiarras?
201400	202940	Quer fazer vozes para os NPCs?
203200	204380	Quer receber os episódios antes?
204840	205780	Seja nosso padrinho
205780	207660	Tanto no PicPay quanto no Padrim
207660	208380	Os links estão nos comentários
208380	208520	E até a próxima
208540	209720	No post eu comento mais
209720	210960	No escudo do mestre
210960	212340	Não esqueça de seguir nas redes sociais
212340	213200	Arroba Marcelo Guaxinim
213200	214700	Arroba RP Guaxa
214700	216560	Tanto no Twitter quanto no Instagram
216560	217560	E bom episódio
217560	230360	Aí vocês estão na caverna
230360	231380	Rola os dados
231380	234180	Mola de fogo
234180	237800	Chama o clérigo
237800	238380	Chama o clérigo
238380	239560	Chama o clérigo
239560	240120	Chama o clérigo
240120	240660	Chama o clérigo
240660	240960	Chama o clérigo
240960	241400	Chama o clérigo
241400	242040	Chama o clérigo
242040	258600	Chama o clérigo
262480	266520	Chama o clérigo
266520	268220	Chama o clérigo
268220	277400	RPG Realidades Paralelas do Guaxinim
277400	280340	Sua aventura de bolso na forma de podcast
280340	283300	Uma jornada completa a cada episódio
298220	306360	Em uma pequena cidade, nos últimos anos do que ficaria conhecido como o velho oeste americano
306360	311720	Vários homens comemoram no único salão das redondezas sua semana de lucros
311720	314340	A música e a gritaria pode ser ouvida de longe
314340	318700	Todos os homens com dinheiro, coragem ou pelo menos uma arma na cintura
318700	321120	Num raio de quilômetros está naquele bar
321120	324620	Uma grande festa com jogos, dançarinas e música ao vivo
324620	328120	Kadim Boca Seca foi atirado pela porta dos fundos
328220	331200	Achando que nada marcaria mais sua vida
331200	333620	Do que aquele momento uma hora atrás
333620	335480	Em que ele estava ganhando no pôquer
335480	337760	E uma linda mulher começou a lhe servir bebidas
337760	339540	Enquanto lhe fazia massagem nos ombros
339540	341640	Agora, jogado entre o lixo
341640	343880	Ele tinha certeza de duas coisas
343880	346920	Que aquela mulher estava mancomunada com um dos outros jogadores
346920	348980	E que nada mais importava
348980	351340	Diante daquilo que ele estava vendo agora
351340	352600	Diante de Kadim
352600	356560	Uma grande esfera de energia azulada se formou
356560	358200	E o cheiro de ozônio tomou o ar
358200	359540	Embora nem Kadim
359540	362680	Nem qualquer pessoa naquela festa soubesse o que seria ozônio
362680	365960	A esfera desapareceu tão depressa quanto surgiu
365960	367800	Deixando uma mulher
367800	368920	Não muito alta
368920	370340	Mas muito forte
370340	371680	De cabeça raspada
371680	373200	Completamente nua
373200	375940	Agachada em um círculo de terra queimada
375940	377220	Sem falar nada
377220	379600	Ela se levantou e se dirigiu ao salão
379600	382200	Mas esse último movimento Kadim não presenciou
382200	384240	Pois ele havia fechado os olhos
384240	387040	Achando que um anjo havia vindo lhe buscar
387040	388180	Ao entrar no estabelecimento
388200	390880	Todos os olhares se dirigiram para ela
390880	392580	Copos foram derrubados
392580	393480	A música parou
393480	395840	Ninguém encontrou palavras para se expressar
395840	398940	Todos encaravam a visitante como se não acreditassem naquela cena
398940	401660	Estar nua era o menor dos detalhes ali
401660	404380	Aquela era a mulher mais forte que eles já haviam visto
404380	405460	Na verdade
405460	408460	Poucos já tinham visto tantos músculos em alguém
408460	410040	Independente do sexo
410040	411540	Algumas mulheres se impressionaram também
411540	413660	Com a falta de...
413660	414220	Cabelo
414220	415580	A mulher então olha em volta
415580	418180	Olha pra cada uma das pessoas naquele salão
418200	420100	Até encontrar alguém
420100	421700	Mais adequado
421700	423540	Se dirige a ele e diz
423540	425880	Eu quero a sua arma e as suas roupas, por favor
448200	457000	Eu quero a sua arma
457000	457900	Eu quero a sua arma e as suas roupas, por favor
457900	459160	Numa cidade não muito longe dali
459160	461900	Muito tempo depois dos eventos relatados em
461900	463120	Por um punhado de armas
463120	467280	A xerife Hillary viveu muitas aventuras ao lado de Sinem
467280	468880	E de seu amigo Arco Verde
468880	471180	Visitaram algumas vezes a cidade escondida
471180	473100	Em especial em comemorações
473100	474960	E criaram um laço com aquele povo
474960	476400	Em especial com Rona
476400	478020	Mas esse tempo é passado
478020	480620	Hoje a xerife Hillary está aposentada
480620	482380	E um velho Arco Verde
482380	483920	É o atual xerife da cidade
483920	486320	Mas ele promete que desse mês não passe
486320	489180	Hillary e Sinem se tornaram melhores amigas
489180	491880	E ora Sinem pareça tão velha quanto Hillary
491880	493820	Ela sabe que sua amiga
493820	495760	Apenas disfarça sua aparência com magia
495760	497320	Que ela como uma elfa negra
497320	499780	Parece não ter envelhecido um dia sequer
499780	501820	Às vezes quando está só elas duas
501820	504520	Sinem volta a ser uma elfa negra
504520	506120	E se permite ser ela mesma
506120	506980	Só pra relaxar
506980	507760	Naquele dia
508020	508880	Eles acordaram cedo
508880	510340	E foram pra frente de casa
510340	512460	Sentaram em suas cadeiras de balanço
512460	513820	E viram a manhã passar
513820	515400	Logo cedo
515400	517960	Arco Verde e alguns homens passaram a cavalo
517960	518980	Deram um bom dia a elas
518980	521040	Depois algumas crianças brincaram
521040	523440	Seu gesto derrubou um galão de leite na rua
523440	525880	E haviam mais galinhas fugitivas que o normal
525880	527240	O tempo foi passando
527240	529400	E as duas ficaram ali conversando
529400	530820	E rindo de aventuras antigas
530820	532580	Talvez fazendo alguma arte manual
532580	533820	Para quem olhassem
533820	535300	Eram apenas duas senhoras negras
535300	536460	Vivendo suas vidas
