start	end	text
0	11400	Quando eu comecei a pensar no episódio que abriria o ano de 2024, eu pensei em algo com praia, mar, algo bem solar.
12040	14920	Algo que iniciasse o ano numa vibe muito boa.
15580	19440	Essa era a ideia original, eu juro pra vocês.
20340	27920	Eu nunca imaginei, até ser tarde demais, que esse seria um daqueles episódios em que eu tenho que avisar você no início
27920	36520	que este episódio contém cenas de terror e pode conter menções a transtornos psicológicos, a suicídio e a violência física.
36820	37840	Você foi avisado.
39620	44760	Episódio de hoje, A Loucura e o Tesouro de Florian Seib.
45800	49540	Olá, eu sou Marcelo Baxinim, sou guarcha desta aventura e estou aqui com...
49540	57140	Caio Lourencio. Vocês podem me encontrar na taverna do Baxinim e, às vezes, em alguma rede social como Caio Lourencio.
57420	57780	Olá!
57920	66520	Olá a todo mundo! Aqui é o Adriano Trota, eu sou ator e dublador e vocês também podem me encontrar no grupo de apoiadores do RP Guaxa
66520	71840	e nas redes sociais como arroba trota com três t's, T-R-O-T-T-T-A.
72120	80540	Olá, eu sou a Juleiva, vocês me encontram na taberna do Guaxinim e, se for o caso, eventualmente, no Instagram arroba guaxete.
80540	86000	O Realidades Paralelas do Guaxinim usa o sistema guaxinins e gambiarras.
86560	87540	Nele, cada jogador...
87920	91920	possui apenas um único atributo, que vai de 2 a 5.
92580	95800	Quanto maior o atributo, mais atlético é o personagem.
96420	99180	Quanto menor, mais inteligente e carismático.
99920	104140	Sempre que o jogador faz algo com uma chance de errar, joga dois dados.
104640	108960	E precisa tirar o seu atributo ou menos para ataques e ações físicas.
108960	113080	E seu atributo ou mais para ações intelectuais ou sociais.
113960	117900	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
118720	121420	Se a jogada for difícil, rola-se um dado a menos.
122180	125180	Eu sou a Bia, também conhecida como Bia Rebelde.
125680	131220	E sou madrinha do RP Guaxa, porque além do Guaxa merecer todo o apoio por esse projeto incrível,
131680	135420	a taberna é o melhor lugar para se estar a qualquer momento do dia.
135960	139420	Lembrar vocês que se você apoia pelo PicPay, ele não existe mais.
139420	141740	Então eu peço que você faça a migração e assine.
141920	146420	Ou pelo novo Apoia-se, apoia.se barra rpguaxa.
147360	147900	Ou pelo padrão.
147920	149280	Ou pelo Orélo.
