start	end	text
0	7380	O Silmar, fundador do SciCast e do Portal do Aviante, um cara que eu queria que tivesse
7380	12820	conhecido o RP Guaxa, mas infelizmente partiu antes, sempre me dizia que a maioria dos podcasts
12820	18840	acabava antes de chegar no episódio 10, que todo podcast que publicava seu décimo episódio
18840	20580	era um podcast vitorioso.
21580	27940	Bem, esse é o meu episódio 138, esse é o quinto ano de publicação do RP Guaxa,
27940	29880	e por isso temos uma festa.
30220	37580	E sim, o primeiro pedaço é pra você, porque sem você não teríamos passado de 10 episódios.
38380	41940	Episódio de hoje, os animais na floresta e o grande roubo do bolo.
42800	49580	Os padrinhos, Juleiva, Fabio Labello e o Danilo Bastini, lá do Contador de Histórias.
50300	51920	Conheça o Contador de Histórias, gente.
53180	58320	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim de Gambiarras.
58860	64100	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
64700	67660	Quanto maior o atributo, mais atlético é o personagem.
68240	70840	Quanto menor, mais inteligente e carismático.
71540	76600	Sempre que o jogador faz algo com uma chance de errar, joga dois dados e precisa tirar
76600	82400	seu atributo ou menos, para ataques e ações físicas, e seu atributo ou mais, para ações
82400	83700	intelectuais ou sociais.
83700	88300	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
88320	91820	Se a jogada for difícil, rola-se um dado a menos.
92400	97320	Eu sou a Rafaela e sou madrinha do RPGuaxa, porque além de ser uma comunidade maravilhosa,
98340	102240	histórias incríveis são contadas aqui, dentro e fora das mesas de RPG.
103400	106880	Não deixe de seguir nas redes sociais, arroba marcelaguaxinim, arroba rpguaxa.
107000	111320	Considere apoiar esse projeto lá no PicPay ou no Padrim, procura para RPGuaxa.
112420	117260	E se você quiser mandar um presente para esse podcast, rpguaxa.gmail.com.
117260	118260	É o nosso.
118320	118780	É o nosso Pix.
118780	148300	É o nosso Pix.
148300	150280	É o nosso Pix.
150360	151160	É o nosso Pix.
151160	157040	Sete realidades paralelas, uma infinidade de possibilidades, três jogadores e um guaxinim.
157480	161460	Se vocês olharem à sua esquerda, virão um corvo sob uma maceira.
162060	165400	À sua direita, a aventura está prestes a começar.
167200	168040	Cinco.
170140	170980	Quatro.
172960	173820	Três.
175760	176580	Dois.
178300	181540	RPG
181540	184120	Realidades Paralelas do Guaxinim
184120	186880	Sua aventura de bolso na forma de podcast
186880	189800	Uma jornada completa a cada episódio
208300	212560	Dizem que a arte mundana mais próxima da magia é a culinária
212560	217000	Que a mistura dos ingredientes certos tem mais poder do que a maioria dos feitiços clássicos
217000	218680	Prova disso foram as porções de amor
218680	223100	Que entraram em desuso após a descoberta de que um simples bolo de chocolate com canela
223100	226300	Pode despertar o mesmo efeito nos corações alheios
226300	230200	Afinal, quem resiste ao aroma doce envolvente dessa iguaria?
230440	233860	Por sinal, o melhor bolo de todas as realidades
233860	236400	É produzido por uma bruxa aposentada
236400	238100	Que não usa magia em suas criações
238680	242800	São bolos tão poderosos que a realidade em torno de sua padaria
242800	244980	É levemente distorcida
244980	247640	Um desses sintomas é o fato de os animais da região
247640	252240	Serem os terceiros mais inteligentes e sociáveis de todas as realidades
252240	255100	E o que acontece quando o bolo dos bolos é criado?
255320	257260	O aroma toma conta da floresta
257260	261980	Mas os animais sabem que um grupo grande seria percebido muito rapidamente
261980	264100	Por isso, após um sorteio
264100	266600	Foram definidos que três animais
266600	268280	Irão até a cidade
268280	271960	E buscarão o bolo para uma grande festa na floresta
271960	275080	E por sorteio, esses animais são eles
275080	278340	Ju, fala sobre seu personagem, aparência, atributo
278340	282280	Oi gente, eu vou jogar com a Nana, a cobra caninana
282280	284700	A Nana tem dois metros de comprimento
284700	288380	É rajadinha de preto com amarelo, como todas as caninanas
288380	293200	Ela costuma comer pequenos anfíbios, ovos e até algumas galinhas
293200	297460	Mas é melhor não conversar sobre a sua alimentação com seus amigos
297460	298260	Fica pronto!
298260	301120	Pistola, quando falam que alguém é uma cobra
301120	302400	Em tom pejorativo
302400	305620	Não é peçonhenta, mas é rápida
305620	307540	Porém, não enxerga muito bem
307540	310120	Gosta de se divertir gerando surpresas
310120	313240	Saltando das árvores e assustando seus companheiros
313240	315400	O atributo da Nana é o 5
315400	317820	Fabi, fala sobre seu personagem, aparência e atributo
317820	321260	Olá gente, hoje eu vou jogar com a Clotilde
321820	323800	Os íntimos chamam ela de Clô
323800	325260	E ela é uma camaleoa
325820	327480	Ela tem um atributo 3
328260	330260	Ela tem um gatilho verde de corpo estreito
330260	333760	Eu possuo olhos que se movimentam para todas as direções
333760	337820	E uma cauda preense, ou seja, que pode se prender as coisas
337820	340200	Com minha língua capaz de se expandir
340200	344520	Adoro comer insetos, frutas e bolos
344520	346280	Também consigo me camuflar
346280	349280	O que me faz uma das maiores fifis da floresta
349280	352060	Mesmo só tendo 60 centímetros de comprimento
352060	353480	Eu sei o que você está pensando
353480	355180	Eu não sou uma fofoqueira
355180	357440	Que palavra horrível de se dizer para outra pessoa
357440	358180	Tch tch tch
358260	360540	Eu sou uma comentarista de boatos
360540	364640	Colho informações como um curador escolhe as obras de arte de uma galeria
364640	367980	Ou como um jornalista compartilha as notícias com seu público
367980	370380	Eu sou uma divulgadora social
370380	374300	Dito isto, estou muito contente de ter sido sorteada para ir pegar o bolo
374300	377660	A casa da bruxa deve ter muitas coisas interessantes
377660	379900	Quantas histórias eu poderei contar?
380260	381260	Ah, e o bolo?
381520	383480	Imagina tirar uma casquinha em primeira mão?
383820	384260	É isso
384260	386440	Danilo Bottini, querido
386440	387440	Fala sobre seu personagem
387440	388980	Aparência e atributos
388980	389440	Muito bem
389440	391220	Para aqueles que não se lembram de mim
391220	393100	Eu sou o Capitão 1
393100	395380	Para as mentes modernas
395380	396100	Apenas um galo
396100	396800	Mas na verdade
396800	400080	O herdeiro de um dos meus queridos ancestrais
400080	401020	Os dinossauros
401020	403260	Eu vim parar nessa floresta
403260	404200	Por algum motivo
404200	406700	Talvez ainda desconhecido para você, nobre ouvinte
406700	407460	Mas enfim
407460	408700	Falaremos disso depois
408700	410900	Capitão tem uma pequena cicatriz
410900	412780	Eu lembro que isso foi motivo de piada na última vez
412780	413920	Eu tinha falado sobrancelha
413920	415420	Galo sabe que não tem sobrancelha?
415600	415960	Vai saber
415960	417080	Acima do olho
417080	418280	Ele tem uma sobrancelha
418280	419820	Um pequeno corte
419820	420700	Que é uma cicatriz
420700	422480	Mostrando como ele é viril
422480	425320	E como ele é um tão corajoso
425320	426660	Quanto seus ancestrais dinossauros
426660	428500	Seu atributo é o 3
428500	443140	A floresta por ser mágica
443140	444400	É agitada por natureza
444400	446960	Embora seja literalmente na natureza
446960	447060	É agitada por natureza
447080	448880	Ela não é mágica por natureza
448880	450040	Não, literalmente
450040	451740	A coruja me explicou uma vez
451740	453140	Mas é difícil prestar atenção
453140	454420	Quando o animal na sua frente
454420	455240	Pode mover a cabeça
455240	456960	Como um personagem que sai do filme Exorcista
456960	458100	Mas acho que eu estou me perdendo
458100	459700	As árvores são altas
459700	462260	Os esquilos são quase malabaristas
462260	463500	Saltando de galho em galho
463500	465780	Enquanto carregam toneladas de nozes e frutas
465780	468200	As raposas são rápidas como foguetes
468200	470000	Os ursos são preguiçosos
470000	471860	Dormindo por horas em suas tortas
471860	473000	Mas o mais divertido
473000	475040	É que todos esses animais falam
475040	476860	Sim, eles discutem questões importantes
476860	479520	Como quem vai ficar com a última fatia de pizza de queijo
479520	482160	Ou onde encontrar a melhor coxinha de frango da região
482160	484100	Não contem pro capitão
484100	486480	Os coelhos alertam-se aos outros
486480	488220	Sobre os perigos iminentes
488220	490520	Os pássaros dão dicas sobre os melhores lugares
490520	491640	Para encontrar guloseimas
491640	494020	Os ursos protegem os mais fracos
494020	496400	Enquanto as lontras ensinam seus truques
496400	498140	Para como pegar peixes
498140	499480	Todos vivem em harmonia
499480	501780	Respeitando-se e ajudando
501780	503700	Uns aos outros animais
503700	504800	Os peixes não contam
504800	506740	E como suas habilidades de fa...
506740	508460	E com suas habilidades de fala
508460	510820	Eles conseguem expressar seus sentimentos
510820	512920	Necessidades e desejos
512920	515020	Criando uma comunidade verdadeiramente feliz
515020	516960	Conectada e gulosa
516960	518020	Como foi dito antes
518020	519960	A cidade não é muito longe dali
519960	523200	E hoje o cheiro de bolo está mais forte que o normal
523200	524800	Um cheiro tão gostoso
524800	527280	Que os animais decidiram preparar uma festa
527280	529380	Cada grupo ficou responsável por um detalhe
529380	530800	E por sorteio
530800	533040	Nossos amigos, nossos jogadores
533040	534780	Ficaram encarregados de
534780	536160	Buscarem o bolo
536740	538280	Espero que seja um bolo grande o suficiente
538280	539680	Porque são muitos animais
539680	540900	Vocês estão na floresta
540900	543080	Cada bichinho está fazendo a sua coisa
543080	544640	Estão decorando a árvore
544640	546180	Estão preparando um espaço
546180	548200	O trabalho de vocês é um só
548200	550360	Ir até a cidade, ir até a padaria
550360	552060	Pegar esse bolo tão cheiroso
552060	553280	Trazer de volta
553280	555040	Vocês vão fazer algum preparo antes
555040	556880	Vocês já se conheciam antes
556880	558680	O sorteio uniu vocês
558680	559860	Como é que vocês vão fazer?
560120	562680	Eu acredito que nós já podemos ter
562680	564280	Uns conhecidos de vista
564280	565840	De pequenas conversas, mas agora
565840	566720	É um de nós
566740	569120	Realmente viraremos amigos de verdade
569120	570800	Uma grande aventura para unir
570800	572940	Três companheiros tão diferentes
572940	573480	Um do outro
573480	575080	Um dos outros
575080	579140	Bem, a Clotilde com certeza
579140	581500	Conhece o capitão e conhece a Nana
581500	583880	Porque ela conhece todo mundo da floresta
583880	585720	Ela sabe o que cada um
585720	587160	Vai fazer na festa
587160	589540	Ela sabe que o Sussaneca
589540	591360	Ficou de pendurar as bandeirinhas
591360	592300	Na árvore
592300	595000	Que a Onça Ana ficou de pegar
595000	596720	Os restinhos de
596740	598200	Pozinho que caiu
598200	599380	Para arrumar lá perto
599380	601100	De onde a gente vai fazer o piquenique
601100	603100	O Fernando Lobo, por exemplo
603100	605320	O Fernando Lobo
605320	608280	Ele disse que ia reunir os roedores pequenininhos
608280	610100	E levar para lá aqueles que moram mais longe
610100	612440	Do local da festa
612440	614780	E eu esqueci de falar
614780	616080	A coelhinha
616080	617800	A coelhinha de Alcantarilha
617800	619920	O nome dela é Fabíola
619920	621400	Ela é tão graciosa
621400	624840	É mais difícil de explicar
624840	626560	Do que o capitão
626560	629440	Não, mas o sobrenome dela é de Alcantarilha
629440	630380	Não sei porquê
630380	633600	Não sei porquê o sobrenome dela é de Alcantarilha
633600	634360	Mas, bem
634360	636800	Ela disse que ia enfeitar
636800	638740	Com vários pomponzinhos
638740	640440	Ali a área do piquenique
640440	641320	Que a gente vai fazer
641320	643840	Então, assim, o pessoal está realmente empenhado
643840	646460	Em enfeitar tudo para fazer uma festa muito bonita
646460	648660	Não somos amigos, mas com certeza
648660	650400	A Nana já deve ter dado uma
650400	651880	Caldada neles
651880	653460	Brincando em cima das árvores
653460	656100	A Nana é danada mesmo
656560	658060	Répteis, né, como já foi dito
658060	661200	Sim, aqui temos dois répteis
661200	663120	E um descendente de um dinossauro
663120	664680	Então, estamos todos em casa
664680	667120	Tecnicamente, eu sou o pai, o avô
667120	668080	O tataravô de vocês
668080	673800	Eu tenho o gene
673800	675360	De nossos ancestrais
675360	676660	E as penas também
676660	678900	Sim, sim, me disseram
678900	681160	Eu ouvi por aí, né, eu não sei até que ponto
681160	682380	É verdade e tal
682380	684680	Mas me disseram sim que os dinossauros
684680	686020	Antigamente tinham penas
686020	686380	Então
686380	687660	Acho que o senhor tem razão
687660	688740	Mas veja bem, o coberto
688740	690720	Nós já estamos perdendo tempo demais aqui
690720	693260	Alguém pode pegar aquele bolo primeiro que nós
693260	694780	Se nós demorarmos muito
694780	696100	Oh, meu Deus, é verdade
696100	697240	Vamos lá, então
697240	700440	É, saudades daquele bolo de fubá da senhora Natalina
700440	702780	Eu gosto de ir nas árvores
702780	704760	Mas se vocês só
704760	707000	Têm o chão, eu vou no chão com vocês
707000	708480	Vocês têm que ter um pouquinho de paciência
708480	710420	Que eu ando devagar, mas qualquer coisa
710420	712060	Eu subo na Nana
712060	713220	Aí eu olho pra Nana
713220	714200	Tem problema?
714820	715340	Imagina
715340	716300	A minha linda
716380	717160	Linda pele
717160	718420	É feita pra isso
718420	719320	Tudo bem, então
719320	720100	É
720100	722760	Eu tô falando, a gente sabe onde é que mora a bruxa
722760	724960	A gente vai seguindo o cheiro maravilhoso do bolo
724960	727840	É, assim, vocês não costumam ir pra perto da cidade, né
727840	730100	Mas o cheiro acaba guiando vocês
730100	732080	Vocês vão indo pela floresta ali
732080	734900	Até, no caso, a
734900	737840	A cotilde nas costas da Nana, né
737840	740760	O capitão mais à frente, assim, liderando
740760	742040	É o batedor do grupo
742040	743740	Até porque a Nana, ela não anda em linha reta, né
743740	745980	Ela vai serpenteando, né
745980	748080	Vai pra um lado, pro outro
748080	750780	A Clô pode até ficar meio tonta, né
750780	752120	Com o caminho que ela tá fazendo
752120	754040	Ai, Nana, Nana, peraí, menina
754040	755420	Você tá indo meio rápido
755420	756940	Eu vou ficar tonta aqui
756940	758460	Ai, desculpa
758460	760120	Às vezes eu esqueço de vocês
760120	761960	Desculpa, desculpa
761960	763140	Não, tá tudo bem
763140	765880	A culpa é dos meus olhos, sabe
765880	768300	Eu consigo botar um olho pra cada lado
768300	771740	Praticamente eu consigo ver 360 graus ao redor de mim
771740	774500	É uma benção e uma maldição ao mesmo tempo
774500	774980	Hum
774980	775320	Hum
775320	775820	Hum
775820	775940	Hum
775940	775960	Hum
775980	778800	A gente deve chegar lá perto da beira da floresta
778800	781420	Vocês chegam perto da cidade, então
781420	782520	Não é muito longe
782520	785160	Vocês veem construções altas e cinzentas
785160	786260	Que são dos humanos
786260	789060	Vocês veem que existem animais na cidade também
789060	791420	Alguns domésticos, outros selvagens
791420	794140	Entre eles vocês notam um grupo de pombos
794140	796280	Que voam sobre as ruas
796280	796980	E os telhados
796980	800480	E eles parecem agir como se fossem os donos da cidade
800480	803940	E não costumam gostar muito de intrusos
803940	805820	Eles logo percebem
805820	807880	A presença de vocês ali
807880	809600	E começam a se aproximar
809600	812460	Fazendo barulhos e gestos hostis
812460	813660	Até que
813660	815880	Um dos pombos, inclusive, tem um canudo
815880	817280	No bico, né
817280	819820	Ele segura de forma ameaçadora
819820	822420	O capitão tá com as duas asas abertas
822420	823940	Vem atrás de mim
823940	825100	Vem atrás de mim
825100	826480	Eu protejo vocês
826480	829400	O pombo mais gordinho entre eles pousa no chão
829400	831560	Enquanto os outros se posicionam assim
831560	832740	Em fios de iluminação
832740	834680	E em encostos de janela
834680	835520	Ele para
835520	837780	Diante do capitão
837780	839460	Ah, capitão
839460	843260	Eu tive muito trabalho pra te trazer pra essa região
843260	843780	Como é que é?
843920	845720	Mas você acabou fugindo pra floresta
845720	848040	Eu sou o chefe desse lugar
848040	851760	Eu preciso de um homem forte pra trabalhar comigo
851760	853300	Prometo a você
853300	855060	Todo o resto de salgados
855060	856640	Que você conseguir comer
856640	858500	Bom, eu não sei onde você vai encontrar um homem
858500	860860	Aqui claramente só temos um galo
860860	862020	Uma camaleoa
862020	864820	E uma cobra
864820	865500	Uma víbora
865520	866100	Uma cobra
866100	866560	Cobra
866560	868360	Eu não estou muito acostumado com você ainda
868360	869060	Peço perdão
869060	871640	Mas acredito que podemos encontrar algum homem por aqui
871640	873940	Se você precisar e pagar em salgados
873940	875080	Daremos um jeito nisso
875080	877860	No caso, eu queria você
877860	879580	Trabalhando pros pombo
879580	880900	É verdade, agora faz sentido
880900	881480	Muito bem
881480	883080	Mas nós estamos em uma missão
883080	885080	O que nós vamos ganhar trabalhando pra vocês?
885320	885820	Não, não
885820	888980	Os outros bichos da floresta podem voltar pra casa
888980	889820	Que absurdo
889820	890500	Não, não, peraí
890500	891840	A gente tá numa missão junto
891840	894420	A Nana vai chegar perto do pombo
894420	895360	O que você quer?
895360	898700	Você está falando para o nosso colega, por favor
898700	900560	Ela bota a carinha bem perto
900560	902940	Os nossos pombos falam alguns atributos
902940	904900	Como essas esporas
904900	907660	Alguns gatos não pagam seus atributos
907660	909840	E a gente precisa ameaçar eles
909840	912780	Queremos que o capitão faça isso pra gente
912780	914440	Cobra com as dívidas
914440	916360	Quebra com os vasos de planta
916360	918040	Mas vocês tem bolo, por acaso?
918200	921760	Não, nós não temos restos de salgados
921760	923400	Ninguém gosta tanto de resto de salgado
923400	923880	Quanto eu
923880	925200	Mas nós somos salgados
925200	927120	Somos animais em uma missão
927120	929460	Não podemos voltar de...
929460	930400	Como é que a gente vai voltar com esse bolo?
930480	932860	Nós nem temos patas pra levar ele
932860	934700	Isso foi muito mal plano já desde o começo
934700	937660	A Clotilde tá anotando tudo lá
937660	939900	Que o pombo tá dizendo
939900	943260	Ele precisa de alguém com garra pra...
943260	945800	Certo, olha só, seu pombo
945800	946420	É o seguinte
946420	949120	Nós, como o capitão bem falou aqui
949120	950920	Nós temos uma missão
950920	953100	E nossos amigos estão contando conosco
953100	954840	Não sei se talvez depois
954840	956360	Ele possa aceitar, não sei
956360	958100	O que ele vai querer fazer no futuro
958100	960360	Mas agora a gente tem um objetivo
960360	961680	Que é chegar no bolo
961680	963120	O lagartixa
963120	964220	Que lagartixa?
964300	965200	Aí eu boto minha língua assim
965200	967840	Eu sou uma camaleão, olha o respeito
967840	969720	Aí eu mudo de cor, eu fico assim
969720	970780	Preta, sabe?
971500	971940	Ameaçadora
971940	974320	Já que vocês querem entrar na nossa cidade
974320	976440	Vocês trouxeram alguma oferenda pra mim?
976620	977060	Oferenda?
977400	978080	É, veja bem
978080	980240	Eu acredito que deve estar havendo algum engano aqui
980240	981400	Não quero menosprezar vocês
981400	982440	Mas vocês são poucos
982440	983600	Hehehehe
983600	983840	Hehehehe
983840	984320	Hehehehe
984320	984680	Hehehehe
984680	984800	Hehehehe
984800	984820	Hehehehe
984840	988100	Você está falando com três
