start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaixaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaixa sabe o que faz!
20020	20960	Espera, o que é o Guaixaverso?
21000	22980	Era só uma questão de tempo.
23080	23460	Todos vão conhecer o Guaixaverso!
23460	24520	O Guaixaverso sempre existiu!
24520	27140	Eu quero entender o Guaixaverso!
27220	28560	Alguém me explica o que é o Guaixaverso?
28560	32020	É, pessoal, não existe o Guaixaverso.
32100	33720	Eu acredito no Guaixaverso!
33760	36560	Mas supondo que ele exista...
37880	41560	Guaixaverso, onde o que não existe é debatido.
45240	48880	Sorsal, não, por favor! Não põe minha aparência no trechinho, Sorsal!
49980	50620	Voltando.
55620	58540	Olá, eu sou o Marcelo Guaxinim, narrador, produtor e...
58540	60640	...utilizador do podcast do Realidades Paralelas do Guaxinim.
60900	63380	E essa voz rouca é um patrocínio da Gripe.
63840	66220	Pra quem não sabe, o Guaixaverso é o nosso antigo escudo do mestre.
66500	69640	Aqui vamos ler os comentários e discutir as teorias do último episódio.
70000	71940	Que, no caso, foi o monstro.
72400	73940	Episódio 98.
74780	77900	Vocês notaram que em dois episódios a gente chega no 100?
79060	79600	Que loucura.
80740	82560	Pra essa gravação eu recebi a jogadora Mel.
82720	85040	Ela jogou o episódio com a personagem Juliana.
85040	87320	E ela estava aqui pra me ajudar a ler os comentários.
87420	88520	A gente gravou numa segunda-feira.
88540	91660	Eu tô de férias, eu continuo de férias.
91920	94580	Eu só passei em casa pra ver como é que tava o gato, né?
94580	94940	A Marie.
95260	97280	Da comida, trocar areia, essas coisas.
97780	99920	Deixar um dinheiro pra ela pedir um lanche, se ela quiser, né?
100300	102840	E tô voltando pras minhas férias, na casa dos meus pais.
103140	107400	Então foi só uma segunda-feira que eu tive a oportunidade, como já passei por aqui.
107920	109760	A Mel tava disponível, a gente já gravou.
109940	111360	Então eu acabei gravando um pouco mais cedo.
111760	113540	Teve menos comentários por isso, né?
113980	115920	O pessoal normalmente espera pra terça-feira.
116160	116860	Não foi o caso.
116860	118180	Eu imagino que semana que vem.
118180	120680	Eu volto a trabalhar normalmente, né?
120740	122720	Eu volto pra habitar esta casa.
123040	125340	E daí volte a ser os Guaxaversos, as terças-feiras.
125560	128260	Lá no canal da Twitch, twitch.tv barra rpguax.
128520	133760	Mas esse provavelmente foi o último mais caótico antes das férias acabarem.
134420	137340	A Mel, ela tem um podcast, Nossa Poesia.
137480	140300	Um podcast onde eles leem poesias que estão em domínio público.
140400	141540	Recomendo bastante, né?
141700	145020	É um porto de calmaria no meio dessa loucura da pandemia.
145420	147360	E o Projeto Drama, é um projeto de audio-dramas.
147520	148160	Muito bacana.
148340	149340	Que eu sempre recomendo aqui.
149440	150800	Que surgiu lá na taberna.
151000	153000	E que é um dos meus xodós.
153200	155200	Então conheça o Projeto Drama, conheça o Nossa Poesia.
155400	156300	E conheça a Mel.
156500	158800	Essa jogadora incrível, que já jogou vários episódios.
159000	161000	No final ela responde algumas perguntas também.
161200	162100	Pra você entender um pouco.
162300	163600	Episódio favorito e tal.
163800	165800	Então, não deixa de curtir aí.
166000	167000	Lembra de seguir a gente nas redes sociais.
167200	169200	Arroba Marcelo Guaxinim, arroba rpguaxa.
169400	171400	Considere também se tornar nosso padrinho.
171600	173400	No meio dessa leitura de comentários.
173600	175300	Tive alguns padrinhos dando seus depoimentos.
175500	177100	A própria Mel deu seu depoimento.
177300	178140	Eu fiquei constrangido.
178340	179600	Eu não sei o que falar nessas situações.
180200	183620	Mas você pode ver que são pessoas realmente apaixonadas por esse projeto.
183920	185780	E se você tiver um pouquinho disso.
186400	187460	Esse é o seu lugar.
188000	191140	Então o primeiro comentário é do Jorge Marcos Santos Silva.
191140	192520	Que normalmente é o primeiro.
192640	194480	Embora das últimas vezes não tenha sido ele.
194880	197140	Olha, realmente um episódio delicado.
197240	198260	Mas muito, muito bom.
198680	201540	Adorei a ideia base e a desenvoltura dos jogadores.
202060	203220	E feliz ano novo Guaxa.
203780	204300	Guaxate.
204880	207600	Ou vim chinins e possível convidado.
207700	208160	Convidado.
208180	209120	Convidado ou convidado.
209560	210160	Temos a Mel.
210400	210760	Oi Mel.
211240	211480	Oi.
211860	212800	Feliz ano novo pra gente.
212900	213280	Olha que legal.
213680	214120	Que bom.
215440	215920	Obrigada.
216220	216700	Spoilers.
216960	220340	Bem, imagino que o prefeito fosse um monstro no sentido de escrúpulos.
220760	222880	Ele não era de fato alguém que se tornava uma criatura.
223420	223940	Ou era?
224120	224500	Não.
224620	225280	Ele realmente.
225700	227440	Ele é um ser humano.
227940	228920	Um monstro, né?
229040	229740	Por dentro.
230160	231200	A ideia do episódio.
231480	231940	Eu esqueci.
231980	232740	Eu tava muito cansado.
232800	235640	Eu esqueci de comentar isso no escudo do mestre.
