start	end	text
0	7140	Antes de mais nada, um recado muito importante
7140	9020	PicPay e assinaturas
9020	9960	Acabou
9960	12980	A partir de janeiro, o segundo e-mail
12980	13980	Que enviaram pra mim
13980	16320	Mas parece que pra outros produtores por conteúdo
16320	18880	Falaram outros meses, mas de qualquer forma
18880	20780	Acabou o PicPay
20780	22540	Pelo menos o assinaturas
22540	24900	Você que assina a RPG Guaxa
24900	27120	Pelo PicPay, peço encarecidamente
27120	28100	Que você
28100	30820	Cancele lá, ou espere que vai ser cancelado
30820	31780	Automaticamente
31780	34380	E migre para
34380	36060	Aurelo, para o Padrim
36060	38100	Ou para a novíssima opção
38100	39740	Que é o Apoia-se
39740	42420	Eu criei o Apoia-se como uma terceira opção
42420	43740	Porque eu sei que tem pessoas que tem
43740	46020	Problemas com o Padrim
46020	48440	Ou não tem uma conta na Aurelo
48440	49560	Mas já tem no Apoia-se
49560	51660	Então estou dando mais uma opção pra vocês
51660	54720	O RPG Guaxa agora tem Apoia-se também
54720	57520	Apoia-se barra RPG Guaxa
57520	58100	Da
58100	59540	Uma olhada lá, assina
59540	60800	E você que não é assinante
60800	63940	Vem assinar, vem fazer parte desta família
63940	65580	Maravilhosa
65580	67540	O episódio de hoje
67540	69800	Não é um episódio de Natal
69800	71920	Não deixe as luzes piscantes
71920	74080	A música repetitiva
74080	76160	E as passas em sua comida
76160	77540	Confundir você
77540	79280	Esse é um episódio militar
79280	81840	Esse é um episódio sobre uma equipe especial
81840	83460	Sobre a Espera
83460	86060	Que é uma sigla para a equipe secreta
86060	87500	Para a proteção espacial
88100	89920	Resposta avançada
89920	91220	Um grupo militar
91220	93000	Que sempre esteve olhando para o céu
93000	96120	E agora eles encontraram alguma coisa
96120	98400	Episódio de hoje
98400	99860	A Espera
99860	102200	Olá, eu sou o Marcelo Guaxinim
102200	103660	Sou o Guaxa desta aventura
103660	105320	Eu sou o Patrick, o Tiki
105320	108440	Vocês me encontram na taberna do Guaxinim
108440	109920	Arroba Tiki308
110560	111880	No RPG Guaxa
111880	114240	E de vez em nunca eu apareço no Sycash
114240	116020	Oi, eu sou a Dani
116020	117920	E vocês conseguem me ouvir?
118100	119560	Me achar na taberna do Guaxinim
119560	121560	Então me procurem lá, vem ser padrinho
121560	122880	Oi, eu sou a Tari Ne
122880	124920	Vocês também me acham no Guaxa
124920	126340	Mas eu tenho uma rede social
126340	128640	Que é a Acadêmica.Sincera
128640	129320	E é o Instagram
129320	132440	Mestre Jedi
132440	135140	Diga minha Padawan
135140	136920	Me conte uma história
136920	138880	De um lugar que você visitou
138880	142200	Em uma distante muito galáxia
142200	144900	Um pequeno existe planeta
144900	147800	O dele nome Terra é
147800	148080	Terra é
148100	150420	Qual é a coisa que tem a mais legal
150420	151520	No planeta Terra?
152520	155560	Eles de um podcast ouvir gostam
155560	157460	Qual é o nome desse podcast?
158140	159040	O que ele fala?
159980	161940	Lá um jogo existe
161940	164660	RPG o nome dele é
164660	166220	E RPG Guaxa
166220	167940	O podcast é
167940	170300	E pra jogar pra esse RPG
170300	171620	Como funciona?
172300	173760	Guaxinim e Gambiás
173760	176560	O sistema do RPG Guaxa de regras é
176560	177560	Um atributo
178100	179740	Cada personagem tem
179740	181680	Que de dois a cinco
181680	183100	Um número é
183100	185840	Então para o meu personagem
185840	187620	Ser forte e rápido
187620	190100	De cinco mais perto
190100	191940	Deve o atributo ser
191940	193840	Então para ser
193840	195740	Mais inteligente e carismático
196340	197940	O atributo tem que ser
197940	199560	Mais perto de dois, né?
200220	201740	Isso mesmo, Padawan
202360	203920	Me dá um exemplo
203920	205720	De como o RPG funciona
205720	207740	Ok, vamos ver
208100	210900	Natal o nome é
210900	214040	De um importante na terra feriado
214040	216720	Quando presentes distribui
216720	218720	O velhinho Noel Papai
218720	221780	Para feliz fazer as crianças
221780	223380	Padawan
223380	226060	O atributo do Noel Papai
226060	227460	Qual pode ser?
228400	229440	Deixa eu ver
229440	233000	Ele não vai ser muito forte e resistente
233000	236480	Mas vai ser mais rápido e forte
236480	237680	Do que inteligente
238100	241140	Então ele vai ser atributo quatro
241140	243820	Ele tentar vai
243820	246180	Chaminar por uma passar
246180	249320	Mas uma chance de cair ele tem
249320	252860	Então dois dados rolar você precisa
252860	256160	Para uma força de teste fazer
256160	260420	E atributo seu ou menos conseguir precisa
260420	262280	E se alguma coisa me ajudar
262280	263720	Eu rolo um dado a mais?
264860	266520	E se difícil muito for
266520	267940	Um dado menos rola bem
267940	267960	E se não for muito fácil
267960	268460	Rola você
268460	271420	Dois dados rola agora
271420	273960	Ah, tirei dois cincos
274700	277460	Escorregou
277460	279220	Muito fez barulho
279220	282180	E pela chaminé caiu o Noel Papai
282180	284640	Mas não se machucou ele
284640	286880	Resistente muito ele é
286880	288640	Na casa dentro
288640	290060	Agora você está
290060	291980	Procurar o presente
291980	294080	Onde deixar você precisa
294080	296360	E pra procurar
296360	297800	Eu tenho que tirar
297800	299800	Meu atributo a mais né?
299800	301800	Isso mesmo
301800	303800	Eu vou acender uma lâmpada
303800	305800	Bem muito Padawan
305800	307800	Dados três
307800	309800	Você rolar pode
309800	311800	Tirei três
311800	313800	E quatro e cinco
313800	315800	Quatro e cinco acertos são
315800	317800	Encontra você
317800	319800	A de natal árvore
319800	321800	E entregue o presente está
321800	323800	Eba, eba
323800	325800	Eu entreguei os presentes
325800	327640	As crianças vão pegar o presente
327640	329640	Para o natal feliz
329640	331640	Sim Padawan
331640	333640	Você fez o papai noel
333640	335640	E o natal você salvou
335640	337640	Entendi
337640	339640	Mestre Jedi
339640	341640	O jogo reteguagem é muito legal
341640	343640	Quero jogar mais vezes
343640	345640	Mas por deus do jesus
345640	347640	Você já visitou a terra?
347640	349640	Quando pra lá fui eu
349640	351640	Me confundiram as pessoas
351640	353640	Com um bicho
353640	355640	Que de advoglobrem eles chamam
355640	357640	Mas o bicho não é um bicho
357640	359640	Mas outro dia
359640	361640	Para esta história é
361640	363640	Eu sou a Ana Lilia
363640	365640	E esse meu pai é
365640	367640	Eu sou o Anderson
367640	369640	Feliz natal
373640	375640	A leitura de regras que você ouviu agora
375640	377640	Além da fofíssima Ana Lilia
377640	379640	E do seu pai
379640	381640	Que é o nosso padrinho
381640	383640	Anderson Kamatari
383640	385640	Teve a edição do Jean Macedo
385640	387640	Obrigado aos três
387640	389640	Maravilhosos
389640	391640	Não deixe de seguir nas redes sociais
391640	393640	Eu sou o Marcelo Guaxinim
393640	395640	Está no twitter e no instagram
395640	397640	E no blue sky
397640	399640	E outras redes novas
399640	401640	Mas vamos reservar o nosso nome
401640	403640	Então segue a gente lá
403640	405640	E boa aventura
415640	419640	Sete realidades paralelas
419640	421640	Uma infinidade de possibilidades
421640	423640	Três jogadores
423640	425640	E um Guaxinim
425640	427640	Já estão todos em campo
427640	429640	E aguardando o apito
429640	431640	Para o início a mais uma aventura
435640	437640	Cinco
437640	439640	Quatro
441640	443640	Três
443640	445640	Dois
445640	447640	Três
447640	449640	Três
449640	451640	RPG
451640	453640	Realidades paralelas do Guaxinim
453640	455640	Sua aventura de bolso na forma de podcast
455640	457640	Uma jornada completa
457640	459640	A cada episódio
473640	475640	Soldados
475640	477640	Os está levando para uma divisão secreta militar
477640	479640	Chamada
479640	481640	Espera
481640	483640	Tudo o que será dito, visto, ouvido, cheirado, degustado
483640	485640	E observado com o seu olho da mente
485640	487640	A partir de agora
487640	489640	É confidencial
489640	491640	Qualquer informação vazada será tratado como crime grave
491640	493640	Contra o país
493640	495640	E será punido nos rigores da justiça militar
495640	497640	Se a informação for vazada em qualquer canal
497640	499640	Que não seja do Plim Plim
499640	501640	Terá punição dupla
501640	503640	Devido ao nosso convênio de exclusividade
503640	505640	Dito isso
505640	507640	Equipe secreta para proteção espacial
507640	509640	E resposta avançada
509640	511640	Foi criada em um ano onde filmes de alienígenas
511640	513640	Estavam em alta
513640	515640	E as verbas militares estavam ainda mais altas
515640	517640	Ao ponto de que se não fossem gastas
517640	519640	Teríamos que devolver
519640	521640	Para o governo
521640	523640	Para que ele construísse hospitais, escolas
523640	525640	Pistas de corrida com saquinhos para recolher o cocô do cachorro
525640	527640	A cada quilômetro
527640	529640	Crestes e todas essas medidas eleitoreiras
529640	531640	Vulgarmente conhecidas como
531640	533640	Coisas úteis para a sociedade
533640	535640	Embora saquinhos para recolher o cocô do cachorro
535640	537640	Sejam realmente uma ótima ideia
537640	539640	Devolver o dinheiro poderia significar
539640	541640	Que no ano seguinte
541640	543640	A verba militar seria menor
543640	545640	Ou pior, ao receber o cheque poupul
545640	547640	Da tesouraria do governo poderia se perguntar
547640	549640	Se com os militares devolvendo
549640	551640	Só os restos sobra tudo isso
551640	553640	Imagina como ficariam os cofres
553640	555640	Se acabássemos com a instituição
555640	557640	Por isso, antes do fechamento do ano
557640	559640	Um grande prédio foi construído no deserto
559640	561640	Tecnologia de viagem
561640	563640	E monitoramento espacial foi instalada
563640	565640	Além de um galpão subterrâneo
565640	567640	Que se estende por quilômetros
567640	569640	Criado para guardar todas as evidências
569640	571640	Alienígenas já encontradas
571640	573640	Pelas forças nacionais
573640	575640	Mas a estrutura precisa de soldados
575640	577640	E uma estrutura no meio do deserto
577640	579640	Não costuma ser muito convidativa
579640	581640	Por isso seu comandante
581640	583640	O general Lacerda Neto
583640	585640	É um homem que em qualquer outro emprego
585640	587640	Estaria preso ou processado
587640	589640	Por devio de resmas de papel A4
589640	591640	Mas aqui foi promovido e colocado
591640	593640	Para operar um elefante branco
593640	595640	No meio do nada
595640	597640	Para traçar alguns soldados rebeldes
597640	599640	Que cometem crimes militares graves
599640	601640	Como denunciar superiores
601640	603640	Pelo roubo de papel A4
603640	605640	Como é véspera de feriado de natal
605640	607640	Apenas o general está na base
607640	609640	Os últimos soldados que trabalhavam com ele
609640	611640	Pediram baixa em menos de dois meses
611640	613640	E qualquer outro servidor está de recesso
613640	615640	Até o início do ano que vem
615640	617640	Antes de continuarmos
617640	619640	Eu gostaria de conhecer
619640	621640	Os soldados que foram chamados
621640	623640	Às pressas para uma missão
623640	625640	Na espera
625640	627640	Você fala sobre seu personagem
627640	629640	Aparência e atributos
629640	631640	Hoje eu vou jogar com o Leon
631640	633640	Leon é um homem de 26 anos
633640	635640	1,76m cabelo curto estilo militar
635640	637640	Os olhos cor de mel
637640	639640	Porte médio definido
639640	641640	Pelo serviço militar
641640	643640	Ele hoje está nessa escala
643640	645640	Porque ele foi pego tentando modificar
645640	647640	Um carro de unidade
647640	649640	Para ficar mais rápido
649640	651640	Ele não se dá muito bem com rifles
651640	653640	Mas se vira bem com pistolas
653640	655640	E o atributo é 4
655640	657640	Eu vou jogar com a Amanda
657640	659640	Atributo 3
659640	661640	A Amanda é um soldado meio rebelde
661640	663640	Ela não segue muito as ordens
663640	665640	Principalmente aquelas
665640	667640	As ordens que ela não concorda
667640	669640	E faz o que acho que deveria ser feito
669640	671640	Ela é alta, esguia
671640	673640	E até que veloz as vezes
673640	675640	Acabou ficando na véspera de natal
675640	677640	Na divisão
677640	679640	Punição por ter invadido o refeitório
679640	681640	E batizado o Ponchi
681640	683640	Antes de começar a confraternização
683640	685640	De final de ano do departamento
685640	687640	Antes de ser chamada para a comissão
687640	689640	Ela estava sentadinha
689640	691640	Lá divertida
691640	693640	Montando na frente do computador
