start	end	text
0	13260	Em um tempo muito distante, a paz e o avanço tecnológico se dá graças a um poderoso mago
13260	15520	que mantém o equilíbrio entre os reinos.
15840	17920	Mas o que pode acontecer se esse mago desaparecer?
18320	25340	Episódio de hoje, o poderoso N, com os padrinhos Agatha e Rafaela no papel da Sofia, a aprendiz
25340	26020	do grande mago.
26020	31220	Com Rafael Schubert no papel do soldado Peter e com Pedro Rodrigues no papel do capitão
31220	31860	Longwater.
32140	35480	O Realidade dos Palavras do Guaxinim é um sistema chamado Guaxinins e Gambiarras, uma
35480	37480	variação do sistema Laser de Sentimentos.
38000	42060	Nele, cada jogador possui um único atributo que vai de 2 a 5, quanto maior o atributo,
42400	46800	mais atlético é o personagem, quanto menor, mais inteligente e carismático ele é.
47100	51520	Sempre que um jogador tenta fazer algo, ele joga dois dados, e precisa tirar seu atributo
51520	56000	ou menos para ataques e ações físicas, não importando de onde venha.
56020	60840	E seu atributo ou mais para ações intelectuais e sociais.
61260	65680	Se a jogada for fácil, ou se tiver alguém auxiliando o seu jogador, ele rola um dado
65680	66280	a mais.
66560	69000	Se a jogada for difícil, ele rola um dado a menos.
69500	72380	Qualquer dúvida, nos procure nas redes sociais e não deixe de nos seguir,
72520	74720	arroba Marcelo Guaxinim e arroba RP Guaxa.
75060	79420	Considere também nos apoiar no PicPay ou no Padrim para lançarmos cada vez mais episódios.
79800	81800	Maiores informações no Escudo do Mestre, lá no final.
82280	82840	Boa aventura.
86020	110460	E aí, vocês estão na caverna?
110460	111600	Qual é o dado?
112560	114320	Bola de fogo!
114940	115460	Chamo...
116020	118060	Chamo Clérigo.
119160	120440	Como assim eu morri?
121560	122860	Hora iniciativa.
123500	125880	Então, não tem armadilha.
126160	126780	Podemos ir.
127520	128680	O que vocês fazem?
130100	130780	Tá, tá.
130980	134100	Eu amarro uma corda nelas e uso como arma.
134460	135340	Eu ataco.
135740	139680	O Magro lança seu Thunderbolt mais 15 no Ubi Holder.
139680	142020	Eu quero rolar a minha sedição, posso?
143000	144420	Tem algum lugar para se esconder?
145060	145680	Ah, pode.
146020	147300	Olha, a crítica.
147860	148660	Ataque de impunidade!
149000	149900	Aí, arrumando!
150040	151240	Chamo Clérigo!
154140	154660	RPG.
155360	157580	Realidades Paralelas do Guaxinim.
157580	160580	Sua aventura de bolso na forma de podcast.
161020	163520	Uma jornada completa a cada episódio.
176020	182020	Se inscreva no canal e ative o sininho para receber notificações de novos vídeos.
182020	186960	A muito tempo atrás, existiam duas grandes cidades, duas nações em um pequeno continente.
187340	191060	Uma era conhecida como a Cidade do Mar, pois ficava à beira do mar.
191620	196640	A outra era conhecida como a Cidade do Céu, embora não ficasse no céu, ela fica nas montanhas.
196640	200840	Mas montanhas tão altas que parecem tocar este céu.
201420	205300	Há mais de um século, conta-se, que chegou um grande mago poderoso na região,
205300	209180	que queria ajudar aquelas duas cidades a se desenvolverem e a crescer.
209180	213180	Ele trazia uma mensagem de paz, o que fez as duas cidades entrarem em guerra,
213180	215980	pois as duas queriam controlar o poder deste mago.
215980	220580	Ele, não querendo se envolver diretamente, usou de diplomacia e, no fim,
