start	end	text
0	5740	Eu sempre brinco que se gostasse futebol, eu não torceria para o Figueirense Futebol Clube.
6020	8500	É sempre complicado quando seu mascote é uma árvore.
8800	12800	Pra vocês terem uma ideia, eu estive mais no estádio Orlando de Carpelli pra ver a Xuxa no Natal
12800	14980	do que pra ver o furacão do Estreito jogar.
15440	16500	Mas Copa do Mundo é diferente.
16980	21440	Copa do Mundo eu gosto, não só de torcer pelo Brasil, mas de ver os jogos acontecerem.
21960	23380	É uma festa sem igual.
23840	25520	O RP Guaxa não podia ficar fora dessa.
25520	30260	E embora nossa Copa seja diferente, nosso jogo não seja igual,
30600	36020	e que usar o termo Copa do Mundo no título do podcast seja para ajudar a impulsionar o episódio nas buscas,
36500	38460	tenho certeza que você vai amar.
39180	42540	Episódio de hoje, as Orquisas e a Copa do Mundo.
43480	47780	Com as madrinhas, Juleiva, Fabi Belo e Sinara.
48380	54380	As três não têm um projeto próprio, mas eu com muito orgulho posso dizer que as três são do RP Guaxa.
54380	55380	Elas ajudam lá no Instagram.
56480	58020	Ajudam em um milhão de coisas.
58380	62000	E ajudam emprestando seu carisma pra este episódio.
62440	67320	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiás.
67760	72000	Nele, cada jogador possui um único atributo que vai de 2 a 5.
72680	75640	Quanto maior o atributo, mais atlético é o personagem.
76200	78380	Quanto menor, mais inteligente e carismático.
79720	83800	Sempre que um jogador faz algo com uma chance de errar, joga dois dados.
84380	85380	E precisa tirar seu atributo.
85520	88800	Seu atributo, ou menos, para ataques ou ações físicas.
89120	93580	E seu atributo, ou mais, para ações intelectuais ou sociais.
94180	98600	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
99020	102340	Se a jogada for difícil, joga um dado a menos.
102860	108420	Eu sou um Goblin e vim aqui pra dizer que a minha raça não é sempre malvada.
108420	115420	E que alguns de nós, ou na verdade a nossa maioria, somos bons, amigáveis e também respeitados.
115520	120200	E aqui na taberna, a gente consegue encontrar tudo isso.
120680	129420	Aqui é o cantinho mais inclusivo, mais gostosinho e mais animado de toda a internet RPGística do Brasil.
129940	133520	Venha você também ser padrinho do RPGuacha.
134200	137060	Não deixe de seguir nas redes sociais, arroba marceloguaxinim, arroba RPGuacha,
137140	138100	tanto no Twitter quanto no Instagram.
138380	141560	Considere também nos apoiar no PicPay ou no Padrim e boa aventura.
145520	153940	Se inscreva no nosso canal e ative o sininho para receber notificações de novos vídeos.
153940	154020	Até a próxima.
158100	160380	Sete realidades paralelas.
160860	163280	Uma infinidade de possibilidades.
164000	166660	Três jogadores e um guaxinim.
167640	172940	Já estão todos no campo e aguardando o apito para o início a mais uma aventura.
175520	177420	Cinco.
179340	180420	Quatro.
182140	183300	Três.
185260	186060	Dois.
