start	end	text
0	8640	Os comprimidos são pra minha filha, alegou Margaret, ao ser presa tentando passar a fronteira
8640	12220	cheia de remédios para dormir, remédios roubados de um hospital.
12620	16400	Nos registros de Margaret, nunca existiu passagem pela polícia.
16720	19420	Nos registros de Margaret, nunca existiu uma filha.
19720	21180	Qual será a verdade dessa história?
21720	25120	Seria esse o primeiro crime de Margaret e sua primeira mentira?
25480	26680	Ou ela estaria falando a verdade?
27060	28540	É o que as jogadoras vão tentar descobrir.
28540	31160	Episódio de hoje, Casa de Boneca.
31420	35420	Com a convidada ilustríssima lá do Caquitas Podcast, Paula.
35940	41720	E com as madrinhas do RPG Guaxa, Shelly, que também faz parte do RPG Next, do Podice e do Contino.
42060	44080	E a Amanda, do Projeto Drama.
44440	49260	Esse episódio é um oferecimento da Cambly, C-A-M-B-L-Y.
49620	54080	Pra quem não sabe o que é a Cambly, é uma plataforma de aulas particulares de inglês.
54080	56760	Tudo baseado na conversação com nativos.
57060	58080	Ele funciona on-demand.
58780	60740	Ou seja, na hora que você quiser.
61120	62240	Chegou no site, escolhe o professor.
62680	63860	Começa a conversar com ele.
64200	65460	E aprender inglês.
65760	67240	A exercitar conversação.
67580	68840	A tirar suas dúvidas.
69020	73080	Usando o código do RPG Guaxa, tu ganha uma aula grátis.
73920	75040	RPG Guaxa.
75320	79260	Então você vai ter não só uma aula de inglês com um nativo.
79560	83500	Como também sotaques e até alguns trejeitos de fala que aquele lugar tem.
83500	84920	Porque você escolhe o professor.
85340	86420	Se quer que ele seja americano.
86680	88060	Que ele tenha um sotaque mais neutro.
88160	88500	Um sotaque europeu.
88540	90540	Um sotaque mais britânico.
90540	93540	As minhas aulas no Cambly eu tenho feito com sotaques britânicos.
93540	96540	Porque o primeiro que eu entrei foi aleatório britânico.
96540	98540	E eu acabei tentando focar nisso.
98540	100540	Mas tu pode escolher quem quiser.
100540	101540	Pode ser australiano.
101540	103540	Tu tá sonhando em ir pra Austrália quando tudo isso passar.
103540	104540	Pra Nova Zelândia.
104540	107540	Que se provou um pequeno paraíso.
107540	109540	Um pedacinho da Terra Média no mundo real.
109540	110540	Então tu pode ir lá.
110540	111540	Tu vai aprendendo inglês.
111540	113540	O RPG quando eu era jovem.
113540	116540	A gente aprendia inglês porque os livros vinham pro Brasil em inglês.
116540	117540	E a gente aprendia na marra com os livros.
117540	117900	E a gente aprendia na marra com os livros.
117900	118900	E a gente aprendia na marra com os livros.
118900	119900	Com base em dicionário.
119900	120900	E sofrendo bastante.
120900	121900	Hoje tu tem a facilidade.
121900	125900	Ainda mais em tempos que muita gente tá em casa.
125900	126900	A qualquer momento.
126900	127900	Tu vai lá.
127900	128900	Tira a tua aulinha.
128900	129900	Conversa com o professor.
129900	130900	E aprende.
130900	131900	Usando o meu código.
131900	132900	Tu mostra pra Cambly.
132900	133900	O povo do RPG gosta.
133900	134900	É engajado.
134900	135900	Usa o nosso código.
135900	137900	Ou clica pelo link que tá aqui no post.
137900	138900	Vai lá.
138900	139900	Aprende inglês.
139900	141900	Ajuda esse projeto que você ama.
141900	142900	Ajuda a sua vida.
142900	143900	Trazendo um novo idioma.
143900	145900	Pra você que não conhece.
145900	146900	E ajudando a melhorar.
146900	147900	E ajudando a melhorar.
147900	148900	Pra quem já conhece.
148900	149900	Funciona o computador.
149900	150900	Funciona o aplicativo.
150900	151900	A qualquer hora.
151900	153900	Tu pode agendar com um professor específico.
153900	154900	Tu pode entrar lá.
154900	157900	E escolher um dos professores que estão online.
157900	158900	24 horas por dia.
158900	159900	Procurando direitinho.
159900	161900	Tem professores que falam português também.
161900	162900	Vai lá.
162900	163900	Uma aula grátis.
163900	164900	Só de usar o código.
164900	165900	Diz pra mim.
