start	end	text
0	5620	Muitas amizades surgiram durante as grandes guerras.
5860	9220	Homens e mulheres em uma terra distante lutando em uma situação limite
9220	11500	acabam por muitas vezes unir pequenos grupos.
12180	13920	A maioria dessas amizades dura muito pouco.
14620	16660	Uma guerra não é o palco das histórias felizes.
17380	20540	Embora os vencedores escolham o que história vão contar ao mundo,
20920	23120	também são eles que precisam escolher o que vão esconder.
24220	28120	As pessoas querem fotos de beijos apaixonados no Times Square
28120	32600	e idosos com roupas engraçadas contando histórias de superação aos jovens.
33240	34660	Ninguém quer saber como foi o beijo
34660	38680	ou o que esses velhinhos simpáticos escondem em seus porões.
39360	40740	E é sobre isso o episódio de hoje.
41260	44060	Não sobre beijos apaixonados, ainda não,
44460	46780	mas sobre idosos e seus segredos.
47880	50700	Episódio de hoje, Jujubas de Ferro.
51640	55280	Com as madrinhas, Rebelbia, Rafa Malachensky
55280	57960	e com a Dani, a Senhora Doces.
58120	61680	A Dani faz parte de um grupo de escoteiros lá do Rio Grande do Norte.
62060	65000	E eles, até o sábado, dia 10 do 12, sábado agora,
65180	67740	estão arrecadando alimentos não perecíveis para um projeto
67740	70300	que ajuda moradores de rua e famílias carente.
70480	72780	Então, se quiser deixar o Natal de alguém um pouquinho melhor,
73060	78340	podem procurar por ela no Instagram, no grupo Geman64.
78640	82400	G-E-M-A-N-6-4
82400	85560	Ou, quem é padrinho, pode chamar ela lá na taberna.
85560	87680	Fala um pouquinho melhor no Escudo Mestre.
88120	90140	O Realidades Paralelas do Guaxinim
90140	92680	usa o sistema Guaxinim de Gambiarras.
93280	96380	Nele, cada jogador possui apenas um único atributo,
96660	97940	que vai de 2 a 5.
98540	101600	Quanto maior o atributo, mais atlético é o personagem.
102160	104440	Quanto menor, mais inteligente e carismático.
105080	107480	Sempre que o jogador faz algo com uma chance de errar,
108040	110820	joga dois dados e precisa tirar seu atributo ou menos
110820	112700	para ataques e ações físicas
112700	116240	e seu atributo ou mais para ações intelectuais ou sociais.
116560	118080	Se a jogada for fácil,
118120	119780	ou tiver algum auxílio,
119780	121200	joga um dado a mais.
121200	122760	Se a jogada for difícil,
122760	124200	rola-se um dado a menos.
124200	125400	Eu sou o Peu,
125400	127160	e sou padrinho do RPG Guaxa,
127160	130560	porque eu voltei a jogar RPG depois de 15 anos
130560	133840	e entrei no mundo dos podcasts
133840	135680	por causa do RPG Guaxa.
135680	136960	Não deixe de seguir nas redes sociais
136960	138760	arroba marceloguaxinim arroba rpguxa
138760	140760	tanto no Twitter quanto no Instagram.
140760	143880	Considere também se tornar apoiador desse projeto
143880	146200	lá pelo PicPay ou pelo Padrim.
146200	148000	Dá para assinar pelo Orelo também.
148120	151200	A partir de 10 reais você faz parte de um grupo maravilhoso.
151200	154000	Eu explico ele melhor lá no Escudo do Mestre.
154000	155280	Boa aventura.
155280	165280	Abertura
178120	180000	Ignorem o faraó.
180000	183600	O nosso destino, a próxima aventura.
183600	187080	Abertura
187080	188000	Cinco.
188000	190360	Cinco.
190360	191160	Quatro.
191160	193000	Quatro.
193000	194120	Três.
194120	195880	Três.
195880	197160	Dois.
197160	200760	Três.
200760	202160	RPG.
202160	204160	Realidades paralelas do Guaxinim.
204160	207040	Sua aventura de bolso na forma de podcast.
207040	208080	Sua aventura de bolso na forma de podcast. Uma jornada completa,
208080	210080	a cada episódio.
210080	215000	Abertura
215000	223000	Abertura
223000	227720	Pouco se sabe sobre o destacamento de Iron Jelly Beans.
227720	229440	Os Jujubas de Ferro.
229440	232760	O esquadrão especial formado no final da Segunda Guerra Mundial
232760	236240	com os oito mais experientes soldados das Nações Aliadas.
236240	238040	Todos os arquivos sobre o grupo foram
238040	239040	construídos.
239040	241320	Após a Segunda Grande Guerra.
241320	246960	E o pouco que restou fala sobre uma missão e uma mansão além das linhas inimigas.
246960	251360	Uma missão impossível e um local que, se não fosse destruído, poderia ter dado um
251360	256320	rumo diferente ao dia D e, consequentemente, ao fim da Segunda Guerra.
256320	262040	Os Jujubas de Ferro não se conheciam antes da missão e receberam codinomes de cores
262040	263400	naquele dia.
263400	267160	Branco, vermelho, laranja, amarelo, verde, azul, anil e violeta.
267160	272960	Oito bravos soldados que, após a guerra, foram morar nos Estados Unidos da América
272960	274520	e lá formaram família.
274520	277440	Uma família que não sabe nada daquele dia.
277440	282960	Sabe apenas que seu patriarca ou matriarca, laranja e violeta, eram mulheres.
282960	290320	Ganhou muito dinheiro depois da guerra e, às vezes, esses companheiros se reencontram.
290320	295160	Estamos em dezembro de 1989, na semana do Natal.
295160	296160	O avô ou avó.
296160	297160	O avô ou avó.
297160	327120	Os três encontros, seu avô ou avó, voltou meio bêbado para casa no dia seguinte e nada
327120	328480	falou sobre o que aconteceu.
329140	331320	Mas ele voltou. Só que dessa vez
331320	333260	foi diferente. Ele não voltou
333260	334540	e o Natal se aproxima.
334900	337200	As famílias estão ocupadas em preparar a ceia,
337760	339240	mas alguém tem que procurar esse idoso.
339940	341000	Ninguém está muito
341000	343020	preocupado, porque sabe que vaso ruim
343020	345100	não quebra tão fácil. Mas ainda
345100	346840	assim, ele ou ela
346840	348900	precisa estar em casa pro Natal.
349620	350460	Essa é a tradição.
350960	353220	Os personagens jogadores não se conhecem.
353220	354780	Os Jujubas de Ferro
354780	357260	não se encontram fora dessa reunião
357260	359580	deles e nunca levaram a família.
360040	361480	Nem avisam onde vão.
361700	363520	Antes de continuar, vamos conhecer
363520	364400	nossos jogadores.
365120	366980	Os descendentes desses
366980	369140	Jujubas de Ferro. Dani, fala
369140	370980	sobre esse personagem, aparência e atributo.
371240	373540	Bem, dessa vez eu vou ser a Clara.
373920	375220	Uma jovem adulta de
375220	377220	20 anos, pele clara,
377420	379140	cabelos negros, cacheados.
379780	381280	Normalmente está com calça
381280	383660	social e uma camisa de botões coloridas.
383660	385700	Ela raramente usa vestido,
385840	387700	só usa quando a mãe insiste muito.
387900	389620	Ela cresceu escutando
389620	391580	as histórias da avó, Clarice,
391880	393960	que foi enfermeira na Segunda Guerra
393960	395500	Mundial. Falando
395500	397900	do quanto as mulheres
397900	399460	foram fortes,
399680	401600	contando histórias divertidas de como
401600	404220	roubar mantimentos para fazer uma ceia de Natal.
404760	405640	Ou até histórias
405640	407820	emocionantes de soldados que ela chegou
407820	409580	a salvar na Segunda Guerra Mundial.
409740	411660	Cada medalha que ela...
411660	413540	Ela sempre conta uma história,
413660	415680	e às vezes até uma história diferente
415680	417780	para a mesma medalha. Nunca sabendo
417780	419780	quais são as histórias reais e quais
419780	421660	são as histórias inventadas
421660	423520	pela avó. Entretanto, as histórias
423520	426040	sempre foram muito bem contadas.
426420	427780	Então, por esse motivo
427780	430100	e pela determinação
430100	431560	da avó, que a Clara
431560	433120	sempre cresceu escutando,
433500	435440	ela resolveu ser policial
435440	437140	na cidade que ela mora.
437740	439760	Entretanto, ela nunca é levada muito
439760	441960	a sério pelos colegas de trabalho
441960	443560	por ser a única mulher na delegacia.
443660	445920	Na realidade, o que ela deseja
445920	447380	ser é uma detetive
447380	449620	para desvendar grandes mistérios
449620	451640	e tudo mais. O atributo dela
451640	453600	vai ser 3. Perfeito.
453900	455680	Rebel Bia. A Bia, conta
455680	457720	pra gente como é que esse personagem aparece no atributo.
457780	459780	Oi, gente. Hoje eu vou jogar
459780	461640	com a Nancy Armstrong. Ela é
461640	463740	uma mulher de 24 anos,
464260	465800	pele clara, mas com marcas
465800	467540	de sol, cerca de
467540	469980	1,70m de altura, olhos azuis,
470120	471260	cabelos castanhos,
471260	473300	bem longos e cacheados.
473660	475600	Realmente está preso num rabo de cavalo
475600	477480	lateral. E o seu estilo
477480	479540	lembra um pouco, bastante,
480040	481820	o da Madonna dos anos 80.
482120	483660	Ela adora dançar e cantar,
484600	485800	assim como boa parte
485800	487660	da sua família, que trabalha com
487660	489800	música de diferentes formas e estilos.
490100	491540	A Nancy, ela está sempre
491540	493260	saindo com suas amigas, indo
493260	495600	nos shows dos artistas favoritos
495600	497780	e o que deixa os seus pais
497780	499420	um pouco bravos, às vezes,
499980	501640	porque sabem que se a Nancy saísse
501640	503640	um pouco menos e fosse mais dedicada,
503660	505660	ela seria uma grande artista também,
505660	507660	porque ela realmente canta bem,
507660	509660	ela dança bem e tal.
509660	511660	O vovô Peter não é uma exceção
511660	513660	nessa família de músicos,
513660	515660	só que ele acabou se tornando um militar
515660	517660	na época, pela necessidade,
517660	519660	e se orgulha muito disso.
519660	521660	Sempre contando as histórias envolvendo
521660	523660	a música e os lugares onde ele passou.
523660	525660	O seu sumiço acabou preocupando
525660	527660	um pouco ali a família, principalmente
527660	529660	a Nancy, que ela, quando estava
529660	531660	voltando de um show do Rick Astley, percebeu
531660	533660	que ele não tinha voltado ainda, né, pra casa,
533660	535660	e ela nem tomou a iniciativa
535660	537660	de ir procurar
537660	539660	o avô, que não retornou
539660	541660	desse encontro militar meio misterioso.
541660	543660	E o atributo dela é 4.
543660	545660	Perfeito, e estreando aqui no RP Guaxa,
545660	547660	Rafa, fala sobre o seu personagem
547660	549660	e a aparência do atributo. Hoje eu vou jogar com a
549660	551660	Alexa Parker. Ela é uma jornalista
551660	553660	de 26 anos, pele clara,
553660	555660	o cabelo louro curto. Ela tá
555660	557660	sempre vestida com blazer preto pra tentar
557660	559660	transparecer a seriedade que a profissão
559660	561660	dela exige. Ela é
561660	563660	muito próxima da sua família, principalmente
563660	565660	do seu avô, Benjamin,
565660	567660	que é um ex-piloto do exército americano,
567660	569660	que foi condecorado, e é
569660	571660	o grande orgulho da família. Ela
571660	573660	cresceu ouvindo as histórias sobre o período
573660	575660	de guerra, que fez com que ele se tornasse
575660	577660	um símbolo de coragem e honra
577660	579660	pra Alexa. Ela cursou jornalismo,
579660	581660	porque achou que seria uma forma de trazer
581660	583660	as injustiças à tona,
583660	585660	mas isso não saiu bem como ela
585660	587660	imaginava. Por isso, depois da
587660	589660	faculdade, ela passou a ser assistente
589660	591660	de Charles, que é um detetive particular
591660	593660	bem conhecido na cidade
593660	595660	dela, na esperança de se aproximar
595660	597660	do seu objetivo, mas o
597660	599660	Charles sempre envolve pouco ela nas
599660	601660	investigações, e deixando ela só com a parte
601660	603660	de papelada. Falou outro atributo?
603660	605660	Meu atributo é 3.
615660	617660	Então vocês foram escolhidos da
617660	619660	família, vocês não estavam ajudando muito
619660	621660	na ceia, ou a parte de vocês já tá
621660	623660	feita, ou até por ter experiência
623660	625660	na investigação. Vocês foram
625660	627660	incumbidos de, olha,
627660	629660	acha o idoso desta família
629660	631660	e traz de volta. Eu acho
631660	633660	que todas tem vinte e poucos anos, né?
633660	635660	Acho que ele é avô de todo mundo, não chega a ser
635660	637660	pai. Esse, isso mesmo.
637660	639660	Então esse avô,
639660	641660	ou avó de vocês,
641660	643660	que são diferentes, precisam ser
643660	645660	trazidos pra sede de
645660	647660	Natal. Vocês fizeram uma busca rápida,
647660	649660	a parte que vocês jogam sozinhas e
649660	651660	vamos pular, mas após uma busca
651660	653660	rápida na casa, no quarto,
653660	655660	desse idoso, talvez estava no lixo,
655660	657660	talvez ele deixou em cima da cama,
657660	659660	mas a única pista que cada uma
659660	661660	de vocês encontrou, foi a tal
661660	663660	carta que fez
663660	665660	ele se arrumar e sair.
665660	667660	A carta tinha um único papel,
667660	669660	com duas palavras escritas, que
669660	671660	era, vermelho abatido.
671660	673660	E uma cópia, um
673660	675660	xerox de um recorte
675660	677660	de jornal, não é um recorte de jornal,
677660	679660	alguém recortou o jornal, tirou uma cópia
679660	681660	e mandou pra
681660	683660	cada um dos idosos
683660	685660	citados. Esse
685660	687660	recorte de jornal é uma informação
687660	689660	pequeninha, é um obituário,
689660	691660	avisando que o veterano
691660	693660	da segunda guerra, Geoff
693660	695660	Wallace, havia falecido de causas
695660	697660	naturais, na praça
697660	699660	George Washington,
699660	701660	a nota também afirma que embora ele tenha morrido
701660	703660	quase do outro lado do país,
703660	705660	o enterro seria um pequeno cemitério
705660	707660	em Winterfield.
707660	709660	Toda a
709660	711660	informação que vocês têm é essa,
711660	713660	eu imagino que eventualmente,
713660	715660	vocês vão pegar um carro,
715660	717660	fica de uma
717660	719660	a três horas, dependendo de
719660	721660	cada uma de vocês, de onde
721660	723660	vocês estão, é uma cidadezinha no interior pequenininha,
723660	725660	eu imagino que todas vocês vão
725660	727660	até esse lugar, certo? Com certeza.
727660	729660	Sim, sim. Quem foi de
729660	731660	veículo próprio e quem foi
731660	733660	de táxi ou teve algum,
733660	735660	tem um
735660	737660	ônibus que vai pra aquela região
737660	739660	também, como é que cada uma de vocês foi?
739660	741660	A Nancy, ela
741660	743660	foi com o carro do pai,
743660	745660	que assim, entregou a chave
745660	747660	muito relutante. A Clara?
747660	749660	A Clara,
749660	751660	ela deu uma olhada ali
751660	753660	na garagem e pegou
753660	755660	a moto do irmão,
755660	757660	que não sabe que ela pegou a moto dele. Perfeito.
757660	759660	É uma emergência. Exatamente.
759660	761660	E a Alexa? A Alexa foi com
761660	763660	o carro próprio que ela usa pra trabalhar.
763660	765660	Perfeito. Clara então é a primeira a chegar,
765660	767660	por sinal de moto,
767660	769660	tu estaciona na frente
769660	771660	desse cemitério
771660	773660	ali. É um cemitério de cidades
773660	775660	pequena, não tem
775660	777660	ninguém, é só vários
777660	779660	túmulos pra todos os lados.
779660	781660	O que tu pretende fazer? Uma
781660	783660	pergunta. A gente tá de dia
783660	785660	ainda, né? De dia, sim. Então,
785660	787660	eu vou procurar talvez o
787660	789660	porteiro do cemitério.
789660	791660	Pergunto pra ele, onde é que vai ser habitado
791660	793660	o senhor Geoffrey Wilders?
793660	795660	Joga dois dados.
795660	797660	Tirou quanto?
797660	799660	Quatro e quatro. E o tributo é três.
