start	end	text
0	5460	A humanidade, quando surgiu, trouxe consigo muitas perguntas.
5660	6440	O que vamos comer?
6740	7760	Quando vamos comer?
8020	8640	Só meio-dia?
8960	11060	Por que meio-dia é 12 se eu tenho 10 dedos?
11940	13220	Onde vamos dormir?
13900	18020	Se eu criar uma estrutura redonda para pôr embaixo de coisas pesadas, facilitando assim
18020	20400	sua locomoção, será que rola?
21020	23480	O primeiro fora foi inventado nesse dia, inclusive.
24040	25500	O que existe depois da vida?
25900	26980	Existe um outro mundo?
27380	28260	Existe uma alma?
28260	30200	Existem fantasmas?
30400	32600	Muitas dessas perguntas continuam importantes até hoje.
32820	37360	Pois quatro adolescentes em uma escola à noite e eu me pergunto.
37680	38520	O que elas vão comer?
38860	40360	Será que conseguirão ver um fantasma?
40760	42540	São quatro adolescentes à noite na escola.
42960	44420	Será que alguma coisa rola?
45400	47600	Episódio de hoje, sem tempo.
48240	52960	Com a Ágata, aqui do RPGuacha, do Casa das Ágatas e do Egoacast.
53200	57600	Com a Naomi, lá do Contos Lúdicos, do Danocast e do Necronoc.
57600	61600	E com a Fernanda e a Tiane, lá do estúdio Pixelpunk.
61800	64460	Você já deve ter ouvido falar delas e do jogo Unsighted.
64560	66200	Por sinal, joga em Unsighted.
66380	69500	Eu vou falar mais do projeto dessas quatro lá no Escudo do Mestre.
69940	73820	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras.
74040	78320	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
78540	81140	Quanto maior o atributo, mais atlético é o personagem.
81380	83600	Quanto menor, mais inteligente e carismático.
83880	87300	Sempre que o jogador faz algo com uma chance de errar, joga dois dados.
87300	91160	E precisa tirar seu atributo ou menos para ataques e ações físicas.
91340	94480	E seu atributo ou mais para ações intelectuais e sociais.
94820	98260	Se a jogada for fácil, ou tiver algum auxílio, joga um dado a mais.
98560	101020	Se a jogada for difícil, rola-se um dado a menos.
101420	103500	Eu sou a Deba e sou madrinha do RPGuacha.
103720	107100	O melhor podcast de RPG de todas as Realidades Paralelas.
107440	108600	Não deixe de seguir nas redes sociais.
108720	110680	É o Marcelo Guaxinim, arroba RPGuacha.
111080	112800	Tanto no Twitter quanto no Instagram.
113060	115900	Considere também nos apoiar lá no PicPay ou no Padrim.
115900	116900	É só procurar por RPGuacha.
117300	120140	E você ajuda esses episódios a continuarem saindo.
128020	130200	Sete Realidades Paralelas.
130780	132360	Uma infinidade de possibilidades.
132940	134860	Três jogadores e um Guaxinim.
135680	138100	Um pequeno passo para um jogador de RPG.
138960	141580	Mas uma grande rolagem para o Panda do Lítio.
143660	144580	Cinco.
144580	145100	Três.
145420	146580	Quatro.
147360	147420	Quatro.
147880	149080	Te achei, achei.
149560	150200	Três!
151500	151820	É isso aqui.
152280	152920	Dois.
152920	153540	Três!
153820	154320	hoon.
157460	158800	RPG!
158800	160920	Realidades Paralelas do Guaxinim.
160920	163800	Sua aventura de bolso na forma de podcast.
163800	167440	Uma jornada completa a cada episódio.
167440	169520	www.renac��서.com.br
170820	174000	Rodrigo e eu...
174000	175280	... violentado...
175280	175940	Fui a coaching...
175940	176740	... ajudado...
176740	188040	A Escola Técnica Municipal de Bilabelo do Sul foi fundada em 2023
188040	191440	com uma forte influência no sistema de ensino norte-americano,
191920	198120	onde o aluno estuda das 8 às 15 e complementa seus estudos com clubes de atividades depois das aulas.
198340	201440	A escola possui várias opções de cursos técnicos,
201900	206360	sendo o principal deles o curso técnico de Física Aplicada, o único do Brasil na área,
206820	211860	além de cursos em áreas de tecnologia, o que acabou atraindo estudantes excêntricos de todo o país.
212160	216180	O sistema de clubes que complementam os estudos tem passado por uma grande reavaliação
216180	218740	e vários foram fechados por motivos adversos.
219000	220680	O clube de tênis, por ter apenas um membro,
221140	225860	o de RPG, por não conseguir explicar onde aquilo os ajudaria na sua formação, etc.
225860	230620	O próximo clube a ser fechado é o clube dos estudos sobrenaturais.
230980	235720	Afinal, em quase dois anos de clube, nada sobrenatural foi realmente estudado.
235720	240680	Alguns membros do clube, com medo de seu fim, acabaram desistindo, mas não todos.
241240	249500	Boatos de vultos e luzes piscando à noite no instituto podem ser a prova definitiva que o sobrenatural existe.
250080	255620	Afinal, antes de se tornar escola técnica, o local era uma escola regular, com suas lendas locais,
256180	259940	como o zelador que teria morrido de desgosto com a geração de crianças atual
259940	264160	e agora vaga à noite arrastando correntes, por mais que isso não faça muito sentido.
264160	265680	Ou a garota que nunca teve amigos.
265680	265700	Ou a garota que nunca teve amigos.
265700	269800	E agora pode ser invocada no espelho do banheiro.
270320	277480	Mas o fato é que o tempo está acabando, e essa noite talvez seja a última chance do clube provar seu valor.
278060	282880	Mas antes que a gente possa prosseguir, vamos conhecer as jogadoras e seus personagens.
283500	287500	Naomi, como é o nome do teu personagem, como é a aparência dele, o atributo?
287580	291520	Oi, a minha personagem é a Gustava, mas os amigos chamam ela de Ghost.
291520	295520	Ela é aficionada por assombrações, fantasmas, e ela já...
295700	297340	Já viu todos os filmes de terror que existem.
297640	304160	O atributo dela é 2, porque ela é uma nerd de fantasmas, e de filmes de terror, e de aparições, e de assombrações.
304760	310020	Ela é baixinha, ela tem um cabelo bem crespo, loiro, e ela tem um óculos enorme.
310200	315520	Ela é bem pitulada nos livros, e tá sempre animada demais com os hobbies dela.
315740	318240	Fernanda, fala sobre o teu personagem, a aparência, atributo.
318240	320360	Oi, eu sou a Fernanda.
320800	325240	A minha personagem, ela chama Kaoru, e ela é meio...
325700	329420	É jock, assim, ela é esportista, ela gosta muito de esportes e tudo mais.
329840	335940	E ela tá no clube meio que só porque era um crédito fácil dela ganhar, assim, de participação no clube.
336520	341000	Pra ela, era o clube que ia fazer menos coisa, porque ela acha que não tem fantasma mesmo.
341780	345460	E já que não tem fantasma, o clube de achar fantasma é o clube que não vai fazer nada.
345780	346160	Perfeito.
346160	352860	Ela é muito esportista, ela quer ser nadadora profissional, mas ela pratica vários outros esportes.
353020	355180	Ela faz musculação e tudo mais.
355180	356540	E por isso, o atributo dela é 5.
357500	358840	E ela não é muito esperta.
359320	363040	É mais um dos motivos pelo qual ela quer fazer parte de um clube que era fácil de participar.
363300	365180	Porque essa é uma escola bem...
365860	368080	Que as pessoas costumam ser muito espertas, mas ela não é.
368460	374760	Ela é esforçada, mas não é a mais nerd de todas.
375280	377540	Tiane, fala sobre o teu personagem, a aparência, atributo.
377560	378780	Oi, eu sou a Tiane.
379200	381740	O meu personagem, ele é o Kay Jr.
381740	384740	Ele é muito inspirado no personagem.
385180	387880	O personagem Asuka Jr. do mangá Saint Tail.
388060	392620	Eu acho que ninguém vai conhecer, mas é um anime barra mangá que eu gosto.
392800	397320	E como eu sou meio noob em RPG, eu tô baseando o meu personagem em um personagem que já existe.
397820	399200	Acho que pra ficar mais fácil, assim.
400560	401540	Mas, enfim.
402300	403260	Ele é o Kay Jr.
403420	406860	Ele é filho de um detetive muito famoso, que é o Kay Shiro.
407200	409880	E ele quer ser igual ao pai quando ele crescer.
409880	412340	E ele tá estudando muito pra ser um detetive também.
412660	414880	Ele é baixinho, ele não tem muita...
415180	420500	Muita força física, mas por conta do treinamento pra ser detetive, ele consegue dar uns corres.
421380	427600	E ele tem certeza que quem tá causando esses vultos e essas aparições na escola
427600	434360	são as próprias meninas do clube de estudos sobrenaturais, porque querem manter o clube vivo.
434560	437500	Então, pra provar essa hipótese e pra desvendar esse mistério,
437500	440780	ele se juntou ao clube e vai investigar o que tá acontecendo de noite.
441280	442340	Ele é um infiltrado.
442480	442640	É.
443040	444500	E aí, junto com ele, ele traz vários...
445180	447840	Gadgets de detetive que ele pega do pai dele.
447940	449200	Ele é muito filhinho de papai.
449760	454520	É o tipo de gente que ia ser muito insuportável na vida real, mas ele é meio fofinho.
454640	457580	Então, como é um nome de ficção, dá pra um personagem assim ser fofinho.
457880	459640	E o atributo dele é 3, né?
460060	461380	É 3, porque é aquilo.
461560	466280	Ele não é muito bom fisicamente, mas como ele teve um treinamento ali de detetive,
466460	468640	ele conseguiu subir um ponto aí.
468640	470200	A Kaora é os músculos do grupo.
470660	471640	Por enquanto, né?
471680	473020	Vamos conhecer outro personagem.
473300	475140	Ele tem os gadgets que podem ajudar.
475180	476440	Vamos falar um pouco dessa parte também.
476640	480780	E Ágata, a nossa veterana, fala sobre seu personagem e a aparência e atributo.
480900	481080	Oi.
481440	484700	A Kaora realmente é o músculo do grupo.
485280	487060	O nome da minha personagem é Artemis.
487520	489420	Ela acabou de se mudar pra essa escola.
489540	490920	Faz poucos dias que ela tá ali.
491560	492820	Ela é muito tímida.
492920	497000	Ela é baixinha, gordinha, tem cabelo encaracolado, vermelho, usa óculos.
497720	500500	E ela é muito tímida e não consegue fazer muitos amigos.
501240	504180	Então, ela viu o grupo Sobrenatural.
504180	505160	Ela também.
505180	508980	Então, ela acredita no Sobrenatural, como os outros dois.
509800	511960	E ela resolveu, aqui que eu vou fazer amigos.
512460	513120	E ela foi.
513460	517580	Ela tá indo agora, na primeira noite, pra encontrar as pessoas, pra entrar no grupo.
518120	519380	E ela gosta muito de cozinhar.
519480	520480	Ela tá levando uns bolinhos.
521260	522620	E o atributo dela é dois.
522960	524260	Ela também não é muito física.
524560	524760	Ah, tá.
524840	525420	Tu ainda não...
525420	527360	Tu vai entrar no grupo hoje, especificamente.
527400	527880	Hoje é ano...
527880	530980	É tipo, eu falei pros professores, eu vou entrar nesse grupo.
531460	532520	Mas eu vou encontrar eles hoje.
532520	534560	Tá, tudo bem transferido, então.
534860	535160	Perfeito.
535340	535740	Perfeito.
536120	542160	Eu deixei por último, porque como tu grava um milhão de episódios, pra não influenciar as outras na hora de explicar.
542620	543020	Mas, ok.
543320	545420	Eu não cheguei a falar da aparência da minha personagem.
545660	546080	Por favor.
546500	549280	A Kaoru, ela é alta, ela é bem forte.
549620	552300	Ela tem o cabelo, o buzzcut, do lado, assim.
553340	556940	Que ela usa meio pra frente, assim, meio bagunçado, sempre.
557680	561880	E ela tá sempre mostrando a barriga, que é muito musculosa dela.
561880	565140	Então, os abs aí, o six-pack dela.
565180	567880	Que ela demorou muito tempo pra conseguir.
568400	571440	E já que ela demorou, ela se esforçou, ela vai mostrar.
584240	588960	Ghosty, Key Jr. e Kaoru estão ali no refeitório, né.
589460	591660	O instituto já tá fechado.
591660	593660	Como é que vocês entraram no...
594300	594660	Assim...
595180	596680	Vocês roubaram a chave de alguém?
597020	598560	Algum professor facilitou?
598560	599320	Vocês têm algum esquema?
599580	601200	Porque não era pra ter ninguém ali à noite.
601200	604960	Por isso que os voltos e luzes são estranhos de quem vê de fora.
605380	606760	Como é que vocês conseguiram entrar?
607200	608440	Vamos definir isso.
608660	612680	Eu usei uma caneta que eu tenho, que consegue destravar qualquer porta.
612680	615980	Ela parece uma caneta normal de estudante, mas ela destrava qualquer porta.
616300	621320	Enquanto o Key Jr. destravava a porta, a Kaoru pulou o muro.
621620	624260	Durante esse processo de destravar a porta,
624260	624360	Durante esse processo de destravar a porta,
624360	624400	Durante esse processo de destravar a porta,
624400	625780	ela achou que tava demorando demais e falou assim,
625780	625800	ela achou que tava demorando demais e falou assim,
625800	626600	não, vou só pular mesmo.
626940	627840	Perfeito, perfeito.
627860	629240	A Ghost só passou pela porta.
