start	end	text
0	16680	Sim, meus amigos, o episódio de hoje é um episódio extra, graças a nossa maravilhosa
16680	24580	Fanta, temos não um, não dois, mas três episódios extras no seu feed, além do episódio
24580	29480	de hoje, outro episódio na sexta-feira e mais um na semana que vem, mas aí você se
29480	31220	pergunta, por que isso?
31780	37380	A Fanta, como você sabe, sempre esteve junto da gente que curte jogos, em especial os jogos
37380	43260	cooperativos, e tem jogo mais cooperativo que o RPG, além do RPG Guaxa, a Fanta também
43260	49760	é o refrigerante oficial da CSSP Worlds 2021, que este ano será online, é a sua chance
49760	54360	e em qualquer lugar do mundo que você esteja, para poder participar dessa festa, o famoso
54360	59460	carnaval dos nerds, o ingresso é gratuito, existem versões pagas com suas vantagens,
59480	64600	pode conferir lá no site, se achar necessário, mas com a versão gratuita, você vai lá,
64600	68620	coloca seu nome, seu e-mail, você pode fazer parte de várias atividades que vão acontecer
68620	76000	na CSSP, incluindo a Tribu Game Arena by Fanta, que vai ter muito CSGO no dia 4 e 5, com a
76000	82180	presença do maior streamer de CSGO, que é o Gaules, vão ter quadros inéditos, brincadeiras
82180	87780	e muito jogo, então você pode curtir o RPG Guaxa de hoje, o RPG Guaxa de sexta, e a Tribu
87780	95120	Game Arena by Fanta, lá na CSSP, no sábado e no domingo, nos dias 4 e 5 de dezembro agora.
95360	100060	Acompanhe também o Instagram da Fanta, que é barrafantabrasil, e o Twitter, que é o
100060	104800	barrafanta__br, eu vou deixar os links aqui no post, para que você possa curtir todo
104800	108280	esse conteúdo especial que a Fanta está preparando para este final de semana, e também
108280	114800	para poder ir lá e agradecer este apoio maravilhoso, afinal, se não fosse a Fanta, teremos dois
114800	116360	episódios em dezembro.
116540	117280	E agora, teremos...
117780	118480	Cinco.
119100	122280	Episódio de hoje, as bolachas de Natal, uma aventura Fanta.
122680	127420	Com a Ju, a Juliana, nossa querida madrinha aqui do RPG Guaxa, com o Filipe Xavier, além
127420	131340	de padrinho do RPG Guaxa, ele faz parte do Arquivos da Patrulha, e ele tem joguinhos
131340	134000	lá na Dungeon List, que eu vou falar lá no Escudo do Mestre.
134160	138980	E com a Mel, que é nossa madrinha, e faz parte do Projeto Drama e do Nossa Poesia.
139660	143860	É, tá legal, pera, vamos com calma, nunca me deram uma coisa assim pra ler, mas vamos
143860	144040	lá.
144420	147420	O Realidade Paralelas do Guaxininhos ao Sistema Guaxininhos.
147780	149000	Guaxinins e gambiarras.
149540	153820	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
154180	156720	Quanto maior o atributo, mais atlético é o personagem.
157380	159920	Quanto menor, mais inteligente e carismático.
160340	164060	O que me leva a pensar, o Paper não é nem atlético, e nem carismático.
164520	168320	Então, ele deve ter 3, eu não sei, mas eu acho que é isso.
168920	171080	A Loreane, por exemplo, é da carismática.
171680	173620	O Paper, é, o Paper é isso.
174000	175420	É, mas vamos lá, continuando.
175880	177760	Sempre que o jogador faz algo com mais carisma...
177780	183820	A chance de errar, ele joga 2 dados, e precisa tirar seu atributo ou menos para ataques e
183820	188140	ações físicas, e seu atributo ou mais para ações intelectuais ou sociais.
188680	193080	Se a jogada for fácil, ou se tiver algum auxílio, joga 1 dado a mais.
193480	196660	E se a jogada for difícil, rola 1 dado a menos.
197260	203780	Eu sou o Dica Seu Nome, e sou padrinho barra madrinha do RP Guaxa, porque diga porquê.
204840	205320	Era assim?
205320	206920	Não deixe de seguir nas redes sociais.
207780	210240	Tem arroba RP Guaxa, tanto no Twitter, quanto no Instagram.
210560	214960	Já que você está aí nas redes sociais para seguir a gente, aproveita e agradece a Fanta Brasil
214960	218300	por este episódio extra no seu feed.
230720	232640	Aí, vocês estão na taverna.
233120	233740	Rola os dados.
234800	236340	Bola de fogo!
236340	237340	Chama o clube!
237340	237760	Chama o clube!
237780	240060	Chama o clube!
241260	242560	Como assim eu morri?
243480	244780	Rola a iniciativa.
245620	248020	Então, não tem armadilha.
248300	248920	Podemos ir.
249640	250820	O que vocês fazem?
252200	252900	Tá, tá.
253120	256240	Eu amarro uma corda nelas e uso como arma.
256620	257480	Eu ataco.
257880	261840	O Magro lança seu Thunderbolt mais 15 no Upholder.
261860	264140	E eu quero rolar a percepção, posso?
265140	266540	Tem algum lugar para se esconder?
266540	267360	Ah.
267780	269780	Falha a crítica.
269780	271080	Ataque de impunidade!
271080	272080	Ei, Romano!
272080	274080	Chama o clínico!
275800	279940	RPG Realidades Paralelas do Guaxinim.
279940	282940	Sua aventura de bolso na forma de podcast.
282940	285940	Uma jornada completa a cada episódio.
285940	287940	Ainda não é o momento de se despedir.
287940	289940	Ainda não é o momento de se despedir.
289940	291940	Ainda não é o momento de se despedir.
291940	293940	Ainda não é o momento de se despedir.
293940	295940	Ainda não é o momento de se despedir.
295940	297100	Ainda não é o momento de se despedir.
297100	299120	V inteligente.
299120	301040	Fica vendo...
301160	303900	Em uma pequena cidade no interior de Santa Catarina,
303900	307940	a Perfeita Shirley Mueller está muito atarefada,
307940	310700	pois precisa cuidar de suas duas filhas,
310700	315780	de seu sobrinho e de uma cidade com aproximadamente 6.000 habitantes.
316000	319220	Tudo tem que estar lindo para a decoração de Natal,
319220	323880	pois à cidade se orgulha de ser a 49ª cidade mais natalina do mundo.
324200	326580	O Natal fraco poderia tornar inviável
326580	328760	a sua reeleição. Mas é claro
328760	331040	que seus filhos não são de todo problema.
331320	332600	Eles ajudam muito a sua mãe
332600	334700	e hoje vão buscar os
334700	336760	biscoitos para a tradicional competição
336760	339040	de melhor bolacha de Natal.
339420	340760	Antes de continuar, vamos
340760	342740	conhecer essas crianças. Primeiro as
342740	344660	filhas. Mel fala sobre seu personagem
344660	345440	e a aparência da tribo.
356580	358540	Ela é bem brincalhona, assim, apesar da idade
358540	360380	e gosta muito de passar o tempo com
360380	362560	a irmã dela. Ela sente que tem
362560	364920	que começar, assim, ser mais responsável
364920	366460	e tal, mas ela não
366460	368140	perde a inocência dela.
368640	370700	Ela gosta muito de ler, muito,
370780	372560	muito mesmo, e ela se orgulha de falar
372560	374760	que ela já leu 20 livros
374760	376440	inteirinhos.
377140	378580	Ela passou recentemente por aquele
378580	380460	estirão de altura que todo
380460	382320	adolescente, pré-adolescente tem,
382720	384680	então ela ainda tá meio desengonçada.
385460	386420	O atributo
386420	388360	é 2. Perfeito.
388820	390820	E tem a irmã dela, que vai ser interpretada
390820	392580	pela Ju. Ju fala sobre
392580	394640	o personagem, a aparência da tribo. Oi, gente.
395140	397080	Eu vou jogar com a Letícia,
397440	398740	ou como ela gosta de ser
398740	400780	chamada, Lê. O atributo
400780	402600	da Lê é o 4. Vou falar
402600	404460	como a personagem agora. Eu tenho
404460	406540	9 anos, a altura
406540	408180	é normal pra minha idade,
408540	410040	o cabelo é castanho longo,
410540	412840	nem gorda e nem magra. Impulsiva,
413420	414540	gosto muito de
414540	416320	desenhar e de brincar de escalar.
416420	418240	Se ninguém mandar eu botar sapato,
418680	419920	costumo ficar descalça.
420140	422060	Eu circulo por aí com giz de cera
422060	424400	e com canetinhas nos bolsos do meu short.
424740	426100	Quando a mamãe deixa,
426560	428600	a gente também brinca de fazer receitinha
428600	430280	na cozinha, mas sem
430280	432380	forno e fogão, porque eu ainda não sou tão
432380	434020	grande. Atributo 4.
434360	436320	Perfeito. E vindo da cidade grande, já
436320	438240	aprovado de ano, ele veio passar
438240	440300	as férias, né, já estamos
440300	442400	em dezembro, temos o primo da cidade
442400	444140	que vai ser interpretado pelo Felipe. Felipe,
444140	445820	sobre o seu personagem, a aparência, atributo?
446420	448340	Pessoas, eu vou estar
448340	450280	interpretando o Heitor, ele tem
450280	452540	atributo 5. Heitor tem
452540	454200	10 anos, tem um cabelo preto,
454300	455920	encaracolado até o pescoço.
456240	458140	Como já dito, Heitor é da cidade grande, né,
458420	460600	e ele conta, entre aspas, os dias
460600	462420	pra dar as férias, pra ele poder visitar
462420	464660	a adinha dele. Porque assim, na cidade pequena,
465000	466440	você pode imaginar que ele
466440	468360	não vai gostar tanto, que ele é da cidade grande,
468720	470300	mas ele ama quando vai
470300	472200	de férias, porque ele brinca com as primas.
472200	473840	O Heitor é uma criança elétrica, assim,
473900	476160	meio arteira. Ele ama subir em árvore, correr
