start	end	text
0	11140	Esse episódio todo surgiu num guachaverso, que pra quem não sabe é a nossa leitura de comentários, né, e não o mundo interligado.
11680	22240	E lá eu estava com o meu amigo, primeiro cavaleiro da podosfera, Rodrigo Basso, e falamos de o quão incrível eram os filmes do John Wick.
22240	31040	Em algum momento, citamos pecados e como eu gostava de brincar com histórias bíblicas.
31400	33940	E é sobre isso o episódio de hoje.
34680	39340	É sobre um grupo de assassinos e seus pecados.
42180	45440	Episódio de hoje, A Ordem do Primeiro Filho.
49740	51900	Olá, eu sou Marcelo Guaxinim, sou guacha.
51900	54000	Neste episódio estou aqui com...
54000	60580	Oi, eu sou a Sara, e vocês podem me encontrar no Instagram, como Sara Barbosa P.
60820	67160	E também podem me encontrar na Taberna Guaxinim, com o arroba Oi Amigos.
67420	74040	Olá, eu sou o Caio Lourencio, e vocês podem me encontrar nas redes sociais, em algumas delas, como Caio Lourencio.
74520	78560	E principalmente na Taberna do Guaxinim, ali no grupo de jogos e no grupo de anime.
78560	81560	E eu sou o Basso, vocês podem me encontrar no...
81900	87300	Twitter, em arroba Senhor Basso, e no site do Leitor Cabuloso.
88820	94280	O Realidades Paralelas do Guaxinim, usa o sistema Guaxinins e Gambiarras.
94840	100160	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
100980	104080	Quanto maior o atributo, mais atlético é o personagem.
104720	107380	Quanto menor, mais inteligente e carismático.
107860	111040	Sempre que o jogador faz algo com uma chance de errar,
111900	117500	ele tem dois dados, e precisa tirar o seu atributo, ou menos, para ataques e ações físicas,
117500	121500	e seu atributo, ou mais, para ações intelectuais ou sociais.
122500	126500	Se a jogada for fácil, ou tiver algum auxílio, joga um dado a mais.
126500	129500	Se a jogada for difícil, rola-se um dado a menos.
130500	135500	Eu sou a Bia, também conhecida como Bia Rebelde, e sou madrinha do RP Guaxinim,
135500	139500	porque além do Guaxinim merecer todo o apoio para esse projeto incrível,
139500	141500	a Taberna é o melhor lugar para isso.
141900	143900	Você pode assistir a qualquer momento do dia.
171900	174900	Outra vez Congratulations no Youtube.
175740	180780	7 realidades paralelas, uma infinidade de possibilidades,
180780	184220	3 jogadores e um Guaxinim.
184980	187360	É um prazer ter vocês por aqui.
187780	191180	Queremos todos batendo as mãos para a próxima música
191180	193100	av.
194220	195100	5
197320	198320	4
200020	201020	3
201900	210940	R.P.G. Realidades Paralelas do Guaxinim
210940	213700	Sua aventura de bolso na forma de podcast
213700	216620	Uma jornada completa a cada episódio
231900	237200	Caim, o primeiro filho de Adão, matou o próprio irmão e foi marcado por seu pecado
