start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaixaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaixa sabe o que faz!
20020	20960	Espera, o que é o Guaixaverso?
21000	22980	Era só uma questão de tempo.
23080	23460	Todos vão conhecer o Guaixaverso!
23460	24520	O Guaixaverso sempre existiu!
24520	27140	Eu quero entender o Guaixaverso!
27220	28560	Alguém me explica o que é o Guaixaverso?
28560	32020	É, pessoal, não existe o Guaixaverso.
32100	33720	Eu acredito no Guaixaverso!
33760	36560	Mas supondo que ele exista...
37880	41540	Guaixaverso, onde o que não existe é debatido.
45220	49060	Isso, amor! Toca aí pros ouvintes aí, enquanto eu arrumo.
58560	60140	Pega o chapéu aqui pra mim.
61340	64000	Não, senhora, não, senhora. Por que você tá fazendo isso?
64320	67900	Eu ia colocar o chapéu pra eles colocarem moedas.
70340	71380	Mas agora já foi.
72040	78400	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast do Realidade Paralelo Guaxinim e saudades férias.
78400	81140	Pra quem não sabe, o Guaixaverso é o nosso antigo escudo-mestre.
81240	88320	Aqui vamos ler os comentários e discutir as teorias do último episódio, que no caso foi o RPG Guaxa 114, o Som da Escuridão.
88560	94100	Esse Guaixaverso tá bem atrasado, porque como eu falei ali em cima, eu estava de férias e foi férias total mesmo.
94180	95820	Não gravei podcast, não editei, não fiz nada.
95940	101060	Na verdade, eu gravei esse episódio na sexta-feira e tive que gravar o Missangas na quinta-feira.
101180	104600	Mas foram as últimas exceções que eu abri durante as minhas férias.
104800	106720	Então deu atrasadinho, espero que entendam.
106900	109880	Quer ajudar esse projeto a crescer cada vez mais?
110300	111620	A ter mais episódios extras?
111920	112560	Pagar o editor?
112800	116300	Pagar os custos envolvidos em lançar um podcast gratuito pra você?
116560	118160	Daí você paga e ele continua gratuito.
118240	118380	O que é gratuito?
118380	118540	O que é gratuito?
118540	120340	O que é gratuito e que você pode ajudar?
120580	124560	Seja nosso padrinho lá pelo PicPay ou pelo padrinho que procura o RPG Guaxa.
124740	126020	A partir de um real você está ajudando muito.
126240	129420	A partir das 10h você faz parte de um grupo do Telegram maravilhoso, cheio de gente,
129620	134060	pra você trocar uma ideia, pra receber o episódio antes, pra gravar a voz de NPC.
134440	137680	Então pense com carinho em ser nosso padrinho e em breve, novidades.
138280	140780	Não deixe de seguir nas redes sociais, arroba o Marcelo Lachaninho, arroba RPG Guaxa,
140820	142080	isso é muito importante, gente.
142160	142760	Segue a gente lá.
142920	148260	E segue também na twitch.tv barra RPG Guaxa, onde esta leitura foi gravada com a participação
148260	148520	da internet.
148520	153940	Incrível, Carol, que jogou o episódio e aguentou 3 horas de live comigo lendo comentários.
154260	158660	Então vamos, sem enrolação direta, ouvir como é que foi nossa gravação lá pela
158660	159040	Twitch.
159560	166340	Estamos aqui pra ler os comentários do RPG Guaxa 114, O Som da Escuridão.
166480	169700	Eu queria ter um título melhor, eu não consegui pensar em um título melhor e ficou esse título
169700	172080	que, sei lá, eu tô me acostumando com ele ainda.
172100	172660	Eu gostei.
173080	173240	É.
174020	177020	As pessoas gostaram, eu achei que, sei lá, podia ter um...
177020	178240	Eu acho que se...
178240	181520	Se a gente trabalhasse mais no título, talvez desse spoiler.
182040	182280	É.
182340	183720	Eu acho que ficou na medida certa.
183720	187880	E assim, deixar pra, tipo, um dia antes de lançar o negócio também é sempre horrível
187880	188520	da minha parte.
189620	193880	Normalmente, assim, à noite, a Fábio pergunta, vou lançar o post com os episódios desse
193880	195780	mês, qual é o título do episódio?
195960	197520	Aí eu, meu Deus, o que eu faço?
198060	199260	Aí eu tento...
199260	200760	Tipo, trabalho de escola, era pra hoje?
201040	201320	É.
201920	202620	Qual o prazo?
202920	203360	Ontem.
204500	204940	E...
204940	208040	Esse episódio é um episódio com três meninas, né?
208240	210920	Temos a Deba, a Ju e a Carol.
211440	213880	O próximo episódio é um episódio com quatro meninas.
214200	215160	Ah, e são quatro.
215640	217200	É uma coisa que só aconteceu uma outra vez.
217280	218820	Só aconteceu lá no episódio de um da RPG Guaxa.
219280	221500	Vão ser quatro jogadoras, né?
221860	223380	De escola também tá...
223380	224540	Tá bem bacana.
224640	225580	Cês vão...
225580	228800	Quem é padrinho recebe segunda, é capaz de receber antes desse episódio sair no feed,
228860	229580	porque ele vai atrasar.
230020	231700	E eu já tô atrasado gravando, né?
231700	235260	Esse episódio era pra ter saído no feed ontem, inclusive.
235740	238200	Mas eu tô de férias, então eu não tava em casa pra gravar.
238240	242360	E eu tô dando só desculpas e convido vocês pra ouvir o próximo episódio,
242820	243960	que eu não lembro também o título.
244040	244820	Eu acho que é Sem Tempo.
245220	246680	Também é um título que...
246680	248400	Sem Tempo, sabe?
249740	252540	Tá de férias, pensa um tipo lá, Sem Tempo.
