start	end	text
0	800	Estamos prontos?
1140	2000	Estamos sim!
2820	5180	Ah, você prefere mestre ou narrador?
5320	7060	Na verdade, eu prefiro guache.
10060	13480	Olá, eu sou o Marcelo Guaxinim e antes de mais nada eu queria chamar você
13480	16420	pra ir na Blumenau Comics Experience.
16900	23940	A gente vai ter dia 27 e 28 de julho, ou seja, final do mês agora, em Blumenau.
24320	27800	Eu fui no ano passado, teve vários ouvintes que apareceram lá.
27800	29820	Foi um evento incrível.
30500	34740	Essa versão do ano passado foi num espaço menor, foi no teatro, né?
35300	39800	Esse ano eles estão usando dois pavilhões de onde acontece a Oktoberfest,
39880	41100	lá na Vila Germânica.
41480	44480	Então eu convido vocês a participarem.
44920	50940	Vai ter o youtuber Luba, a Melissa Garcia, Cazobé, Manolo Rei.
51440	55120	Vai ter atração de K-Pop, vai ter Arena Gamer,
55120	57900	vai ter área de venda de coisas.
58440	64680	Então eu convido vocês a participarem da Blumenau Comic Con Experience.
65040	67720	Procurem lá, instagram.com.br
67720	70440	Blumenau Comic Experience.
70780	73580	Já estão vendendo, acho que estão no terceiro lote.
73660	75980	Vai ser na Vila Germânica, repito.
76480	79540	Estarei lá os dois dias, com a Beta, com a Malu.
80080	83120	Convido vocês a participarem, que vai ser incrível.
83120	84000	Incrível!
84000	85360	Incrível como foi no ano passado.
86240	88700	Olá, eu sou a Juliana, ou Juleiva.
89120	92040	Vocês me encontram no arroba guachete e na taberna do Guaxinim.
92120	95620	Aqui é o Rafael Telegram, o R underline Telegram,
96040	98740	ou como é conhecido no grupo do Guaxa, o Rafael Telegram.
98920	100600	Olá, aqui é a Agatha Sofia.
100900	104220	Vocês podem me encontrar no Twitter, no arroba agathasofia underline
104220	106900	e também no podcast Buraco Atrás do Pôster.
107680	111840	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim Zigambias.
111840	113840	Nele, cada jogador possui apenas...
114000	117000	um único atributo, que vai de 2 a 5.
117000	122000	Quanto maior o atributo, mais atlético, mais forte é o personagem.
122000	127000	E quanto menor, mais inteligente, mais carismático ele é.
127000	132000	Sempre que o jogador faz algo com uma chance de errar, joga dois dados.
132000	137000	E precisa tirar seu atributo ou menos, para ataques ou ações físicas.
138000	142500	E o seu atributo ou mais, para ações intelectuais ou sociais.
142500	143500	E aí?
144000	145000	Como vai?
145000	150000	Se a jogada for fácil, ou tiver algum auxílio, rola-se um dado a mais.
150000	153000	Se for difícil, rola-se um dado a menos.
154000	155000	Eu sou o Gilles.
155000	158000	Sou o padrinho da RPG Guaxa, porque eu amo demais este projeto.
158000	162000	E sou muito grato a todas as pessoas que conheci por intermédio dele.
162000	164000	Vem fazer parte você também.
165000	170000	Convido você a ajudar este projeto lá no apoia.se
170000	173000	para receber o episódio antes, gravar voz de NPC, discutir os episódios.
174000	177000	E principalmente, ajudar o RPG Guaxa a existir.
177000	179000	Conto com sua ajuda.
181000	184000	Episódio de hoje. Segundo Sol.
184000	212700	O espaço é um local gigantesco,
212700	214200	infinito, alguns diriam.
214720	216480	Embora outros tentarem argumentar
216480	218380	que se o motor de dobra possui um limite,
218860	219600	o espaço também.
220100	221440	Mas filósofos, né gente?
221860	223380	2.234?
223840	225300	Me liga, mais devago.
225960	227660	O fato é que existe um número muito
227660	230220	ínfimo de lugares que são de pouso
230220	231460	proibido.
231820	234400	Embora você tenha infinitos lugares para ir,
234640	236280	adivinha em qual local os aventureiros
236280	238700	da história de hoje são especialistas
238700	239280	em ir.
239280	241320	Mas antes de falar desta missão,
241880	242580	vamos conhecer
242580	243640	nossos tripulantes.
244320	246220	Então peço que a Juleiva fale sobre
246220	248100	seu personagem, aparência e atributo.
248400	250020	Olá, eu vou jogar com a Azimuth,
250180	251940	ou Azi, para as pessoas próximas.
252400	254060	Ela é a pilota da nossa nave.
254420	255600	O atributo dela é o 3.
256100	258100	A Azi, ela vem de Prostion,
258580	260880	a estrela mais brilhante da constelação
260880	261560	de Cão Menor.
261800	264240	O corpo dela é repleto de pelos marrons
264240	266000	alongados, menos na face.
266000	267860	Os cabelos da Azi
267860	270040	são marrons e deixam despontar duas
270040	272060	orelhas que lembram as de um gato humano.
272060	274060	Um gato humano é uma palavra...
274060	275700	É isso. Vocês entenderam.
276340	278360	Os grandes olhos verdes chamam a atenção.
279100	280180	Lembram um pouco as feições
280180	282080	de um felino. E tem alguns
282080	283840	problemas em se aproximar de água.
284020	285940	Ela teve treinamento como piloto militar.
286720	288240	Mas ela não tem
288240	289980	disciplina para a função. Então
289980	292020	ela virou garçonete no bar da meia-noite
292020	294140	e foi lá que ela conheceu
294140	295860	os seus amigos e se tornou
295860	297120	pilota contrabandista.
297200	299860	E Telema, fala sobre seu personagem, aparência e atributo.
