start	end	text
0	5720	Olha a chuva!
7620	9600	Calma, Rico. É mentira, cara.
10340	13620	As festas juninas podem até ter se originado em outros países,
13920	16520	mas assim como a feijoada, o futebol e o sistema eleitoral,
16740	18780	ela tem em solo brazuca sua melhor versão,
19180	22060	com suas cores, sabores e ritmos que encantam a todos.
22380	25460	As festas juninas são uma celebração da cultura popular,
25740	28040	da diversidade e da alegria do povo brasileiro,
28040	31060	que não perde a oportunidade de se reunir em torno de uma fogueira,
31400	33940	dançar quadrilha, comer pipoca e paçoca.
35500	37000	E soltar fogos de artifício.
37080	38060	Olha a cobra!
39380	42160	Não ri não, fogueteiro. A Nana tá do teu lado.
42560	45020	É bom que sejam fogos silenciosos, ou ela nem solta.
45040	46560	Olha o corvo!
48060	51480	Quê? Não, aí é demais. Eu vou pegar minha espingarda.
53560	57920	Episódio de hoje, o casamento, a festa junina e o chifrudo.
58040	63860	Com os padrinhos, Filipe Xavier, Rafael Zorzal, que é editor desse podcast,
64180	67480	também edita lá o Projeto Drama, conheço o Projeto Drama,
67960	69760	que tá pra sair uma nova temporada.
70580	77640	E a Ana B, que é madrinha, cafeicultora, apicultora, pecuária, o que quiser.
77860	80640	Vocês vão encontrar ela na Taberna do Guaxinim, ou no Instagram dela,
81120	85340	que é a Beatriz, com dois Es, underline Ribeiro.
85340	88020	O Realidade do Brasil do Guaxinim,
88040	90040	e o Sistema Guaxinim de Gambiarras.
90040	92040	Não sabe o que que é um guaxinim?
92040	94840	Oi, oi, oi, o susto te pô aí, arromba o espetáculo, afim, né?
94840	97240	Um guaxinim é tipo um gambarim mágico, entendeu isso?
97240	101040	Então, nele, cada jogador tem um tributo só, ele equivale a dois e cinco, não tem?
101040	103040	E quanto mais maior o tributo, mais parrudo é o personagem.
103040	105040	E quanto mais menor, mais de preparado é o pessoal.
105040	108040	Sempre que fizer algo que pode dar uma rata, pincha dois dados.
108040	110040	Daí tem que tirar o tributo ao menos pra ação física.
110040	113040	Tipo, dar um carcaço, ser flechado, né?
113040	117040	Ou um tributo a mais pra coisa que usa a pensação, ou pra dar uma de barão, né?
117040	120040	Se a jogada for balbada, ou se tiver um judório, atira um dado a mais.
120040	122040	Se a jogada for difícil, daí vai te passar trabalho.
122040	126040	E não adianta reinar não, Madrinhão, vai ter que rolar um dado a menos.
126040	130040	Eu sou padrinho da RPG Guaxinim, não é de hoje, nem de ontem, nem de Antônio, nem de três Antônios, viu?
130040	131040	Sabe por quê?
131040	134040	Vou te dizer, tinha que ir lá, tem uns grupos num talho de Telegram, é muito bom,
134040	138040	mas bom de não prestar, assim, a povança é faceira, que parece lavada em água de rosa.
138040	140040	E tem aventura seguidinha em seguidinha.
140040	141040	E lá todo mundo é igual, né?
141040	145040	Até essa de uma coisa é uma coisa, outra coisa é outra coisa, não, rapaz.
145040	147040	Vou te dizer uma coisa pra ti, ô.
147040	150040	Não vai dar uma de manzana de amarelo e mofar com as pombas na balaia.
150040	152040	Se quer, esquece, não quer, diz.
152040	155040	Nem espera pra tu terminar a babucica, apura e te inscreve lá,
155040	158040	que depois não adianta você chorar espetáculo pro bispo.
158040	160040	E, guaxa, um abraço pra ti, meu querido.
160040	163040	Arrombaço das zumbanhas de um monstro.
164040	166040	Não deixe de seguir nas redes sociais,
166040	168040	tanto no Twitter quanto no Instagram.
168040	171040	Considere também se tornar apoiador desse projeto.
171040	173040	Lá no PicPay ou no Padrim.
173040	175040	Procure por rpguaxa.
175040	177040	A partir de um real você tá ajudando a pagar o editor.
177040	181040	A partir de dez reais você faz parte do nosso grupo no Telegram.
181040	186040	Consegue receber episódio antes, gravar NPC, discutir os episódios
186040	189040	e uma série de outras vantagens.
189040	194040	Agora, nesse mês de junho, vamos ter o Correio Elegante acontecendo lá na Taverna.
194040	196040	Um lugar que já formou muito casal.
196040	198040	Talvez forme mais alguns.
198040	199040	Mas agora vamos lá.
199040	200040	Vamos lá, pega o seu chapéu de palha,
200040	202040	sua camiseta quadriculada,
202040	204040	seu remê na calça
204040	205040	e vamos pra mais uma aventura.
219040	221040	Senhoras e senhores passageiros,
221040	223040	temos sete realidades paralelas,
223040	225040	uma infinidade de possibilidades,
225040	227040	três jogadores e um guaxinim.
227040	229040	Por favor, coloque a sua cadeira
229040	231040	na posição vertical.
231040	233040	Aperte o cinto e segure a sua bebida,
233040	236040	pois a nossa aventura já vai decolar.
238040	239040	Cinco.
241040	242040	Quatro.
244040	245040	Três.
247040	248040	Dois.
252040	255040	RPG. Realidades Paralelas do Guaxinim.
255040	257040	Sua aventura de bolso na forma de podcast.
257040	261040	Uma jornada completa a cada episódio.
269040	272040	Pirapora de São Xavier é uma cidade pequena e pacata
272040	274040	que vive da pecuária e do comércio local.
274040	277040	Mas, no mês de junho, tudo muda.
277040	279040	A cidade se transforma em um grande arraial,
279040	281040	com bandeirinhas coloridas,
281040	283040	balões, fogueiras e barracas de quitudes.
283040	285040	A praça principal é o palco da quadrilha,
285040	289040	onde os casais dançam ao som da sanfona e do triângulo.
289040	291040	O clima é de alegria e animação,
291040	294040	com muita música, brincadeiras e fogos de artifício.
294040	298040	A atração mais esperada é o Casamento Junino,
298040	302040	uma encenação divertida de um matrimônio caipira.
302040	306040	É a festa mais bonita e tradicional da região.
306040	308040	A cidade de Pirapora de São Xavier
308040	311040	nasceu em função da fazenda do coronel João Miguel,
311040	314040	um homem que começou a vida como um menino pobre e faminto,
314040	317040	e se tornou o dono de um grande rebanho de gado.
317040	319040	O orgulho e a paixão de João Miguel é sua filha,
319040	323040	uma moça que ele educou e cuidou praticamente sozinho,
323040	326040	pois sua esposa faleceu quando ela era ainda uma criança.
326040	330040	A filha do coronel sonha em se casar na festa junina,
330040	335040	naquela brincadeira em que a noiva grávida se une ao noivo na frente de todos.
335040	338040	Ela teve que implorar e ameaçar fugir de casa
338040	341040	para que o pai aceitasse sua vontade.
341040	343040	Mas o que João Miguel não desconfia
343040	346040	é que sua filha está realmente grávida,
346040	348040	que o padre é um verdadeiro sacerdote
348040	353040	e que o noivo relutante é na verdade um peão apaixonado,
353040	357040	e que o casamento será válido perante a lei de Deus.
357040	359040	A filha teme a reação do pai,
359040	362040	pois sabe que ele não aprova o peão que conquistou seu coração,
362040	366040	mas confia que ele jamais faria mal ao seu esposo,
366040	368040	pois é um homem religioso.
368040	371040	Para fazer esse casamento acontecer,
371040	373040	temos eles, os nossos jogadores,
373040	375040	então eu peço que o Felipe Xavier
375040	378040	fale sobre seu personagem, aparência e atributos.
378040	379040	Olá pessoas,
379040	381040	hoje eu estou jogando com o Eduardo,
381040	384040	ou como ele é chamado por todo mundo, Dudu.
384040	386040	Ele tem atributo 2,
386040	388040	ele é negro, tem 27 anos, é solteiro,
388040	391040	ele é o leiteiro ali da cidade.
391040	395040	Todo dia, 5 horas da manhã, ele já distribuiu todos os leites para a cidade toda.
395040	397040	Ele é primo de terceiro grau da noiva,
397040	400040	por parte da comadre Maria, filha do Antônio Zé Binha.
400040	401040	Dudu...
401040	405040	Ele tem uma raiva assim, medonha do Coronel João Miguel,
405040	407040	porque uma vez ele foi destratado na festa da família.
407040	412040	E sabendo disso, e do casório que vai acontecer,
412040	417040	ele também sabe que esse casório pode trazer ali um pouco de raiva para o Coronel,
417040	420040	então ele está investido em ajudar nesse casamento a acontecer.
420040	423040	Além de claro que vai ter uma festança danada e ele vai querer ver isso de perto.
423040	426040	O Rafael Zorzal fala sobre seu personagem, aparência e atributos.
426040	429040	Boa tarde, meu personagem é o Bernardo Borreiro,
429040	432040	ele é uma figura muito marcada na cidade de Pirapora,
432040	435040	ele é magrinho, baixinho, tem o cabelo ralinho,
435040	437040	só que ele tem um sorriso muito encantador.
437040	441040	Ele é conhecido por todo mundo, ele é odiado por muitos, normalmente os mais velhos,
441040	447040	porque ele faz muitas, digamos, muitas mirabolagens na cidade,
447040	450040	ele tem muitos planos e ele passa a perna em pessoal,
450040	453040	mas ele é adorado por outros, normalmente as pessoas mais jovens,
453040	456040	que são ajudadas por esses seus planos mirabolantes.
456040	458040	Ele está chegando aos seus 30 anos,
458040	461040	e é um espertinho de primeira, tem uma língua fiada, uma lábia extrema,
461040	464040	tem sempre um plano na manga para se dar bem, se safar de uma situação,
464040	466040	ou ajudar quem é próximo a ele.
466040	468040	A esperteza do Bernardo é muito grande,
468040	470040	mas ela não é maior que seu senso de camaradagem,
470040	474040	e isso vale para todo mundo, principalmente para um de seus melhores amigos, o Daniel,
474040	477040	que pediu ajuda para ele para fazer o casamento dele acontecer com sua amada,
477040	479040	Daniel, no caso, o noivo.
479040	482040	E a mente dele vai trabalhar todo o vapor nessa festa para fazer isso acontecer.
482040	484040	O atributo dele é 3.
484040	487040	E estreando no RB Guax, temos ela,
487040	489040	quer dizer, ela já fez NPC várias vezes,
489040	492040	já foi homenageada com o nome de NPC, inclusive,
492040	494040	mas jogando é a primeira vez.
494040	497040	Ana Beatriz, fala sobre seu personagem, aparência e atributos.
497040	499040	A boiadeira chegou, bebê!
499040	501040	Hoje eu vou jogar com a Ana.
501040	503040	Ela é filha de um figurão aí,
503040	505040	criador de cavalos, que se chama José Augusto.
