start	end	text
0	5960	Quanto menor a cidade, mais medos e preconceitos ela carrega
5960	10420	Embora isso não seja de toda regra, é mais comum do que gostaríamos que fosse
10420	12100	Mas o quanto disso é real?
12500	16940	O quanto de uma crendice popular de um medo bobo pode se tornar palpável?
17340	19800	Episódio de hoje, a flechada no seu Zé
19800	24620	Com a Kislane, lá do Portal do Aviante, grava SciCast, grava Speed Notícias
24620	29180	Com o Hector, do podcast Eu Não Sou Cinéfilo, que é sobre cinema
29180	32900	E com o Rafael Telema, do Gerência Sem Experiência
32900	38480	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras
38480	43960	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5
43960	47840	Quanto maior o atributo, mais atlético é o personagem
47840	51300	Quanto menor, mais inteligente e carismático
51300	56180	Sempre que um jogador faz algo com uma chance de errar, joga dois dados
56180	59180	E precisa tirar seu atributo ou menos para atleta
59180	61000	Ataques e ações físicas
61000	66180	E seu atributo ou mais para ações intelectuais ou sociais
66180	70940	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais
70940	74380	Se a jogada for difícil, rola-se um dado a menos
74380	78380	Eu sou o João Queiroz e sou padrinho do RP Guaxa
78380	83840	Porque esse projeto é bom demais e eu tinha que fazer parte disso
83840	87300	Não esquece de me seguir nas redes sociais, isso ajuda muito
87300	89100	Vai lá, procura por arroba Marcelo
89100	91360	E arroba RP Guaxa
91360	93340	Tanto no Twitter quanto no Instagram
93340	96900	E pensa com carinho em se tornar apoiador desse projeto
96900	100420	Jogar com os outros padrinhos, gravar voz de NPCs
100420	101920	Sugerir nomes de NPCs
102460	105140	Receber esse episódio dias antes
105140	107600	Mais informações eu dou ao final do episódio
107600	108640	Boa aventura
119100	124380	Aí vocês estão na caverna
124380	125480	Rola os dados
125480	128280	Bola de fogo
128280	131960	Chama o clérigo
131960	134400	Assim eu morri
134400	136740	Rola a iniciativa
136740	140700	Então, não tem armadilha, podemos ir
140700	142580	O que vocês fazem?
143960	147960	Tá, tá, eu amarro uma corda nelas e uso como arma
147960	149080	Eu ataco?
149100	153580	O mago lança seu Thunderbolt mais 15 no Upholder
153580	158300	Tem algum lugar pra se esconder?
158920	161220	Ah, falha a crítica
161220	171480	RPG, Realidades Paralelas do Guaxinim
171480	174440	Sua aventura de bolso na forma de podcast
174440	177360	Uma jornada completa a cada episódio
179100	195580	A Cidade de Curió do Sorriso
195580	196300	A Cidade de Curió do Sorriso fica na Bahia
196300	197700	Próxima cidade de Paulo Afonso
197700	200360	É uma cidade pequena que vive da piscicultura
200360	202300	E agricultura de subsistência
202300	205580	Tem uma população formada principalmente por jovens e idosos
205580	208340	Já que os adultos costumam ir para cidades maiores
208340	209080	Em busca de emprego
209100	211480	Que a região não costuma dar
211480	213160	Mas esse não é o caso dos jogadores
213160	215320	Pois todos eles são empregados na cidade
215320	217040	Eles são policiais
217040	219860	A força policial de Curió do Sorriso
219860	222480	Possui a famosa delegada
222480	223960	Cailana Jupira
223960	225860	Esposa do único médico da cidade
225860	228740	Ex-prefeita e ex-dançarina da banda Eva
228740	231220	Embora não goste de comentar sobre esse último fato
231220	232820	Tem em sua mesa de trabalho
232820	234940	Uma foto sua com a Rivete Sangalo
234940	236460	Além de Jupira
236460	238920	A cidade conta com 3 oficiais
238920	240240	São eles
240240	242160	Tele-irmã, fala sobre o seu personagem
242160	243120	O nome, atributo
243120	245320	Dessa vez eu vou jogar com o Daniel Ferreira
245320	247860	Eu era um policial
247860	249480	Aqui de São Paulo mesmo
249480	250840	Da grande cidade
250840	252860	Recentemente eu passei por uns problemas pessoais
252860	254700	E eu decidi ir para o lugar mais longe possível
254700	256880	O meu atributo é 4
256880	258940	Perfeito, o Hector
258940	260480	Hoje eu estou jogando como o Joaquim
260480	262180	Epaminondas
262180	264660	Ele era de Salvador
264660	266360	Só que ele estava muito cansado
266360	268340	Da cidade cheia
268340	270160	Da cidade muito movimentada
270160	272360	E foi para essa cidadezinha
272360	273380	No interior da Bahia
273380	277480	Para exercer seu papel de oficial da lei
277480	278900	Com mais tranquilidade
278900	280680	Sem muitos percalços
280680	282140	E o atributo dele é 3
282140	284960	E a terceira oficial, Cris Lane, fala sobre o seu personagem
284960	286900	Eu estou jogando com a Rafa
286900	289320	Na verdade é Rafaela Arruda
289320	292020	Só que a família dela era da cidade
292020	293460	Ela saiu para estudar fora
293460	296000	E acabou voltando para trabalhar na cidade
296000	298140	Como a família dela é da cidade
298140	299000	Isso é interior
299000	301560	Ela é conhecida como Rafa, neta da Chica
301560	319060	Além da delegada dos 3 agentes
319060	321080	A delegacia conta com o escrivão
321080	322180	O seu Jailson
322180	324360	Um senhor de muitos anos
324360	326520	Que ainda usa a máquina de escrever
326520	327700	Para anotar as coisas
328140	329460	E depois ele passa para o computador
329460	330720	Mas ele prefere assim
330720	332340	Porque na máquina de escrever é mais rápido
332340	334500	O seu Jailson é sempre o último a chegar
334500	336280	Porque o horário dele é reduzido
336280	338860	Ele trabalha menos horas que os policiais
338860	341120	Vocês já chegaram na delegacia
341120	342640	Está cada um na sua mesa
342640	345240	Organizando ali o início do dia
345240	346580	Ninguém sabe onde ainda
346580	348260	Cada um de vocês tem um revólver
348260	350220	Que provavelmente nunca sacaram
350220	353420	Ou se sacaram, dificilmente usaram ele para atirar
