start	end	text
0	4140	Caso você não acompanhe os Guaxaversos, nosso podcast de leitura e de comentários,
4480	7860	provavelmente você não sabe da teoria de que eu, Marcelo Guaxinim,
8420	11740	tenho trauma com ônibus escolar e pássaros.
12260	15280	Pois o ônibus escolar é sempre um mau sinal em meus episódios,
15920	18220	e aves nunca são coisas boas.
18920	24100	A verdade é que eu não, eu não tenho nenhum trauma específico com nada disso.
24660	28780	Pelo contrário, tenho ótimas lembranças de viagens e ônibus escolares,
28780	35240	principalmente na faculdade, já que fiz geografia e conheci grande parte do Brasil andando de ônibus.
35780	36900	O mesmo vale para os pássaros.
37380	39460	Tirando um marreco ou outro que eu tive que correr,
40000	42820	não tive nenhum problema muito específico com nenhum deles.
43480	49260	São apenas dois temas que viraram clichê dentro dos episódios e que eu gosto de explorar.
49760	52800	Ainda em um dos Guaxaversos, eu não lembro qual foi o motivo,
52800	58320	mas eu ameacei um dos jogadores de que o próximo episódio dele,
58320	61520	ele estaria em um ônibus escolar cheio de pássaros.
61920	65680	E foi dessa premissa que eu escrevi a aventura de hoje.
66000	69000	Embora ela tenha ido para um rumo completamente diferente,
69260	74800	eu comento com você lá no Escudo do Mestre e posteriormente no Guaxaverso desse episódio,
74800	77000	que eu recomendo você a ouvir quando sair no feed,
77300	81440	ou participar ao vivo lá na twitch.tv barra rpguaxa na semana que vem.
81820	85440	Esse episódio acabou juntando muita coisa que eu gosto, muitos clichês,
85680	87940	se tornou uma coisa meio experimental,
88320	94320	mas já falei demais, vamos indo, pois um baile vai se tornar um mundo de pesadelos.
95740	98160	Episódio de hoje, o baile.
98960	102600	Com a Agatha do Projeto Drama e da Casa das Agathas.
103400	109440	Com a Shelly, lá do RPG Next, uma de nossas maiores fontes de inspiração para criar o RPG Guaxa.
109920	113100	E com a Rebelbia, que não tem um projeto ainda para chamar de seu,
113100	116740	mas você pode lá mandar um biscoito para ela no Instagram.
118320	119960	Episódio de hoje, o baile.
119960	120880	Com a Agatha do Projeto Drama e da Casa das Agathas.
120880	121040	Com a Rebelbia, que não tem um projeto ainda para chamar de seu,
121040	121060	mas você pode lá mandar um biscoito para ela no Instagram.
121060	121100	Com a Rebelbia, que não tem um projeto ainda para chamar de seu,
121100	121140	mas você pode lá mandar um biscoito para ela no Instagram.
121140	121180	Com a Rebelbia, que não tem um projeto ainda para chamar de seu,
121180	123100	com realidades paralelas do guaxinim,
123100	126300	usa o sistema guaxinins e gambiarras.
126900	131760	Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
132680	136760	Quanto maior o atributo, mais atlético é o personagem.
137280	140040	E quanto menor, mais inteligente e carismático.
140480	141100	Tipo eu, né?
141100	145740	Sempre que um jogador faz algo com uma chance de errar,
146240	147320	rola-se dois dados.
147880	152840	E deve tirar o seu atributo ou menos para ataques e ações físicas.
153400	157800	Ou o seu atributo ou mais para ações intelectuais e sociais.
157800	163660	Se a jogada for muito fácil ou tiver algum auxílio, rola-se um dado a mais.
164180	168260	E se for difícil ou estiver machucado, joga-se um dado a menos.
168840	170420	Eu sou a Luana Seberon.
170420	176200	E eu sou madrinha do RPG Guaxa, porque aqui eu conheci um mundo novo.
176500	178660	Foi onde me trouxe para o RPG.
179640	184560	E cada vez eu conheço pessoas mais incríveis.
185600	189660	E que estão aqui para o que deve é.
189920	195720	Sempre ajudando, apoiando, dando risada, jogando, assistindo filmes.
195920	197820	Por ser uma comunidade incrível.
197820	199440	E lógico, né?
199440	200780	Além de perturbar o Guaxa.
201220	203000	Guaxa, me tira da geladeira.
204560	205920	Não deixe de seguir nas redes sociais.
206120	207440	Sério, isso é muito importante.
208020	211200	E mais importante ainda, considere se tornar um apoiador
211200	213440	a fazer parte desta família incrível.
213760	216260	A me ajudar a pagar o editor e os custos de produção.
216980	219620	Expandir ainda mais este universo.
219620	220620	Obrigado.
229440	242500	Sete realidades paralelas, uma infinidade de possibilidades, três jogadores e um guaxinim.
243160	245280	É um prazer ter vocês por aqui.
246120	249400	Queremos todos batendo as mãos para a próxima música.
249840	251140	Digo, aventura.
252280	253120	Cinco.
255120	256040	Quatro.
258120	258960	Três.
259440	260440	Quatro.
261060	261620	Dois.
262820	263220	Três.
266120	266800	RPG.
267380	269140	Realidades Paralelas do Guaxinim.
269500	271720	Sua aventura de bolso na forma de podcast.
272320	274840	Uma jornada completa a cada episódio.
286120	289260	O Baile de Formatura é um dos eventos mais emblemáticos,
289260	289320	e, por isso, é um dos mais importantes do Brasil.
289320	289420	O Baile de Formatura é um dos eventos mais emblemáticos,
289420	291340	e um dos mais esperados do ensino médio nos Estados Unidos.
291900	294180	É uma celebração da conquista dos estudantes
294180	296760	em um momento de despedida dos amigos e professores
296760	299600	antes de seguirem para a próxima etapa de suas vidas.
299920	302280	Geralmente é uma faculdade ou um subemprego.
302800	303720	Normalmente os dois.
304140	307780	Além disso, o Baile de Formatura também é visto como uma oportunidade
307780	309620	para os estudantes se vestirem elegantemente
309620	312440	e desfrutarem de uma noite de dança e diversão.
313000	315600	Muitos casamentos e traumas surgem desta noite.
316100	317480	Normalmente os dois.
318060	318420	O Baile de Formatura é tão importante que não é só um evento.
